date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,NOW,432.72,438.6,421.33,431.4,3193716,-1.32,-0.30505,429.24
2020-07-31,NOW,436.99,439.2,428.3176,439.2,1789491,2.21,0.50573,434.52
2020-08-03,NOW,443.72,444.79,431.16,439.96,1844260,-3.76,-0.84738,438.9
2020-08-04,NOW,437.42,442.49,433.87,438.15,1167261,0.73,0.16689,438.02
2020-08-05,NOW,440.0,441.05,435.33,435.74,1038481,-4.26,-0.96818,437.99
2020-08-06,NOW,437.88,439.57,425.335,430.33,2250242,-7.55,-1.72,429.46
2020-08-07,NOW,432.04,439.2877,423.714,431.21,2476468,-0.83,-0.19211,432.33
2020-08-10,NOW,430.44,439.13,422.17,438.68,2757309,8.24,1.91,433.67
2020-08-11,NOW,434.35,434.99,418.533,421.36,1660090,-12.99,-2.99,426.16
2020-08-12,NOW,425.14,431.43,423.05,427.13,1635584,1.99,0.46808,427.2
2020-08-13,NOW,427.86,439.81,426.71,438.42,1720598,10.56,2.47,436.97
2020-08-14,NOW,438.36,442.8927,434.32,435.73,1269673,-2.63,-0.59996,436.89
2020-08-17,NOW,436.98,445.15,436.98,442.37,1988045,5.39,1.23,442.15
2020-08-18,NOW,441.72,444.36,435.3,437.58,2301036,-4.14,-0.93725,438.58
2020-08-19,NOW,438.0,443.64,432.1,437.13,1984979,-0.87,-0.19863,438.42
2020-08-20,NOW,435.42,454.73,433.355,453.34,2734583,17.92,4.12,448.73
2020-08-21,NOW,452.78,453.99,446.1789,449.42,2392983,-3.36,-0.74208,449.97
2020-08-24,NOW,453.05,458.64,445.0,448.1,2380723,-4.95,-1.09,449.77
2020-08-25,NOW,450.0,458.88,445.74,457.93,1185509,7.93,1.76,454.85
2020-08-26,NOW,465.0,488.582,464.101,487.7,2256628,22.7,4.88,480.26
2020-08-27,NOW,485.0,485.1,474.5,480.55,1563638,-4.45,-0.91753,481.14
2020-08-28,NOW,485.0,494.0,484.4,487.87,1080566,2.87,0.59175,488.03
