date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,NVR,3872.0,4000.0,3872.0,3943.55,23300,71.55,1.85,3945.37
2020-07-31,NVR,3945.0,3979.495,3850.11,3930.15,14389,-14.85,-0.37643,3915.8
2020-08-03,NVR,3935.0,3988.55,3867.56,3874.2,19063,-60.8,-1.55,3901.17
2020-08-04,NVR,3858.0,3869.85,3820.0,3867.47,11841,9.47,0.24546,3855.51
2020-08-05,NVR,3874.56,3874.56,3803.53,3831.69,23714,-42.87,-1.11,3835.4
2020-08-06,NVR,3818.44,3877.52,3770.02,3873.98,18089,55.54,1.45,3835.87
2020-08-07,NVR,3895.0,3942.55,3796.87,3875.01,22715,-19.99,-0.51322,3855.48
2020-08-10,NVR,3865.0,4001.3203,3858.04,3910.01,23995,45.01,1.16,3937.02
2020-08-11,NVR,3935.51,3983.62,3859.935,3934.4,36424,-1.11,-0.02820473,3925.04
2020-08-12,NVR,3946.58,4059.5,3920.0,4035.47,31624,88.89,2.25,4014.36
2020-08-13,NVR,3992.99,4074.17,3980.0,4050.0,14568,57.01,1.43,4035.36
2020-08-14,NVR,4049.0,4051.08,3990.18,4044.81,17283,-4.19,-0.10348,4031.63
2020-08-17,NVR,4045.0,4185.24,4045.0,4145.39,18628,100.39,2.48,4129.56
2020-08-18,NVR,4181.26,4222.2438,4125.02,4197.05,29239,15.79,0.37764,4176.04
2020-08-19,NVR,4167.7,4197.0,4104.5519,4151.03,18492,-16.67,-0.39998,4153.89
2020-08-20,NVR,4147.88,4196.99,4115.0,4155.62,13241,7.74,0.1866,4154.57
2020-08-21,NVR,4137.78,4247.97,4117.0,4223.76,21311,85.98,2.08,4197.46
2020-08-24,NVR,4245.01,4317.58,4198.0,4310.09,31565,65.08,1.53,4283.43
2020-08-25,NVR,4295.11,4295.11,4189.31,4224.28,17699,-70.83,-1.65,4223.2
2020-08-26,NVR,4200.01,4242.87,4100.0,4220.0,24121,19.99,0.47595,4216.83
2020-08-27,NVR,4261.03,4318.0,4191.9274,4218.28,21909,-42.75,-1.0,4227.44
2020-08-28,NVR,4164.22,4260.02,4164.22,4207.18,14369,42.96,1.03,4218.81
2020-08-31,NVR,4185.2,4218.0,4116.55,4168.34,23471,-16.86,-0.40285,4162.02
2020-09-01,NVR,4140.0,4199.87,4138.085,4186.88,16602,46.88,1.13,4174.7
2020-09-02,NVR,4187.0,4247.425,4111.55,4219.21,12934,32.21,0.76929,4190.95
2020-09-03,NVR,4209.39,4209.39,4007.2,4030.8,24397,-178.59,-4.24,4064.7
2020-09-04,NVR,4062.62,4080.745,3861.9701,3931.93,22277,-130.69,-3.22,3961.17
2020-09-08,NVR,3845.97,3998.1,3845.97,3915.61,16588,69.64,1.81,3939.37
2020-09-09,NVR,3951.0,4040.0,3936.545,4012.24,11543,61.24,1.55,4008.83
2020-09-10,NVR,4015.0,4059.0,3921.01,3953.96,14270,-61.04,-1.52,3984.41
2020-09-11,NVR,3975.61,4068.0,3954.13,4047.27,15481,71.66,1.8,4032.28
2020-09-14,NVR,4098.48,4146.38,4040.0,4142.22,25544,43.74,1.07,4126.15
2020-09-15,NVR,4148.0,4242.41,4013.44,4020.99,20649,-127.01,-3.06,4083.75
2020-09-16,NVR,4057.76,4239.55,4042.13,4219.53,25720,161.77,3.99,4180.19
2020-09-17,NVR,4166.62,4182.2,4100.0,4147.88,30991,-18.74,-0.44977,4147.23
2020-09-18,NVR,4197.0,4197.2,4030.01,4033.3,56797,-163.7,-3.9,4069.19
2020-09-21,NVR,3962.12,4017.57,3890.01,3931.29,23375,-30.83,-0.77812,3935.01
2020-09-22,NVR,3962.09,4052.94,3930.01,4044.52,17945,82.43,2.08,4014.63
2020-09-23,NVR,4014.85,4032.02,3831.25,3853.15,20387,-161.7,-4.03,3918.69
2020-09-24,NVR,3858.34,3977.53,3823.31,3909.0,14751,50.66,1.31,3908.61
2020-09-25,NVR,3918.0,3963.05,3848.0,3930.51,12486,12.51,0.3193,3916.41
