date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,NWSA,12.75,12.97,12.63,12.9,1148034,0.15,1.18,12.8125
2020-07-31,NWSA,12.85,12.92,12.6,12.72,1647711,-0.13,-1.01,12.7725
2020-08-03,NWSA,12.78,13.04,12.67,13.0,1944900,0.22,1.72,12.8725
2020-08-04,NWSA,12.98,13.41,12.64,13.39,1602345,0.41,3.16,13.105
2020-08-05,NWSA,13.41,13.51,13.19,13.29,1918100,-0.12,-0.89485,13.35
2020-08-06,NWSA,13.15,13.6,13.02,13.51,2483000,0.36,2.74,13.32
2020-08-07,NWSA,13.44,14.36,13.34,14.34,2532340,0.895,6.7,13.87
2020-08-10,NWSA,14.34,14.97,14.34,14.84,4597930,0.5,3.49,14.6225
2020-08-11,NWSA,14.85,15.33,14.82,14.89,3044600,0.04,0.26936,14.9725
2020-08-12,NWSA,15.1,15.41,15.05,15.17,3880000,0.065,0.46358,15.1825
2020-08-13,NWSA,15.21,15.42,15.16,15.29,2111100,0.08,0.52597,15.27
2020-08-14,NWSA,15.31,15.46,15.2,15.33,1806149,0.02,0.13063,15.325
2020-08-17,NWSA,15.33,15.39,15.03,15.12,2019615,-0.21,-1.37,15.2175
2020-08-18,NWSA,14.89,15.27,14.83,15.18,2077500,0.29,1.95,15.0425
2020-08-19,NWSA,15.22,15.41,15.2,15.22,1805700,0.0,0.0,15.2625
2020-08-20,NWSA,15.04,15.28,15.01,15.14,1923727,0.1,0.66489,15.1175
2020-08-21,NWSA,15.17,15.17,14.57,14.61,2293115,-0.56,-3.69,14.88
2020-08-24,NWSA,14.85,14.88,14.74,14.87,1903428,0.02,0.13468,14.835
2020-08-25,NWSA,14.96,15.01,14.82,14.99,1414910,0.025,0.20053,14.945
2020-08-26,NWSA,15.05,15.15,14.88,15.0,1513538,-0.05,-0.33223,15.02
2020-08-27,NWSA,15.08,15.16,14.9,15.06,1175641,-0.02,-0.13263,15.05
2020-08-28,NWSA,15.15,15.28,14.95,15.26,1374818,0.105,0.72607,15.16
2020-08-31,NWSA,15.32,15.43,15.11,15.12,2079927,-0.2,-1.31,15.245
2020-09-01,NWSA,15.11,15.3,14.96,15.18,1553100,0.07,0.46327,15.1375
2020-09-02,NWSA,15.19,15.28,14.99,15.24,2486322,0.05,0.32916,15.175
2020-09-03,NWSA,15.27,15.45,15.05,15.21,2973200,-0.06,-0.39293,15.245
2020-09-04,NWSA,15.26,15.39,14.66,14.95,2423100,-0.31,-2.03,15.065
2020-09-08,NWSA,14.85,14.9,14.62,14.64,1935102,-0.21,-1.41,14.7525
2020-09-09,NWSA,14.77,15.17,14.69,15.12,1965347,0.35,2.37,14.9375
2020-09-10,NWSA,15.09,15.23,14.83,14.84,1961108,-0.25,-1.66,14.9975
2020-09-11,NWSA,14.97,15.21,14.88,15.06,1964439,0.09,0.6012,15.03
2020-09-14,NWSA,15.17,15.37,15.14,15.31,2204229,0.14,0.92287,15.2475
2020-09-15,NWSA,15.27,15.36,15.19,15.32,1630536,0.05,0.32744,15.285
2020-09-16,NWSA,15.4,15.4,15.08,15.11,2612400,-0.29,-1.88,15.2475
2020-09-17,NWSA,14.92,15.25,14.86,15.21,3641700,0.29,1.94,15.06
2020-09-18,NWSA,14.98,15.9,14.9,15.64,8038477,0.665,4.41,15.355
2020-09-21,NWSA,15.42,15.59,14.37,14.57,5159003,-0.85,-5.51,14.9875
2020-09-22,NWSA,14.67,14.81,14.47,14.74,2804045,0.07,0.47716,14.6725
2020-09-23,NWSA,14.68,14.88,14.16,14.24,2924100,-0.44,-3.0,14.49
2020-09-24,NWSA,14.29,14.33,13.96,14.02,1880200,-0.27,-1.89,14.15
2020-09-25,NWSA,13.94,14.12,13.84,14.1,3076642,0.16,1.15,14.0
2020-09-28,NWSA,14.35,14.55,14.17,14.34,2655400,-0.01,-0.06968641,14.3525
