date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,OKE,28.95,29.48,28.57,29.04,5774542,0.09,0.31088,29.01
2020-07-31,OKE,28.0,28.38,27.05,27.91,7232421,-0.09,-0.32143,27.835
2020-08-03,OKE,27.71,28.43,27.53,28.12,3839645,0.41,1.48,27.9475
2020-08-04,OKE,28.03,29.43,27.99,29.19,4384553,1.16,4.14,28.66
2020-08-05,OKE,30.01,31.36,29.29,30.49,8179152,0.48,1.6,30.2875
2020-08-06,OKE,30.27,30.47,29.04,29.11,5670071,-1.16,-3.83,29.7225
2020-08-07,OKE,28.76,29.56,28.6,29.47,3068857,0.71,2.47,29.0975
2020-08-10,OKE,29.69,30.73,29.65,30.22,3871063,0.53,1.79,30.0725
2020-08-11,OKE,30.99,31.21,30.02,30.03,5251948,-0.96,-3.1,30.5625
2020-08-12,OKE,30.65,31.08,29.69,29.94,5878235,-0.71,-2.32,30.34
2020-08-13,OKE,29.76,29.97,28.58,28.81,4313172,-0.95,-3.19,29.28
2020-08-14,OKE,28.82,29.95,28.59,29.49,3175649,0.67,2.32,29.2125
2020-08-17,OKE,29.48,29.68,28.91,28.98,3153031,-0.5,-1.7,29.2625
2020-08-18,OKE,28.98,29.13,27.97,28.08,5420679,-0.9,-3.11,28.54
2020-08-19,OKE,28.08,28.55,27.74,27.86,2736395,-0.22,-0.78348,28.0575
2020-08-20,OKE,27.5,27.85,27.24,27.55,2964166,0.05,0.18182,27.535
2020-08-21,OKE,27.35,27.35,26.48,26.88,3851232,-0.47,-1.72,27.015
2020-08-24,OKE,27.0,27.49,26.58,27.26,3545017,0.26,0.96296,27.0825
2020-08-25,OKE,27.6,27.86,26.51,27.26,4236859,-0.34,-1.23,27.3075
2020-08-26,OKE,27.23,27.34,26.46,26.56,4181018,-0.67,-2.46,26.8975
2020-08-27,OKE,26.62,27.17,26.58,27.04,3168612,0.42,1.58,26.8525
2020-08-28,OKE,27.63,28.26,27.25,28.08,3353199,0.45,1.63,27.805
2020-08-31,OKE,28.02,28.05,27.27,27.48,3497103,-0.54,-1.93,27.705
2020-09-01,OKE,27.25,27.52,26.86,27.15,3244897,-0.1,-0.36697,27.195
2020-09-02,OKE,27.03,27.67,26.9,27.31,3003078,0.28,1.04,27.2275
2020-09-03,OKE,27.3,27.85,26.57,26.91,3941412,-0.39,-1.43,27.1575
2020-09-04,OKE,27.12,27.49,26.12,26.76,3426094,-0.36,-1.33,26.8725
2020-09-08,OKE,26.34,26.49,25.53,26.15,4448606,-0.19,-0.72134,26.1275
2020-09-09,OKE,26.43,26.72,26.13,26.48,2850096,0.05,0.18918,26.44
2020-09-10,OKE,26.64,26.84,26.01,26.03,3190776,-0.61,-2.29,26.38
2020-09-11,OKE,26.14,26.55,25.87,26.34,3256752,0.2,0.76511,26.225
2020-09-14,OKE,26.58,27.62,26.34,27.3,4100125,0.72,2.71,26.96
2020-09-15,OKE,27.35,27.64,26.06,26.29,5131186,-1.06,-3.88,26.835
2020-09-16,OKE,26.52,28.46,26.46,28.07,4643764,1.55,5.84,27.3775
2020-09-17,OKE,27.4,28.32,27.01,28.03,4414254,0.63,2.3,27.69
2020-09-18,OKE,27.77,27.87,27.17,27.54,8245952,-0.23,-0.82823,27.5875
2020-09-21,OKE,26.42,26.94,25.79,26.44,5263195,0.02,0.07570023,26.3975
2020-09-22,OKE,26.79,27.37,25.58,25.67,4608645,-1.12,-4.18,26.3525
2020-09-23,OKE,25.75,26.16,24.52,24.54,4809031,-1.21,-4.7,25.2425
2020-09-24,OKE,24.65,24.99,23.28,24.48,5503571,-0.17,-0.68966,24.35
2020-09-25,OKE,24.14,25.08,24.11,25.01,3507998,0.87,3.6,24.585
