date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1993-03-31,ORLY,1993,Q1,USD,157981616.0,174581616.0,6.125670736842105,1745.81616,-249.40230857142856,54.556755,5.1875,1.9076086956521738,0.05,0.03823080949840922,-0.013733753046303818,0.6060606060606061,1.03125,16700000,37400000,0.031746031746031744,0.0,0.031746031746031744,0.06349206349206349,0.03982328417646693,0.07174887892376682,0.012659700860383653,-0.004430895301134279,8.0,0.0,0.028070175438596492,0,0,0.0,0.0,,,,20.52631578947368,60.184049079754594,144.66257668711654,165.1888924765902,105.00484339683561,-17300000,,31500000,3600000,Consumer Cyclical
1993-06-30,ORLY,1993,Q2,USD,196960000.0,188360000.0,5.32090395480226,-470.9,-64.95172413793104,53.817142857142855,-2.4571428571428573,4.2936507936507935,-0.16,0.05498557295224286,0.022136474411047928,0.6666666666666666,1.0285714285714285,41500000,54900000,0.03513909224011713,0.053313023610053314,0.03513909224011713,0.04419889502762431,0.04151838671411626,0.06283662477558348,0.012185215272136474,-0.014723801787164906,-6.25,0.0,0.07062146892655367,0,0,0.0,0.0,11450000.0,10100000.0,26500000.0,41.69491525423729,38.39449541284404,110.64220183486239,152.33711708909968,113.94262167625564,5700000,-24966666.666666668,54300000,40100000,Consumer Cyclical
1993-09-30,ORLY,1993,Q3,USD,190871428.54375002,188371428.54375002,4.983371125496032,117.73214283984376,-269.1020407767857,44.85034012946429,-0.5952380952380952,4.244274809160306,0.6153846153846154,0.058615995897903034,0.009592517402783138,0.6190476190476191,1.0,42500000,57500000,0.03636363636363636,0.060085836909871244,0.03636363636363636,0.0456140350877193,0.044142614601018676,0.07191780821917808,0.013621734902057639,-0.003667390165938595,1.4375,0.0,0.06084656084656084,0,0,0.0,0.0,12000000.0,9600000.0,27750000.0,18.095238095238095,39.6,114.8,132.89523809523808,93.29523809523809,1800000,-700000.0,57000000,41100000,Consumer Cyclical
1993-12-31,ORLY,1993,Q4,USD,238079474.25119,236079474.25119,6.650126035244789,-76.1546691132871,-39.346579041865,147.54967140699375,-1.25,3.942857142857143,-2.8181818181818183,0.03839302291585095,0.017104118331946652,0.6875,1.0,41200000,58200000,0.015047879616963064,0.022130013831258646,0.015047879616963064,0.01903114186851211,0.018456375838926176,0.02707275803722504,0.004620305901883105,-0.025201668555726028,-0.9354838709677419,0.0,0.08169014084507042,0,0,0.0,0.0,11500000.0,10200000.0,31750000.0,39.04225352112676,50.265957446808514,166.59574468085108,205.63799820197784,155.37204075516934,-4000000,-500000.0,57800000,39900000,Consumer Cyclical
1994-03-31,ORLY,1994,Q1,USD,230530040.0,227930040.0,6.210627792915531,325.61434285714284,-113.96502,59.98158947368421,-0.6842105263157895,3.494047619047619,0.2916666666666667,0.0579951565326963,0.016422064777327935,0.6153846153846154,1.0263157894736843,41900000,60800000,0.030418250950570342,0.05,0.030418250950570342,0.039473684210526314,0.037415384615384614,0.061191626409017714,0.010410790715171004,-0.008675658929309169,3.857142857142857,0.0,0.07356948228882834,0,0,0.0,0.0,15150000.0,11800000.0,36850000.0,36.53950953678474,54.08256880733945,160.59633027522935,197.1358398120141,143.05327100467466,600000,-1061538.4615384615,60800000,40600000,Consumer Cyclical
1994-06-30,ORLY,1994,Q2,USD,214391869.65238,213391869.65238,4.9282186986692835,0.0,-66.68495926636875,47.420415478306666,-0.2222222222222222,3.717948717948718,0.0,0.06535965399497466,0.01637214137686883,0.6304347826086957,1.0222222222222221,42400000,63800000,0.03584672435105068,0.056320400500625784,0.03584672435105068,0.0452418096723869,0.04318046456223943,0.06891271056661562,0.01352663235178707,-0.014925939146799527,0.0,0.0,0.07390300230946882,0,0,0.0,0.0,14650000.0,12300000.0,39650000.0,29.930715935334874,40.27237354085603,141.4785992217899,171.40931515712475,131.13694161626873,-2200000,-863043.4782608696,64100000,41200000,Consumer Cyclical
1994-09-30,ORLY,1994,Q3,USD,206377650.19643,206477650.19643,4.619186805289262,103.238825098215,-129.04853137276874,40.48581376400588,0.0196078431372549,3.5542168674698793,0.625,0.07037319765707979,0.0152176107587755,0.6274509803921569,1.0,42400000,66600000,0.03751465416178194,0.061371841155234655,0.03751465416178194,0.047407407407407405,0.04630969609261939,0.07423580786026202,0.015505554971452791,-0.007752777485726395,1.8,0.0,0.08053691275167785,0,0,0.0,0.0,14250000.0,11950000.0,41600000.0,28.389261744966444,42.758620689655174,147.58620689655172,175.97546864151815,133.21684795186297,-1700000,-400000.0,67500000,41200000,Consumer Cyclical
1994-12-31,ORLY,1994,Q4,USD,204317142.76874998,201717142.76874998,4.757479782281839,35.38897241557017,134.47809517916664,51.722344299679484,-0.6666666666666666,3.6202531645569622,2.28,0.06343354314274087,0.014965245737900285,0.625,1.0256410256410255,41400000,68900000,0.0286368843069874,0.04519119351100811,0.0286368843069874,0.03561253561253561,0.03394846796657382,0.05454545454545454,0.012235879800010454,0.007341527880006272,0.7368421052631579,0.0,0.09905660377358491,0,0,0.0,0.0,11900000.0,11350000.0,42650000.0,20.589622641509433,44.14285714285714,182.14285714285714,202.73247978436657,158.58962264150944,4100000,-762500.0,70200000,40100000,Consumer Cyclical
1995-03-31,ORLY,1995,Q1,USD,214939984.0,214739984.0,5.017289345794392,214.739984,-56.510522105263156,46.682605217391306,-0.043478260869565216,3.1693121693121693,0.3448275862068966,0.06975756825068598,0.011536918138041733,0.6304347826086957,1.0,41000000,72500000,0.03072033898305085,0.05063291139240506,0.03072033898305085,0.03913630229419703,0.037760416666666664,0.060927152317880796,0.013492138344999599,-0.01767935369344775,4.8,0.0,0.11214953271028037,0,0,0.0,0.0,9450000.0,11200000.0,44150000.0,19.345794392523363,43.214285714285715,163.57142857142858,182.91722296395196,139.70293724966623,-3600000,-1500000.0,74100000,39600000,Consumer Cyclical
1995-06-30,ORLY,1995,Q2,USD,233951419.52902,247151419.52902,4.884415405711858,-45.768781394262966,-18.44413578574776,45.768781394262966,2.4444444444444446,2.163076923076923,-1.542857142857143,0.07728858945231927,0.002178984427734006,0.6296296296296297,1.0,37800000,76200000,0.03043867502238138,0.05240174672489083,0.03043867502238138,0.043701799485861184,0.0367170626349892,0.06818181818181818,0.014532931695155859,-0.05727684844561426,-1.4814814814814814,0.0,0.15810276679841898,0,0,0.0,0.0,10250000.0,13100000.0,49800000.0,20.09881422924901,42.159468438538205,160.86378737541528,180.9626016046643,138.8031331661261,-26600000,-1400000.0,77800000,36400000,Consumer Cyclical
1995-09-30,ORLY,1995,Q3,USD,252137618.17768002,267237618.17768002,4.671986331777623,56.85906769737873,-116.19026877290436,39.88621166831045,2.253731343283582,2.68796992481203,1.146341463414634,0.08711317631407067,0.001249714351540954,0.6212121212121212,0.9850746268656716,44900000,89300000,0.034482758620689655,0.058109280138768434,0.034482758620689655,0.04981773997569866,0.04096575996182295,0.07258938244853738,0.01626096109589943,-0.009122002565992365,1.4893617021276595,0.0,0.12237762237762238,0,0,0.0,0.0,10950000.0,13000000.0,53700000.0,16.67832167832168,31.970149253731343,144.0,160.67832167832168,128.70817242459034,-17400000,-9937878.787878789,82300000,34900000,Consumer Cyclical
1995-12-31,ORLY,1995,Q4,USD,239634761.04018,237434761.04018,4.664730079374853,395.72460173363334,-28.955458663436584,37.099181412528125,-0.34375,5.417582417582418,0.16666666666666666,0.10411985201193247,0.019720492467316254,0.6545454545454545,1.0377358490566038,80400000,132400000,0.0234375,0.038899082568807336,0.0234375,0.0268857356235997,0.025583266291230894,0.03914327917282127,0.01502286222738938,-0.0342187417401647,14.666666666666666,8.0,0.17288801571709234,0,0,0.0,0.0,10050000.0,12450000.0,56300000.0,16.797642436149314,43.49442379182156,197.39776951672863,214.19541195287795,170.7009881610564,-6000000,-39730909.09090909,133900000,78900000,Consumer Cyclical
1996-03-31,ORLY,1996,Q1,USD,347603972.69642997,345403972.69642997,6.246003122901085,90.8957822885342,-93.35242505308918,56.62360208138196,-0.36065573770491804,3.526813880126183,0.926829268292683,0.09525514025956987,0.012250671265253163,0.6307692307692307,1.0655737704918034,80100000,138200000,0.02368573079145003,0.03734312825221916,0.02368573079145003,0.02934860415175376,0.02717296827466319,0.04314002828854314,0.011795032053850024,-0.01064429721932807,1.9736842105263157,0.0,0.13562386980108498,0,0,0.0,0.0,10150000.0,19450000.0,66600000.0,17.576853526220614,70.85106382978724,202.9787234042553,220.55557693047592,149.7045131006887,-1500000,-3352307.6923076925,139700000,78400000,Consumer Cyclical
1996-06-30,ORLY,1996,Q2,USD,360597211.51488,357597211.51488,5.197633888297674,-115.35393919834839,-31.368176448673683,46.44119630063376,-0.38961038961038963,3.973584905660377,-0.6326530612244898,0.10595528253549405,0.019937769262820065,0.620253164556962,1.025974025974026,78800000,143600000,0.02827466820542412,0.044457274826789836,0.02827466820542412,0.033769813921433495,0.032489451476793246,0.052452316076294275,0.013588568750753644,-0.03161422117522276,-2.6774193548387095,0.0,0.12063953488372094,0,0,0.0,0.0,11800000.0,22500000.0,76000000.0,16.744186046511626,42.33990147783251,172.4630541871921,189.20724023370374,146.86733875587123,-8400000,-2224050.6329113925,145100000,77100000,Consumer Cyclical
1996-09-30,ORLY,1996,Q3,USD,343488571.3875,340188571.3875,4.832224025390625,52.33670329038461,-179.04661651973683,41.48641114481707,-0.4024390243902439,3.74468085106383,1.1818181818181819,0.11329594521756509,0.019313779416887528,0.6352941176470588,1.0365853658536586,77400000,149000000,0.029916897506925208,0.046353872244205764,0.029916897506925208,0.03580901856763926,0.03418249189439555,0.05384110308601445,0.01572104707352285,-0.00553147952586915,1.2923076923076924,0.0,0.11931818181818182,0,0,0.0,0.0,12350000.0,19300000.0,79050000.0,15.213068181818182,42.59708737864078,175.41262135922332,190.6256895410415,148.02860216240072,1400000,-1790588.2352941176,150800000,75900000,Consumer Cyclical
1996-12-31,ORLY,1996,Q4,USD,319059226.32381004,321259226.32381004,4.9653667128873265,-139.67792448861306,-25.496763993953177,47.94913825728508,0.3283582089552239,3.8988326848249026,-0.5111111111111111,0.10497456792948895,0.01991295730013457,0.6338028169014085,1.0597014925373134,74500000,154300000,0.024509803921568627,0.03680307607800055,0.024509803921568627,0.028883183568677792,0.026359272956172793,0.04243191893603546,0.014103964495397463,-0.039491100587112894,-4.478260869565218,0.0,0.15919629057187018,0,0,0.0,0.0,11600000.0,18400000.0,82100000.0,15.71870170015456,51.900000000000006,251.70000000000002,267.4187017001546,215.5187017001546,-14800000,-3153521.126760563,155800000,72400000,Consumer Cyclical
1997-03-31,ORLY,1997,Q1,USD,367569999.86875004,369069999.86875004,5.387883209762775,38.849473670394744,738.1399997375,46.71772150237342,0.189873417721519,3.0823863636363638,1.9,0.1124438545808512,0.016830127600753475,0.625,1.0126582278481013,73300000,160200000,0.025087807325639738,0.04126403760773048,0.025087807325639738,0.030883261272390366,0.02918144208037825,0.04814137720901889,0.01360285116245987,0.0013602851162459867,0.9473684210526315,0.0,0.13138686131386862,0,0,0.0,0.0,11450000.0,19100000.0,87050000.0,15.24087591240876,47.862595419847324,206.5648854961832,221.80576140859196,173.94316598874462,-1000000,-2862500.0,161900000,71100000,Consumer Cyclical
1997-06-30,ORLY,1997,Q2,USD,386095988.43393,396095988.43393,4.806990150897208,-220.05332690773886,-45.010907776582954,41.69431457199263,1.0526315789473684,2.6824324324324325,-0.29508196721311475,0.12644259485398956,0.013503086424561878,0.6288659793814433,1.0210526315789474,74700000,166400000,0.02833255921969345,0.04582730342498794,0.02833255921969345,0.03615886188500297,0.03269965410029398,0.05558806319485079,0.015799179951966405,-0.022792259602836783,-3.888888888888889,0.0,0.08495145631067962,0,0,0.0,0.0,13000000.0,21600000.0,95150000.0,15.728155339805825,42.075471698113205,188.8679245283019,204.59607986810772,162.52060816999452,-18800000,-2425773.195876289,168700000,72500000,Consumer Cyclical
