date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,PEP,1985,Q3,USD,5486361480.0,,,0.0,0.0,,,0.0,0.0,,,0.06530553142195193,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02466115302340596,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1985-12-31,PEP,1985,Q4,USD,6390746720.0,6985346720.0,2.885910646560628,0.0,0.0,-1.425842852768876,-0.12136923108326018,1.522307566595849,0.0,0.0,-1.3611123051986638,0.0,1.0,958800000.0,3716300000.0,0.0,0.0,0.0,0.0,-1.1211781398755034,-1.2170165196869953,0.0,,0.0,0.0,,0.0,0.0,,0.031682931822834916,,,,38.08221441850857,0.0,0.0,38.08221441850857,38.08221441850857,,,1652000000.0,-1229000000.0,Consumer Defensive
1986-03-31,PEP,1986,Q1,USD,7754544560.0,,,0.0,0.0,,,0.0,0.0,,,0.039937216602720614,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.008859321068882995,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-06-30,PEP,1986,Q2,USD,8897021440.0,,,0.0,0.0,,,0.0,0.0,,,0.058843603744149764,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013566337994572708,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-09-30,PEP,1986,Q3,USD,6852113840.0,,,0.0,0.0,,,0.0,0.0,,,0.06322413936817538,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02213915348493393,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-12-31,PEP,1986,Q4,USD,6712591160.0,8657391160.0,2.774804858974359,0.0,0.0,-1.618143463795746,-0.3635004298904714,1.1262651252755163,0.0,1.4992599965979927,-2.720912471004714,-0.02179357781017532,1.0,280700000.0,5405400000.0,0.014523079989039185,0.0,0.01728944246737841,0.056626681559904815,-0.886058759232884,-0.921574369132719,0.017370341380957874,,0.0,0.0,,0.0,0.0,,0.16000298931320528,,,,23.659615384615385,0.0,0.0,23.659615384615385,23.659615384615385,,,774500000.0,-3465700000.0,Consumer Defensive
1987-03-31,PEP,1987,Q1,USD,8920630220.0,,,0.0,0.0,,,0.0,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-06-30,PEP,1987,Q2,USD,9380184000.0,,,0.0,0.0,,,0.0,0.0,,,0.06321076233183856,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018784279711357474,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-09-30,PEP,1987,Q3,USD,10381028580.0,,,0.0,0.0,,,0.0,0.0,,,0.06461161580075533,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01829298499051045,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-12-31,PEP,1987,Q4,USD,8696073520.0,10269273520.0,2.9627747381783562,0.0,0.0,-1.4935387184036766,-0.2288024666220658,1.079623916556486,0.0,1.8416929439189558,-2.7370108986843062,-0.021379330405189214,1.0,216800000.0,5718500000.0,0.016292240681835813,0.0,0.019244868035190616,0.05859842143027984,-0.9899219672319963,-1.0914141494309433,0.01690418091129478,,0.0,0.0,,0.0,0.0,,0.15342414133241714,,,,22.995297308213843,0.0,0.0,22.995297308213843,22.995297308213843,,,1124300000.0,-3574500000.0,Consumer Defensive
