date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,PGR,1985,Q3,USD,363318918.98769,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011560091645385262,,0.0,0.0,,0.0,0,,0.0,,,,,0,0,,,,,,,Financial Services
1985-12-31,PGR,1985,Q4,USD,460692563.57627,619392563.57627,3.574105964086959,0.0,0.0,0.0,0.0,0.0,0.0,0.1961250761062854,-0.19668852107485466,0.0,0.0,0.0,0.0,0.011593487913172176,0.0,0.011593487913172176,0.07939189189189189,0.0,0.0,0.02040406280281488,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0,0,0.0,0.0,,,652100000.0,-158700000.0,Financial Services
1986-03-31,PGR,1986,Q1,USD,828510585.9653699,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.016535696986945476,,0.0,0.0,,0.0,0,,0.0,,,,,0,0,,,,,,,Financial Services
1986-06-30,PGR,1986,Q2,USD,913921922.2485,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020133010875514317,,0.0,0.0,,0.0,0,,0.0,,,,,0,0,,,,,,,Financial Services
1986-09-30,PGR,1986,Q3,USD,1004019819.49535,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012250754179516439,,0.0,0.0,,0.0,0,,0.0,,,,,0,0,,,,,,,Financial Services
1986-12-31,PGR,1986,Q4,USD,869250959.80884,970050959.80884,4.00186039525099,0.0,0.0,0.0,0.0,0.0,0.0,0.15289503705281296,-0.09985363952786204,0.0,0.0,0.0,0.0,0.002685199810456484,0.0,0.002685199810456484,0.010918432883750802,0.0,0.0,0.003911413570078434,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0,0,0.0,0.0,,,1165400000.0,-100800000.0,Financial Services
1987-03-31,PGR,1987,Q1,USD,824552328.99216,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.024619419879405878,,0.0,0.0,,0.0,0,,0.0,,,,,0,0,,,,,,,Financial Services
1987-06-30,PGR,1987,Q2,USD,862387064.0862,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.025974415587663554,,0.0,0.0,,0.0,0,,0.0,,,,,0,0,,,,,,,Financial Services
1987-09-30,PGR,1987,Q3,USD,941991467.1607,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02653951853232138,,0.0,0.0,,0.0,0,,0.0,,,,,0,0,,,,,,,Financial Services
1987-12-31,PGR,1987,Q4,USD,877283270.19151,1094183270.19151,3.6928223766166384,0.0,0.0,0.0,0.0,0.0,0.0,0.442279728398512,-0.2094646680768065,0.0,0.0,0.0,0.0,0.013216105728845831,0.0,0.013216105728845831,0.05974683544303797,0.0,0.0,0.026901231109591483,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0,0,0.0,0.0,,,1568800000.0,-216900000.0,Financial Services
