date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,PGR,1985,Q3,USD,1,0.0,0.0,0.0,0.0,0.033707865168539325,0.033707865168539325,0.033707865168539325,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.626126130219642,0.0,0.0,0.0,2.9158821748610753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1641641645738097,0.025017936078131874,2.501793607813187,0.1481849999719507,0.004994999999054518,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.01081,Financial Services
1985-12-31,PGR,1985,Q4,USD,1,0.0,0.0,0.0,0.0,0.054241200230813615,0.054241200230813615,0.054241200230813615,0.0,0,0,0.0,0.21373951652688702,0.0,0.0,0.05923125393824827,0.0,12.252461797241223,0.09881017578420342,0.09881017578420342,3.8909844896644423,2.6583529346582226,0.0,0.0,0.19573260976813023,1.3403716216216217,0.5727174305304944,0.5727174305304944,6.847972972972973,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.92788841465,0.018932693486522937,1.8932693486522936,0.2147833692644758,0.011650107738523213,0.19668852107485466,0.0,0.808195240030956,0.808195240030956,0.14674178257884557,,,,0.0,0.0,3.8909844896644423,0.34448135817092784,0.0,0.0,0.01081,Financial Services
1986-03-31,PGR,1986,Q1,USD,1,0.0,0.0,0.0,0.0,0.09157754010695188,0.09157754010695188,0.09157754010695188,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.118806313236679,0.8063363367059562,0.8063363367059562,0.0,5.538172366078676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8115615619335766,0.013419736074385808,1.3419736074385809,0.14545051088223143,0.01331999999389419,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.01081,Financial Services
1986-06-30,PGR,1986,Q2,USD,1,0.0,0.0,0.0,0.0,0.11316113161131611,0.11316113161131611,0.11316113161131611,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.41741742185462,0.3303033034213328,0.3303033034213328,0.0,5.62067602858856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26208026217391306,0.005276464768605035,0.5276464768605035,0.1618488586378176,0.018314999993455372,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0048000000000000004,Financial Services
1986-09-30,PGR,1986,Q3,USD,1,0.0,0.0,0.0,0.0,0.06937394247038917,0.06937394247038917,0.06937394247038917,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.40690690031199,-0.5658278731450145,-0.5658278731450145,0.0,5.662830341203327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411840411707317,0.005045355645017185,0.5045355645017185,0.16800256102990327,0.011655000003766555,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0048,Financial Services
1986-12-31,PGR,1986,Q4,USD,1,0.0,0.0,0.0,0.0,0.014026402640264026,0.014026402640264026,0.014026402640264026,0.0,0,0,0.0,0.19143895119254462,0.0,0.0,0.03373015873015873,0.0,63.91551175065,-0.8797782205677706,-0.8797782205677706,2.791428901120231,3.5860188110925746,0.0,0.0,0.0796082767335334,0.3236994219653179,0.2445414847161572,0.2445414847161572,4.066152858060373,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.4251446719999998,0.0055743302093857776,0.5574330209385778,0.24012422838843014,0.0033680791110588387,0.09985363952786204,0.0,1.1544586458905794,1.1544586458905794,0.3084764221128595,,,,0.0,0.0,2.791428901120231,0.1159619081952665,0.0,0.0,0.0048,Financial Services
1987-03-31,PGR,1987,Q1,USD,1,0.0,0.0,0.0,0.0,0.09694364851957975,0.09694364851957975,0.09694364851957975,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.154585332415763,0.02043690129794368,0.02043690129794368,0.0,3.9376902053111746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506789220098522,0.006171569635877391,0.6171569635877391,0.19751680793754514,0.019148000005406715,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0048,Financial Services
1987-06-30,PGR,1987,Q2,USD,1,0.0,0.0,0.0,0.0,0.09540034071550256,0.09540034071550256,0.09540034071550256,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.624855625962054,0.7353389698235006,0.7353389698235006,0.0,3.672858024217206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01924999806181095,0.0005000074497191955,0.05000074497191955,0.22688598211677538,0.02164499999751179,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.000416666208,Financial Services
1987-09-30,PGR,1987,Q3,USD,1,0.0,0.0,0.0,0.0,0.09637625289128758,0.09637625289128758,0.09637625289128758,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.419914671607,0.8138806276268451,0.8138806276268451,0.0,3.631424314420586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1150548812898748,0.0030535011542266685,0.3053501154226668,0.2505077680918562,0.024143000008852757,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.00277777,Financial Services
1987-12-31,PGR,1987,Q4,USD,1,0.0,0.0,0.0,0.0,0.07964900438744515,0.07964900438744515,0.07964900438744515,0.0,0,0,0.0,0.16592932743461947,0.0,0.0,0.10880590133702167,0.0,9.293254980842267,-1.7228265002946077,-1.7228265002946077,2.220970304282304,2.960794026971009,0.0,0.0,0.12146497171977376,0.5491139240506329,0.35446968458898515,0.35446968458898515,4.520759493670886,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.12188017085791822,0.003278726643925355,0.3278726643925355,0.28614283610492286,0.022790992008357002,0.2094646680768065,0.0,1.5150215365555282,1.5150215365555282,0.3814594001398735,,,,0.0,0.0,2.220970304282304,0.24724055201993192,0.0,0.0,0.00277777,Financial Services
1988-03-31,PGR,1988,Q1,USD,1,0.0,0.0,0.0,0.0,0.10650069156293222,0.10650069156293222,0.10650069156293222,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.553898687440422,0.2371887144026057,0.2371887144026057,0.0,2.791978970583195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09533152581989807,0.0036364433738725176,0.3636443373872517,0.2735944675974551,0.02913800000692122,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.00277777,Financial Services
1988-06-30,PGR,1988,Q2,USD,1,0.0,0.0,0.0,0.0,0.07664826242286457,0.07664826242286457,0.07664826242286457,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.615735386563664,-0.42396651477121594,-0.42396651477121594,0.0,2.9481176371926274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12357727556928856,0.0032128919578518805,0.32128919578518805,0.29326170336380974,0.022477999998005555,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.00277777,Financial Services
1988-09-30,PGR,1988,Q3,USD,1,0.0,0.0,0.0,0.0,0.08202499198974687,0.08202499198974687,0.08202499198974687,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.466870740985155,0.5091048232489876,0.5091048232489876,0.0,2.4498800508711307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10763212961877656,0.003603655847020057,0.3603655847020057,0.31463581236392,0.02580799998883804,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.00277777,Financial Services
1988-12-31,PGR,1988,Q4,USD,1,0.0,0.0,0.0,0.0,0.0659012629161883,0.0659012629161883,0.0659012629161883,0.0,0,0,0.0,0.18876511637987084,0.0,0.0,0.0598914858096828,0.0,5.285385476922649,0.4398804687245301,0.4398804687245301,1.454367815797507,1.3932543117123306,0.0,0.0,0.2077066447054744,1.1486097794822627,0.5345827755466309,0.5345827755466309,5.529961649089166,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.09192076894710384,0.004347874405209116,0.43478744052091156,0.4585523221635014,0.030219177143725576,0.50456549433008,0.0,1.9246562334848776,1.9246562334848776,0.4392836482356206,,,,0.0,0.0,1.454367815797507,0.789765674821688,0.0,0.0,0.00277777,Financial Services
1989-03-31,PGR,1989,Q1,USD,1,0.03554026941817139,0.046718257380338205,0.7515047291487532,0.0,0.0644883920894239,0.0644883920894239,0.0644883920894239,1.7864823348694316,0,0,7.091463414634147,0.13821106005387418,0.0,0.0,0.041127901542296307,0.0,9.422657711992779,-0.425491887307174,-0.425491887307174,1.9260485897782194,2.4306081802216966,16.726611323064102,15.792163763116388,0.2630724132467121,1.5082898024074494,0.6013219847881203,0.593143596377749,5.733363615716557,3.5729646697388633,0.0,0.15391229578675839,0.9441340782122905,0.36127167630057805,21.14516129032258,2.418918918918919,0.0808613160668574,17.9,8.95,0.13333333333333333,0.0035375723444679534,0.3537572344467953,0.34855885325076363,0.022477999994675212,0.6758385331732347,0.0,1.880659332887826,1.880659332887826,0.43986948434024425,0.05364749332062484,0.002997066665956695,0.050650426654668144,0.0,0.0,1.9260485897782194,0.783100597987056,0.0,92.76927571038956,0.002997066665956695,Financial Services
1989-06-30,PGR,1989,Q2,USD,1,0.03506787330316742,0.04694570135746606,0.7661199095022625,0.0,0.08908371040723982,0.08908371040723982,0.08908371040723982,1.6087352138307551,0,0,6.696969696969697,0.13651455486062852,0.0,0.0,0.05615856536101935,0.0,6.496627446414047,0.146174117544316,0.146174117544316,1.8082064463180252,2.3149747122403,18.603978596549318,15.833173273658993,0.24928576943865338,1.4263309034680804,0.5878550619082301,0.5840683572216097,5.721669980119285,1.7036858588291979,0.0,0.146210407239819,0.851063829787234,0.45982142857142855,21.846774193548388,5.17,0.08006814310051108,6.714285714285714,4.877358490566038,0.09206349206349207,0.003542741708019154,0.3542741708019154,0.36446618424763977,0.032468000010748455,0.6783235176848749,0.0,2.0145620959050112,2.0145620959050112,0.4666115430116135,0.05328874922399032,0.007936622224849622,0.0453521269991407,0.0,0.0,1.8082064463180252,0.7888097658165405,0.0,88.20934085832349,0.0029891174613070007,Financial Services
