date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,PGR,87.89,89.33,87.68,88.52,2119900,0.63,0.71681,88.355
2020-07-31,PGR,88.2,90.41,88.11,90.34,4016500,2.14,2.43,89.265
2020-08-03,PGR,90.7,91.23,89.65,89.89,2134400,-0.81,-0.89305,90.3675
2020-08-04,PGR,89.58,90.47,89.43,90.25,2496900,0.67,0.74793,89.9325
2020-08-05,PGR,91.03,91.81,90.56,90.62,2446491,-0.41,-0.4504,91.005
2020-08-06,PGR,90.7,91.38,88.91,89.61,2514610,-1.09,-1.2,90.15
2020-08-07,PGR,89.31,90.77,89.31,90.73,1735406,1.42,1.59,90.03
2020-08-10,PGR,90.99,91.14,89.71,90.12,2410700,-0.87,-0.95615,90.49
2020-08-11,PGR,90.93,91.12,88.87,89.02,2468200,-1.91,-2.1,89.985
2020-08-12,PGR,90.03,90.48,88.72,89.01,2058900,-1.02,-1.13,89.56
2020-08-13,PGR,88.38,89.05,87.93,89.04,1994849,0.66,0.74678,88.6
2020-08-14,PGR,89.0,89.56,88.6,88.97,1731200,-0.03,-0.03370787,89.0325
2020-08-17,PGR,88.55,89.78,88.47,88.83,1709131,0.28,0.31621,88.9075
2020-08-18,PGR,88.96,89.96,88.9,89.74,1510248,0.78,0.8768,89.39
2020-08-19,PGR,90.16,91.02,89.95,90.41,2728041,0.25,0.27728,90.385
2020-08-20,PGR,90.28,91.05,90.09,90.84,1663200,0.56,0.62029,90.565
2020-08-21,PGR,91.22,91.99,90.81,91.82,2085600,0.6,0.65775,91.46
2020-08-24,PGR,92.0,92.34,91.43,92.0,2535029,0.0,0.0,91.9425
2020-08-25,PGR,92.45,93.03,91.72,92.77,2443900,0.32,0.34613,92.4925
2020-08-26,PGR,92.07,92.74,91.52,92.17,1603644,0.1,0.10861,92.125
2020-08-27,PGR,92.49,93.9,92.49,93.31,1407342,0.82,0.88658,93.0475
2020-08-28,PGR,93.68,93.82,93.12,93.68,1425815,0.0,0.0,93.575
2020-08-31,PGR,93.71,95.35,93.1,95.04,2169154,1.33,1.42,94.3
2020-09-01,PGR,94.8,95.29,93.08,93.87,2426200,-0.93,-0.98101,94.26
2020-09-02,PGR,94.11,95.37,93.25,95.0,1774100,0.89,0.9457,94.4325
2020-09-03,PGR,95.59,96.2,92.66,93.29,2378030,-2.3,-2.41,94.435
2020-09-04,PGR,93.99,95.05,92.43,92.94,2059500,-1.05,-1.12,93.6025
2020-09-08,PGR,93.09,93.09,90.63,91.81,2398200,-1.28,-1.38,92.155
2020-09-09,PGR,92.34,95.41,92.34,94.67,1826900,2.33,2.52,93.69
2020-09-10,PGR,94.47,95.59,94.15,94.35,1912046,-0.12,-0.12702,94.64
2020-09-11,PGR,94.3,95.67,94.18,94.98,1494700,0.68,0.7211,94.7825
2020-09-14,PGR,95.68,96.58,95.37,96.26,1838728,0.58,0.60619,95.9725
2020-09-15,PGR,96.37,96.9,94.94,95.08,1764153,-1.29,-1.34,95.8225
2020-09-16,PGR,95.89,96.25,95.05,95.08,1808456,-0.81,-0.84472,95.5675
2020-09-17,PGR,94.39,95.99,93.81,95.43,2322295,1.04,1.1,94.905
2020-09-18,PGR,95.12,97.52,94.94,96.86,3894600,1.74,1.83,96.11
2020-09-21,PGR,95.69,97.38,95.36,97.36,2740800,1.67,1.75,96.4475
2020-09-22,PGR,96.71,97.81,93.48,94.42,2923131,-2.29,-2.37,95.605
2020-09-23,PGR,94.44,94.7,91.14,91.19,2881300,-3.25,-3.44,92.8675
2020-09-24,PGR,91.73,92.91,90.89,92.2,1810422,0.47,0.51237,91.9325
2020-09-25,PGR,91.32,92.82,91.2,92.6,1676800,1.28,1.4,91.985
2020-09-28,PGR,93.56,94.97,93.25,93.98,1826941,0.42,0.44891,93.94
2020-09-29,PGR,94.13,94.77,93.59,94.15,1744740,0.02,0.02124721,94.16
2020-09-30,PGR,94.38,94.99,93.49,94.67,3119620,0.295,0.30727,94.3825
2020-10-01,PGR,95.08,95.44,92.72,93.46,2006342,-1.62,-1.7,94.175
2020-10-02,PGR,92.87,95.3,92.4,94.21,1586944,1.34,1.44,93.695
2020-10-05,PGR,95.18,96.08,94.28,95.98,1325200,0.8,0.84051,95.38
2020-10-06,PGR,96.1,96.38,94.45,95.12,1971317,-0.98,-1.02,95.5125
2020-10-07,PGR,95.25,97.0,95.25,96.41,2305569,1.16,1.22,95.9775
