date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,PLD,104.98,106.73,104.33,105.19,2758547,0.21,0.20004,105.3075
2020-07-31,PLD,104.91,105.58,103.1,105.42,3832844,0.51,0.48613,104.7525
2020-08-03,PLD,105.48,105.92,104.0,104.98,2063084,-0.5,-0.47402,105.095
2020-08-04,PLD,104.69,105.94,104.08,105.59,2988300,0.9,0.85968,105.075
2020-08-05,PLD,106.12,106.5,104.63,104.9,1561671,-1.22,-1.15,105.5375
2020-08-06,PLD,104.58,105.82,104.57,104.88,1743226,0.3,0.28686,104.9625
2020-08-07,PLD,104.37,105.15,104.1,105.07,2014720,0.7,0.67069,104.6725
2020-08-10,PLD,105.31,105.64,103.73,103.73,2653684,-1.58,-1.5,104.6025
2020-08-11,PLD,104.68,104.71,100.08,100.51,3576281,-4.17,-3.98,102.495
2020-08-12,PLD,102.2,103.08,100.97,102.88,2751400,0.68,0.66536,102.2825
2020-08-13,PLD,102.5,103.73,102.33,102.64,2104547,0.14,0.13659,102.8
2020-08-14,PLD,102.34,103.85,102.03,102.32,2689846,-0.02,-0.0195427,102.635
2020-08-17,PLD,102.3,104.22,102.0,104.21,2087200,1.91,1.87,103.1825
2020-08-18,PLD,104.08,104.32,102.99,103.65,1490627,-0.43,-0.41314,103.76
2020-08-19,PLD,103.75,104.05,101.47,101.74,2827303,-2.01,-1.94,102.7525
2020-08-20,PLD,101.53,103.44,101.25,102.69,1794500,1.16,1.14,102.2275
2020-08-21,PLD,103.54,103.62,101.85,103.04,1411041,-0.5,-0.48291,103.0125
2020-08-24,PLD,102.53,102.68,100.42,102.0,2015922,-0.53,-0.51692,101.9075
2020-08-25,PLD,102.51,102.6,100.95,101.98,3121253,-0.53,-0.51702,102.01
2020-08-26,PLD,101.71,101.96,100.3,101.03,2780151,-0.68,-0.66857,101.25
2020-08-27,PLD,101.67,102.68,101.4,101.9,2035222,0.23,0.22622,101.9125
2020-08-28,PLD,102.63,102.63,101.22,102.49,1941800,-0.14,-0.13641,102.2425
2020-08-31,PLD,102.44,102.68,100.88,101.86,2630703,-0.58,-0.56619,101.965
2020-09-01,PLD,101.74,101.89,100.76,101.5,1735626,-0.24,-0.2359,101.4725
2020-09-02,PLD,101.51,104.66,100.91,104.58,3236635,3.07,3.02,102.915
2020-09-03,PLD,104.35,104.66,100.61,101.61,2368151,-2.74,-2.63,102.8075
2020-09-04,PLD,101.52,102.4,98.19,100.76,2042910,-0.76,-0.74862,100.7175
2020-09-08,PLD,100.07,100.26,98.31,98.8,2764554,-1.27,-1.27,99.36
2020-09-09,PLD,99.96,101.58,99.73,100.98,2999700,1.02,1.02,100.5625
2020-09-10,PLD,100.76,101.6,99.82,100.01,1792318,-0.75,-0.74434,100.5475
2020-09-11,PLD,100.43,100.94,99.17,100.21,1830200,-0.22,-0.21906,100.1875
2020-09-14,PLD,100.92,102.85,100.75,101.95,1842800,1.03,1.02,101.6175
2020-09-15,PLD,102.2,103.58,102.13,102.73,1524549,0.53,0.51859,102.66
2020-09-16,PLD,102.87,103.26,101.97,102.04,2363612,-0.83,-0.80684,102.535
2020-09-17,PLD,100.89,102.18,99.97,101.1,2309049,0.21,0.20815,101.035
2020-09-18,PLD,101.29,102.03,98.7,99.52,4555497,-1.77,-1.75,100.385
2020-09-21,PLD,98.12,98.4,95.89,96.55,4409528,-1.57,-1.6,97.24
2020-09-22,PLD,96.61,99.99,96.61,99.19,3161928,2.58,2.67,98.1
2020-09-23,PLD,98.96,99.37,94.85,95.3,2543384,-3.66,-3.7,97.12
2020-09-24,PLD,95.3,97.08,94.8,95.36,2235300,0.06,0.06295908,95.635
2020-09-25,PLD,95.01,97.69,94.76,97.67,1634700,2.66,2.8,96.2825
2020-09-28,PLD,99.13,100.2,98.37,100.03,2298700,0.9,0.9079,99.4325
2020-09-29,PLD,99.58,100.45,99.0,99.61,1826400,0.03,0.03012653,99.66
2020-09-30,PLD,100.21,101.55,98.76,100.62,3645700,0.41,0.40914,100.285
2020-10-01,PLD,100.93,102.37,99.56,102.16,3090407,1.23,1.22,101.255
2020-10-02,PLD,101.0,104.74,100.5,104.22,4631286,3.22,3.19,102.615
2020-10-05,PLD,105.0,105.72,103.43,105.19,2747009,0.19,0.18095,104.835
2020-10-06,PLD,105.28,105.67,103.55,104.48,2637224,-0.8,-0.75988,104.745
2020-10-07,PLD,105.09,106.38,103.92,105.76,2056800,0.67,0.63755,105.2875
2020-10-08,PLD,105.83,109.11,105.45,106.84,2382507,1.01,0.95436,106.8075
2020-10-09,PLD,107.35,107.95,106.28,106.91,1918925,-0.44,-0.40987,107.1225
2020-10-12,PLD,107.8,108.85,106.14,108.29,1302918,0.49,0.45455,107.77
2020-10-13,PLD,107.09,107.88,106.1,106.63,2096825,-0.46,-0.42955,106.925
2020-10-14,PLD,106.05,106.47,103.87,104.03,1668026,-2.02,-1.9,105.105
2020-10-15,PLD,103.24,105.9,103.08,104.98,1280525,1.74,1.69,104.3
2020-10-16,PLD,104.74,105.49,104.2,104.26,2167900,-0.48,-0.45828,104.6725
2020-10-19,PLD,105.12,105.24,102.9,103.02,1938911,-2.1,-2.0,104.07
2020-10-20,PLD,104.93,105.08,102.91,103.53,1780303,-1.4,-1.33,104.1125
2020-10-21,PLD,102.91,104.54,102.27,102.65,1922213,-0.26,-0.25265,103.0925
2020-10-22,PLD,102.93,103.83,102.62,102.8,1639821,-0.13,-0.1263,103.045
2020-10-23,PLD,103.72,104.12,102.88,103.24,1403200,-0.48,-0.46278,103.49
2020-10-26,PLD,101.95,102.13,99.9,100.47,1927421,-1.48,-1.45,101.1125
2020-10-27,PLD,100.39,101.35,99.12,99.14,1797939,-1.25,-1.25,100.0
2020-10-28,PLD,97.44,99.14,96.87,97.51,2666800,0.07,0.07183908,97.74
2020-10-29,PLD,97.3,101.1,96.57,100.18,2234359,2.88,2.96,98.7875
2020-10-30,PLD,99.47,100.39,97.99,99.2,2273800,-0.27,-0.27144,99.2625
2020-11-02,PLD,100.72,102.28,100.36,101.87,1830212,1.15,1.14,101.3075
2020-11-03,PLD,102.66,105.16,102.27,104.39,1521546,1.73,1.69,103.62
2020-11-04,PLD,104.8,107.63,104.29,105.81,1958828,1.01,0.96374,105.6325
2020-11-05,PLD,106.7,106.88,105.29,105.88,1594000,-0.82,-0.76851,106.1875
2020-11-06,PLD,105.57,106.4,104.5,104.89,1765200,-0.68,-0.64412,105.34
2020-11-09,PLD,111.56,112.37,99.3,99.61,5949730,-11.95,-10.71,105.71
2020-11-10,PLD,100.0,100.56,98.14,99.94,5771054,-0.06,-0.06,99.66
2020-11-11,PLD,100.82,102.32,99.65,102.02,3898001,1.2,1.19,101.2025
2020-11-12,PLD,102.62,103.69,101.5,102.62,2968330,0.0,0.0,102.6075
2020-11-13,PLD,103.17,103.98,102.6,103.53,2470300,0.36,0.34894,103.32
2020-11-16,PLD,104.46,104.68,100.85,103.26,2061581,-1.2,-1.15,103.3125
2020-11-17,PLD,102.63,104.37,101.33,104.2,1982601,1.57,1.53,103.1325
2020-11-18,PLD,104.18,104.65,101.37,101.4,2012500,-2.78,-2.67,102.9
2020-11-19,PLD,101.02,101.6,99.71,99.99,2276476,-1.03,-1.02,100.58
2020-11-20,PLD,100.05,100.82,98.62,100.27,2530477,0.22,0.21989,99.94
2020-11-23,PLD,99.96,100.88,99.49,99.56,2537808,-0.4,-0.40016,99.9725
2020-11-24,PLD,100.38,100.73,98.53,98.81,2747163,-1.57,-1.56,99.6125
2020-11-25,PLD,99.24,99.53,98.5,99.01,2028700,-0.23,-0.23176,99.07
2020-11-27,PLD,99.45,100.84,98.8,100.6,1273100,1.15,1.16,99.9225
2020-11-30,PLD,100.47,101.01,99.09,100.05,3730203,-0.42,-0.41804,100.155
2020-12-01,PLD,100.84,101.91,100.14,100.2,3646543,-0.64,-0.63467,100.7725
2020-12-02,PLD,99.82,100.15,97.46,97.52,2791618,-2.3,-2.3,98.7375
2020-12-03,PLD,97.26,97.96,96.59,97.1,4348624,-0.16,-0.16451,97.2275
2020-12-04,PLD,97.61,98.75,97.25,98.66,3284300,1.05,1.08,98.0675
2020-12-07,PLD,98.05,98.79,97.31,97.53,2264306,-0.52,-0.53034,97.92
2020-12-08,PLD,97.72,98.21,96.48,96.91,2365536,-0.81,-0.8289,97.33
2020-12-09,PLD,97.22,97.29,95.16,96.43,2919242,-0.79,-0.81259,96.525
2020-12-10,PLD,96.37,97.88,96.04,97.18,3828018,0.81,0.84051,96.8675
2020-12-11,PLD,96.76,97.51,95.69,97.37,3177200,0.61,0.63043,96.8325
2020-12-14,PLD,97.9,99.26,96.62,96.87,2769807,-1.03,-1.05,97.6625
2020-12-15,PLD,97.55,99.56,96.84,99.55,3010626,2.0,2.05,98.375
2020-12-16,PLD,99.38,100.63,99.05,99.85,2896717,0.47,0.47293,99.7275
2020-12-17,PLD,100.13,100.69,99.52,100.58,3842600,0.45,0.44942,100.23
2020-12-18,PLD,100.47,100.76,97.07,98.07,7273900,-2.4,-2.39,99.0925
2020-12-21,PLD,96.31,97.6,95.99,97.25,3483400,0.94,0.97601,96.7875
2020-12-22,PLD,97.9,98.08,97.01,97.65,2425041,-0.25,-0.25536,97.66
2020-12-23,PLD,98.0,98.92,96.16,96.19,2218438,-1.81,-1.85,97.3175
2020-12-24,PLD,96.66,97.51,96.34,97.24,714040,0.58,0.60004,96.9375
2020-12-28,PLD,97.89,98.49,97.28,98.22,1327221,0.33,0.33711,97.97
2020-12-29,PLD,99.04,99.38,97.68,97.72,1512500,-1.32,-1.33,98.455
2020-12-30,PLD,97.98,99.33,97.9,98.82,1568049,0.84,0.85732,98.5075
2020-12-31,PLD,98.66,99.8,98.06,99.66,1569308,1.0,1.01,99.045
2021-01-04,PLD,99.55,99.89,95.99,96.04,4454245,-3.51,-3.53,97.8675
2021-01-05,PLD,96.15,97.24,95.91,96.19,3844400,0.04,0.04160166,96.3725
2021-01-06,PLD,96.09,96.36,93.39,93.91,4786448,-2.18,-2.27,94.9375
2021-01-07,PLD,93.91,95.36,93.71,95.32,3187807,1.41,1.5,94.575
2021-01-08,PLD,95.27,97.6,95.15,96.6,2199734,1.33,1.4,96.155
2021-01-11,PLD,95.97,96.48,94.14,94.66,2268300,-1.31,-1.37,95.3125
