date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2001-08-01,PM,2001,Q2,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-3140000000.0,-3102000000.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,,,-3140000000.0,-3140000000.0,Consumer Defensive
2001-10-01,PM,2001,Q3,USD,100162920000.0,99008920000.0,12.19021423294755,0.0,0.0,28.656706222865413,-0.33400868306801734,4.762460233297985,0.0,,-22.54930966469428,0.790470372632865,0.955075845974329,3548000000.0,19316000000.0,0.06222799297891269,0.1659980301246787,0.08117433034314032,-0.29981464318813716,0.13712913755528586,0.08500221424002362,0.025837904885360773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23340306331000985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154000000.0,-4029572388.5155773,-18339000000.0,-45730000000.0,Consumer Defensive
2001-12-31,PM,2001,Q4,USD,0.0,,0.0,,,0.0,0.0,0.0,0.9999958281184814,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,Consumer Defensive
2006-03-31,PM,2006,Q1,USD,104178969070.0,,,0.0,0.0,,,0.0,0.0,,,1.0,0.1273932863655201,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014753457571338202,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
2006-06-30,PM,2006,Q2,USD,104114120000.0,,,0.0,0.0,,,0.0,0.0,,,1.0,0.1273932863655201,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014762646987747674,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
2006-09-30,PM,2006,Q3,USD,104178969070.0,,,0.0,0.0,,,0.0,0.0,,,1.0,0.1273932863655201,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014753457571338202,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
2006-12-31,PM,2006,Q4,USD,104178969070.0,105288969070.0,-6.825422602748606,0.0,0.0,-3.783698173356812,-0.03988931613181442,1.706252682787237,0.0,10.527182894643252,-2.237813923301094,0.42489626556016596,-0.12990979983469292,4936000000.0,17998000000.0,0.05880551301684533,0.0,0.08395277656318322,0.1076610359571038,-1.4128966742828128,-1.4545502064711724,0.014743858704993807,,0.0,0.0,,0.0,0.0,,0.2995405819295559,,,,-14.929988331388564,0.0,0.0,-14.929988331388564,-14.929988331388564,,,6443000000.0,72000000.0,Consumer Defensive
2007-03-31,PM,2007,Q1,USD,104163510000.0,,,,,,,0.0,0.6996539792387543,,,0.6812824139556812,0.9671682626538988,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013872420389827493,0.007497827214155898,0.2274975272007913,1.4110429447852761,0.041448909713461886,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Consumer Defensive
2007-06-30,PM,2007,Q2,USD,104163510000.0,,,,,,,0.0,2.162508428860418,,,0.6698283649503162,0.9655473179241169,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014237231445061711,0.028599266672177232,0.07109448082319925,1.302857142857143,0.0390745501285347,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Consumer Defensive
2007-09-30,PM,2007,Q3,USD,104163510000.0,,,,,,,0.0,0.6376811594202898,,,0.6869772998805257,1.000398406374502,,,0.0,0.0,0.0,0.0,0.0,0.0,0.016560501849448045,0.008102645542570522,0.23272727272727273,1.3333333333333333,0.043272481406355645,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Consumer Defensive
