date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,PNC,106.45,106.62,104.34,106.27,1737076,-0.18,-0.16909,105.92
2020-07-31,PNC,105.71,106.78,104.06,106.67,2082383,0.96,0.90814,105.805
2020-08-03,PNC,106.54,107.6,105.3,105.93,1913248,-0.61,-0.57255,106.3425
2020-08-04,PNC,106.14,106.14,104.83,105.29,1645437,-0.85,-0.80083,105.6
2020-08-05,PNC,106.19,106.78,105.36,106.56,2293394,0.37,0.34843,106.2225
2020-08-06,PNC,105.79,107.38,105.65,107.03,1632845,1.24,1.17,106.4625
2020-08-07,PNC,105.83,110.03,105.81,109.7,2798178,3.87,3.66,107.8425
2020-08-10,PNC,110.15,111.61,109.38,109.66,2066986,-0.49,-0.44485,110.2
2020-08-11,PNC,112.74,115.29,111.93,112.47,2910879,-0.27,-0.23949,113.1075
2020-08-12,PNC,114.73,114.85,110.4,112.0,2005600,-2.73,-2.38,112.995
2020-08-13,PNC,110.46,111.79,109.83,111.01,1271012,0.55,0.49792,110.7725
2020-08-14,PNC,109.8,112.49,109.5,111.75,1831323,1.95,1.78,110.885
2020-08-17,PNC,110.4,111.05,109.54,110.33,2513600,-0.07,-0.0634058,110.33
2020-08-18,PNC,109.94,110.33,106.81,107.08,2431407,-2.86,-2.6,108.54
2020-08-19,PNC,106.87,108.75,106.17,106.39,1989200,-0.48,-0.44914,107.045
2020-08-20,PNC,105.08,106.43,104.41,106.08,2003970,1.0,0.95166,105.5
2020-08-21,PNC,105.8,106.99,105.5,106.45,2208336,0.65,0.61437,106.185
2020-08-24,PNC,106.89,109.88,106.5,109.8,1704700,2.91,2.72,108.2675
2020-08-25,PNC,111.45,112.0,109.57,110.77,2044232,-0.68,-0.61014,110.9475
2020-08-26,PNC,110.51,111.32,109.52,110.31,2058248,-0.2,-0.18098,110.415
2020-08-27,PNC,110.04,113.48,109.55,112.5,1857218,2.46,2.24,111.3925
2020-08-28,PNC,113.2,113.2,111.41,112.35,1311909,-0.85,-0.75088,112.54
2020-08-31,PNC,112.04,112.26,111.1,111.2,2158632,-0.84,-0.74973,111.65
2020-09-01,PNC,109.81,112.39,109.54,111.6,1705800,1.79,1.63,110.835
2020-09-02,PNC,111.0,113.0,110.62,112.4,1625089,1.4,1.26,111.755
2020-09-03,PNC,113.76,116.67,110.94,111.67,1869810,-2.09,-1.84,113.26
2020-09-04,PNC,113.97,115.56,111.34,113.1,1466800,-0.87,-0.76336,113.4925
2020-09-08,PNC,111.61,112.11,108.84,110.3,2045332,-1.31,-1.17,110.715
2020-09-09,PNC,111.28,111.28,109.77,109.91,1074900,-1.37,-1.23,110.56
2020-09-10,PNC,110.61,111.59,108.19,108.22,2031400,-2.39,-2.16,109.6525
2020-09-11,PNC,109.08,111.26,108.35,110.75,1632018,1.67,1.53,109.86
2020-09-14,PNC,111.5,115.08,111.23,114.18,1504321,2.68,2.4,112.9975
2020-09-15,PNC,113.7,114.43,110.7,111.29,1998406,-2.41,-2.12,112.53
2020-09-16,PNC,111.15,115.13,110.74,113.64,2254118,2.49,2.24,112.665
