date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2014-03-31,PYPL,2014,Q1,USD,42987408829.00001,44912408829.00001,23.966066610992534,105.67625606823532,138.19202716615388,100.25091256473216,4.296875,0.0,-1.112565445026178,,1.6438941076003415,-1.2243589743589745,0.9811320754716981,1925000000.0,1925000000.0,0.0,0.0,0.0,-0.0516914749661705,0.0,0.0,-0.008886323004942243,0.007560353341901122,0.23529411764705882,0.7692307692307693,0.05336179295624333,0.06136606189967983,0.1056563500533618,0.03628601921024546,0.0,,,,0.0,0.0,0.0,0.0,0.0,-1600000000.0,,0.0,1925000000.0,Financial Services
2014-06-30,PYPL,2014,Q2,USD,42987408829.00001,,,,,,,0.0,1.99288256227758,,,0.8619631901840491,0.9878787878787879,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006536797812536048,0.010793858309668064,0.17142857142857143,0.768,0.048411497730711045,0.061522945032778616,0.11144730206757439,0.037821482602118005,0.0,,,,,,,,,,,,,Financial Services
2014-09-30,PYPL,2014,Q3,USD,42987408829.00001,,,,,,,0.0,2.5811965811965814,,,0.8478260869565217,1.0147058823529411,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005443454406168808,0.010026191662644257,0.28642384105960267,1.3410852713178294,0.08759493670886076,0.05113924050632911,0.11746835443037974,0.0379746835443038,0.0,,,,,,,,,,,,,Financial Services
2014-12-31,PYPL,2014,Q4,USD,42987408829.00001,42265408829.00001,19.27287224304606,66.98163047385104,83.19962367913388,88.05293506041669,-1.5041666666666667,1.3223669351803056,2.2062937062937062,6.221451310932133,-0.1889410760034159,0.8242074927953891,0.9971264367816092,4282000000.0,8549000000.0,0.013049231190400147,0.0,0.015399526168425586,0.03467507274490786,0.029487427520591695,0.04030576789437109,0.006653110940872987,0.011817413839033139,0.1949286846275753,0.9318181818181818,0.0560875512995896,0.06566347469220246,0.10898312813497492,0.036935704514363885,0.15262125290870102,,,,613.8303693570451,1226.7217280813215,0.0,613.8303693570451,-612.8913587242764,1230000000.0,,4903000000.0,3896000000.0,Financial Services
2015-03-31,PYPL,2015,Q1,USD,44712908184.74648,43605908184.74648,20.405198027490165,80.15791945725456,124.58830909927566,85.33445828717511,-2.1663405088062624,1.343789209535759,2.1333333333333333,5.780556831819399,-0.04105078431525886,0.794392523364486,0.8675675675675676,4658000000.0,8969000000.0,0.011293679968111963,0.014473211075152823,0.013241937996572676,0.029513888888888888,0.025843038242409022,0.03565891472868217,0.005703051095365602,0.007827717189717493,0.35661764705882354,1.375886524822695,0.09078146934955546,0.10154422087037904,0.08656995788488535,0.03696771174543753,0.14712786217281545,15154500000.0,10898500000.0,0.0,646.5512400561535,1323.1075697211154,0.0,646.5512400561535,-676.5563296649619,1457000000.0,-135074766.3551402,5318000000.0,4268000000.0,Financial Services
2015-06-30,PYPL,2015,Q2,USD,44786198780.00001,43913198780.00001,19.117631162385724,70.59999803858523,112.30997130434784,79.98761162112935,-1.5901639344262295,1.5665130324221233,2.039344262295082,7.66418646030749,1.0479508196721312,0.7644110275689223,1.0,7129000000.0,12015000000.0,0.011333655382557319,0.01608405738533037,0.013081145994167095,0.023940345368916798,0.021085008591893484,0.027779716618971172,0.006810133664127857,0.008730368074340958,0.37138263665594856,1.54,0.10056595559425337,0.09360034828036569,0.08794079233783196,0.036134087940792335,0.13358849541079856,15037000000.0,11322000000.0,0.0,576.830648672181,1271.868131868132,0.0,576.830648672181,-695.0374831959509,1264000000.0,-2247000000.0,9145000000.0,5542000000.0,Financial Services
2015-09-30,PYPL,2015,Q3,USD,37899840000.0,37629840000.0,16.665119574844997,57.71447852760736,72.50450867052024,77.90857142857143,-0.5590062111801242,1.5723684210526316,2.166112956810631,7.747757054569647,1.0644963144963144,0.86,1.0606060606060606,7482000000.0,12369000000.0,0.010790077430455979,0.012042257375882643,0.012383264080306084,0.022778870894505827,0.0191446303291959,0.022261198057204532,0.007941986034769541,0.013693989209453127,0.20398773006134968,0.869281045751634,0.05890168290522586,0.09565987599645705,0.08724534986713905,0.04162976085031001,0.12865643819902495,15149500000.0,11745000000.0,0.0,620.8724534986715,1258.7323943661972,0.0,620.8724534986715,-637.8599408675258,789000000.0,-49200000.0,9625000000.0,5872000000.0,Financial Services
2015-12-31,PYPL,2015,Q4,USD,44272600000.0,42879600000.0,16.77605633802817,58.90054945054945,76.02765957446809,74.70313588850175,-2.426829268292683,1.5163398692810457,1.9836512261580381,8.71547917421932,0.5932134096484055,0.8779904306220095,1.0195121951219512,7031000000.0,12802000000.0,0.012707316228662443,0.014477693432199658,0.015007769690030261,0.026673450105385566,0.023640858686166534,0.02692610062893082,0.00828955155107222,0.0127392563346178,0.22527472527472528,1.0,0.06416275430359937,0.05712050078247261,0.09859154929577464,0.035211267605633804,0.15328416606073197,16079500000.0,12161000000.0,0.0,583.8732394366198,1122.1507537688442,0.0,583.8732394366198,-538.2775143322244,1957000000.0,810976076.5550239,9332000000.0,5526000000.0,Financial Services
2016-03-31,PYPL,2016,Q1,USD,46937600000.0,44354600000.0,17.43498427672956,60.10108401084011,73.31338842975207,76.2106529209622,-4.438144329896907,1.5295919788330317,2.021917808219178,8.690437384235594,1.1153371710526316,0.8649289099526066,1.0368550368550369,7606000000.0,13342000000.0,0.012385476756023075,0.013950060838717417,0.014554009330515571,0.026842182673922636,0.02330063981670048,0.026939369870267408,0.007776281701663485,0.012889453231524408,0.1802168021680217,0.764367816091954,0.05227987421383648,0.09080188679245282,0.07665094339622641,0.03734276729559748,0.1489989820156091,16598500000.0,12798000000.0,0.0,587.7948113207547,1178.8480635551143,0.0,587.7948113207547,-591.0532522343597,3188000000.0,-181973933.64928913,9207000000.0,6096000000.0,Financial Services
2016-06-30,PYPL,2016,Q2,USD,44177100000.0,42159100000.0,15.90909433962264,60.573419540229885,85.169898989899,77.07330895795246,-3.6892138939670933,1.5408920712080405,2.154798761609907,8.281595773981165,1.1768595041322314,0.85,1.0242587601078168,8234000000.0,13996000000.0,0.010544872841239268,0.012345884427879737,0.012290247707469275,0.0233769993486285,0.020466640706126686,0.02407840083073728,0.007311480382370052,0.01120490027638754,0.28879310344827586,1.1420454545454546,0.07584905660377358,0.09849056603773584,0.07886792452830188,0.04188679245283019,0.14201299337272696,17161500000.0,13596500000.0,0.0,601.4037735849057,1183.3521126760563,0.0,601.4037735849057,-581.9483390911506,2513000000.0,-337650000.0,9467000000.0,6643000000.0,Financial Services
