date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,REG,41.14,42.06,40.33,41.81,896400,0.67,1.63,41.335
2020-07-31,REG,41.68,41.68,40.1,41.03,3933234,-0.65,-1.56,41.1225
2020-08-03,REG,40.57,40.91,39.74,40.59,1182621,0.02,0.04929751,40.4525
2020-08-04,REG,40.77,41.27,39.43,41.06,1457300,0.29,0.71131,40.6325
2020-08-05,REG,41.65,41.98,40.81,40.98,757809,-0.67,-1.61,41.355
2020-08-06,REG,40.36,41.75,40.22,40.96,781900,0.6,1.49,40.8225
2020-08-07,REG,40.43,41.7,40.18,41.65,678600,1.22,3.02,40.99
2020-08-10,REG,41.55,43.74,41.51,42.87,1249309,1.32,3.18,42.4175
2020-08-11,REG,43.66,44.82,43.31,43.5,1281400,-0.16,-0.36647,43.8225
2020-08-12,REG,43.96,44.24,42.78,43.67,975604,-0.29,-0.65969,43.6625
2020-08-13,REG,42.92,43.34,42.21,42.49,1049225,-0.43,-1.0,42.74
2020-08-14,REG,42.4,43.48,42.03,42.88,921944,0.48,1.13,42.6975
2020-08-17,REG,42.42,43.02,42.14,42.72,488301,0.3,0.70721,42.575
2020-08-18,REG,42.9,42.9,41.28,41.82,583011,-1.08,-2.52,42.225
2020-08-19,REG,41.25,41.7,40.15,40.2,753300,-1.05,-2.55,40.825
2020-08-20,REG,40.2,41.48,40.0,41.15,1158700,0.95,2.36,40.7075
2020-08-21,REG,41.26,41.31,40.14,40.46,616400,-0.8,-1.94,40.7925
2020-08-24,REG,40.47,41.31,39.9,41.05,826520,0.58,1.43,40.6825
2020-08-25,REG,41.4,41.59,40.22,40.95,685700,-0.45,-1.09,41.04
2020-08-26,REG,41.18,41.19,39.88,40.1,782444,-1.08,-2.62,40.5875
2020-08-27,REG,40.63,41.31,40.54,40.65,749906,0.02,0.04922471,40.7825
2020-08-28,REG,40.66,40.66,39.57,40.44,1092400,-0.22,-0.54107,40.3325
2020-08-31,REG,40.6,40.6,39.35,39.71,1382597,-0.89,-2.19,40.065
2020-09-01,REG,39.33,39.62,38.88,39.4,1008315,0.07,0.17798,39.3075
2020-09-02,REG,39.48,41.13,39.09,41.03,2427227,1.55,3.93,40.1825
2020-09-03,REG,41.12,42.23,40.71,41.23,1181100,0.11,0.26751,41.3225
2020-09-04,REG,41.43,42.36,41.25,41.53,903400,0.1,0.24137,41.6425
2020-09-08,REG,41.32,41.47,40.57,40.97,1712600,-0.35,-0.84705,41.0825
2020-09-09,REG,41.18,41.62,40.29,40.87,1550723,-0.31,-0.75279,40.99
2020-09-10,REG,40.97,41.0,39.27,39.34,1750600,-1.63,-3.98,40.145
2020-09-11,REG,39.23,39.44,37.88,38.6,1300106,-0.63,-1.61,38.7875
2020-09-14,REG,38.85,40.24,38.83,40.04,1772500,1.19,3.06,39.49
2020-09-15,REG,40.52,41.53,40.22,41.21,1529207,0.69,1.7,40.87
2020-09-16,REG,41.34,41.9,40.89,41.61,1603125,0.27,0.65312,41.435
2020-09-17,REG,41.03,41.49,40.6,41.29,1400405,0.26,0.63368,41.1025
2020-09-18,REG,41.07,41.48,39.96,40.07,4733000,-1.0,-2.43,40.645
2020-09-21,REG,39.42,39.42,36.83,37.21,2275204,-2.21,-5.61,38.22
