date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1990-03-31,REGN,1990,Q1,USD,1.0,1.0,1.0,1.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.5344333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07810466024472794,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1990-06-30,REGN,1990,Q2,USD,1.0,1.0,1.0,1.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.5344333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07810466024472794,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1990-09-30,REGN,1990,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.7240923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08461338193178859,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1990-12-31,REGN,1990,Q4,USD,1.0,-5.384615384615385,-5.384615384615385,-5.384615384615385,0.0,-0.6923076923076923,0.0,0.0,6.5,0.0,0.0,0.5909090909090909,0.051181102362204724,12.444444444444445,12.444444444444445,0.0,12.11111111111111,0.0,0.0,0.0,26.60994426229508,249.7240923076923,0.0,0.0,0.0,0.0,0.0,0.0,2.081967213114754,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08461338193178859,0.0,0.0,1.4189013277792242,0.7940640458214007,0.7615204373860973,0.7940640458214007,,,,0.0,0.0,26.60994426229508,0.0,0.0,-43.26304571428572,,Healthcare
1991-03-31,REGN,1991,Q1,USD,1.0,1.0,1.0,1.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.32066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.13017443374121324,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1991-06-30,REGN,1991,Q2,USD,-0.7058823529411765,-1.1764705882352942,-1.0588235294117647,-1.1764705882352942,-0.29411764705882354,-0.17647058823529413,-0.17647058823529413,-0.17647058823529413,1.5454545454545454,3.625,0.0,0.7083333333333334,0.014756944444444444,55.65,55.65,-0.01694915254237288,19.6,-139.125,1.9477499999999999,1.9477499999999999,1.5274473924977128,98.20588235294117,0.0,0.0,0.003472222222222222,0.0036596523330283625,0.0036463081130355514,0.002737226277372263,1.0539798719121682,0.0,,,0.0,14.0,0.0,,,0.0,0.0,,,,0.11333333333333333,-0.02,0.02666666666666667,2.6133333333333333,7.286666666666667,7.286666666666667,7.286666666666667,,,,0.6,0.25,1.5274473924977128,0.002395926924228811,6.4,-71.19444444444444,,Healthcare
1991-09-30,REGN,1991,Q3,USD,-0.2631578947368421,-1.3157894736842106,-1.2105263157894737,-1.3157894736842106,-0.3684210526315789,-0.47368421052631576,-0.47368421052631576,-0.47368421052631576,1.0,4.8,0.0,0.7037037037037037,0.016666666666666666,52.19047619047619,52.19047619047619,-0.125,16.666666666666668,-61.458333333333336,-0.3072916666666667,-0.3072916666666667,2.0410516605166054,116.44736842105263,-79.01785714285714,-81.94444444444444,0.007017543859649123,0.007380073800738007,0.007326007326007326,0.006416131989000917,1.051660516605166,0.017527675276752766,-1.2857142857142858,-1.4210526315789473,1.037037037037037,11.0,0.0,-27.0,-3.375,-27.0,-27.0,0.0,0.0,0.0,0.12666666666666668,-0.06,0.05333333333333334,2.3333333333333335,7.226666666666667,7.226666666666667,7.226666666666667,-0.18,0.006666666666666667,-0.18666666666666668,1.2857142857142858,0.28,2.0410516605166054,0.003615819209039548,4.857142857142857,-81.32608695652173,0.0,Healthcare
1991-12-31,REGN,1991,Q4,USD,-1.5,-1.85,-1.7,-1.85,-1.05,-1.05,-1.05,-1.05,1.4285714285714286,3.125,0.0,0.37037037037037035,0.017543859649122806,32.303030303030305,32.303030303030305,-0.23076923076923078,7.9393939393939394,-32.37499999999999,-0.24281249999999993,-0.24281249999999993,2.560734463276836,135.975,-123.61363636363636,-194.24999999999997,0.02456140350877193,0.026365348399246705,0.025688073394495414,0.022099447513812154,1.073446327683616,0.018975332068311195,-0.42424242424242425,-0.7,1.5714285714285714,-0.5,0.0,-3.5,-0.5,-1.75,-1.75,0.0,0.0,0.0,0.13333333333333333,-0.14,0.18666666666666668,1.7466666666666666,7.08,6.973333333333334,7.08,-0.09333333333333334,0.05333333333333334,-0.14666666666666667,1.0,0.5675675675675675,2.560734463276836,0.010296010296010296,1.5238095238095237,-73.1029411764706,0.0,Healthcare
1992-03-31,REGN,1992,Q1,USD,1.0,-0.9142857142857143,-0.8,-0.9142857142857143,0.0,-0.9428571428571428,-0.9428571428571428,-0.9428571428571428,2.1875,0.0,0.0,0.45454545454545453,0.031194295900178252,25.6,25.6,-0.31521739130434784,6.225,-18.154762234848484,-0.36309524469696985,-0.36309524469696985,2.326629723300971,68.469389,-64.76834094594595,-74.88839421875,0.0427807486631016,0.04660194174757282,0.04452690166975881,0.03828197945845005,1.0893203883495146,0.03470500743678731,-0.8,-0.9142857142857143,1.15625,-4.142857142857143,0.0,-4.571428571428571,-0.6666666666666666,-6.4,-6.4,0.0,0.0,0.0,0.22272726867768602,-0.20999999618181825,0.30545453990082655,1.5845454257355378,6.554545335371903,6.554545335371903,6.554545335371903,-0.20363635993388438,0.03181818123966943,-0.2354545411735538,0.0,0.0,2.326629723300971,0.020029805895136168,0.0,-78.40816482142857,0.0,Healthcare
1992-06-30,REGN,1992,Q2,USD,1.0,-1.09375,-0.9375,-1.09375,0.0,-1.15625,-1.15625,-1.15625,1.6,0.0,0.0,0.3595505617977528,0.029438822447102116,23.19047619047619,23.19047619047619,-0.3404255319148936,5.238095238095238,-11.71875025337838,-0.820312517736487,-0.820312517736487,1.746601246223565,54.199219921875,-35.39540892857143,-41.29464375,0.05243790248390064,0.05740181268882175,0.054285714285714284,0.04610951008645533,1.094662638469285,0.033402922755741124,-1.0,-1.3125,1.1666666666666667,-3.5555555555555554,0.0,-4.666666666666667,-0.7368421052631579,-6.0,-6.0,0.0,0.0,0.0,0.20756756307962027,-0.2399999948108109,0.36972972173557356,1.4270269961723894,6.441080941814466,6.441080941814466,6.441080941814466,-0.2724324265420016,0.04540540442366693,-0.31783783096566853,0.0,0.0,1.746601246223565,0.032864864154273206,0.0,-52.37916791666667,0.0,Healthcare
1992-09-30,REGN,1992,Q3,USD,1.0,-2.3333333333333335,-2.125,-2.3333333333333335,0.0,-2.4166666666666665,-2.4166666666666665,-2.4166666666666665,1.5,0.0,0.0,0.24,0.022988505747126436,17.339622641509433,17.339622641509433,-0.48623853211009177,3.6226415094339623,-5.592105301724138,-0.09586466231527091,-0.09586466231527091,1.3875598181818183,54.057017916666666,-2.376132655677656,-34.14127447368421,0.05938697318007663,0.06631016042780749,0.062186559679037114,0.05268490374873354,1.116577540106952,0.026696329254727477,-0.7169811320754716,-1.5833333333333333,14.368421052631579,-5.3,0.0,-3.8,-0.6129032258064516,-0.07480314960629922,-0.07480314960629922,0.0,0.0,0.0,0.15724137822592152,-0.37999999737931034,0.4062068937502973,1.2579310258073721,6.125862026718193,5.981724096677765,6.125862026718193,-0.24896551552437576,3.328275839115339,-3.577241354639715,0.0,0.0,1.3875598181818183,0.047789046323564385,0.0,-22.88957705882353,0.0,Healthcare
1992-12-31,REGN,1992,Q4,USD,1.0,-2.652173913043478,-2.391304347826087,-2.652173913043478,0.0,-2.782608695652174,-2.782608695652174,-2.782608695652174,2.090909090909091,0.0,0.0,0.21904761904761905,0.02349336057201226,18.41304347826087,18.41304347826087,-0.5420560747663551,3.5652173913043477,-7.1546053125,-0.6796875046875007,-0.6796875046875007,2.1004345871559633,79.63386782608696,4.172161640091116,-30.526316,0.06945863125638406,0.0779816513761468,0.07234042553191489,0.06236559139784946,1.1227064220183487,0.027594481103779243,-1.3043478260869565,-2.608695652173913,-7.316666666666666,-5.8,0.0,-6.0,-0.8823529411764706,-0.12024048096192384,-0.12024048096192384,0.0,0.0,0.0,0.1506896541331748,-0.41931034193579075,0.44551723830677764,1.0744827512104638,5.713103408875149,5.713103408875149,5.713103408875149,-0.3931034455648038,3.2693103222806186,2.8762068767158144,0.0,0.0,2.1004345871559633,0.037126436525564806,0.0,-31.55598109090909,0.0,Healthcare
1993-03-31,REGN,1993,Q1,USD,1.0,-4.380952380952381,-4.0476190476190474,-4.380952380952381,0.0,-4.428571428571429,-4.428571428571429,-4.428571428571429,1.9090909090909092,0.0,0.0,0.19090909090909092,0.023178807947019868,12.387096774193548,12.387096774193548,-0.671875,1.6290322580645162,-6.2500001478494625,-0.1381578980050934,-0.1381578980050934,2.988431947300771,110.71428833333333,-31.000000733333334,-31.84931582191781,0.08498896247240618,0.09897172236503857,0.09005847953216374,0.07491082045184304,1.1645244215938304,0.027869940278699403,-1.1774193548387097,-3.4761904761904763,1.0273972602739727,-6.142857142857143,0.0,-5.214285714285714,-0.948051948051948,-36.5,-36.5,0.0,0.0,0.0,0.13774193222545966,-0.6099999855698928,0.5050537514933521,0.6624731026081632,5.103010631971792,5.103010631971792,5.103010631971792,-0.47881719297421693,0.013118279259567588,-0.49193547223378453,0.0,0.0,2.988431947300771,0.033118278786449316,0.0,-27.07058888235294,0.0,Healthcare
1993-06-30,REGN,1993,Q2,USD,1.0,-7.538461538461538,-7.0,-7.538461538461538,-7.0,-7.230769230769231,-7.230769230769231,-7.230769230769231,6.5,0.0,0.0,0.11403508771929824,0.015776699029126214,9.14864864864865,9.14864864864865,-0.6214285714285714,1.0675675675675675,-6.762295053191489,0.0,0.0,3.717285,195.58638,-29.913211058823528,-32.59773,0.09466019417475728,0.11403508771929824,0.10236220472440945,0.08433734939759036,1.2046783625730995,0.019862490450725745,-1.054054054054054,-6.0,1.0897435897435896,-5.333333333333333,0.0,-5.2,-1.0,-11.142857142857142,-11.142857142857142,0.0,0.0,0.0,0.08436170248664554,-0.6100000025957447,0.5061702149198732,0.5126595766496153,4.438723423143504,4.244042571251245,4.438723423143504,-0.5061702149198732,0.04542553210819375,-0.551595747028067,1.032967032967033,0.9285714285714286,3.717285,0.030676982722416563,0.12087912087912088,-27.929922417582418,0.0,Healthcare
1993-09-30,REGN,1993,Q3,USD,-1.9444444444444444,-2.5833333333333335,-2.361111111111111,-2.5833333333333335,0.0,-2.6666666666666665,-2.6666666666666665,-2.6666666666666665,2.1176470588235294,1.5820895522388059,0.0,0.29508196721311475,0.028594122319301033,11.659574468085106,11.659574468085106,-0.5569620253164557,4.223404255319149,-6.6810344270833335,1.3584770001736097,1.3584770001736097,2.3301700454132606,71.26436722222222,-35.63218361111111,-42.75862033333333,0.06115965051628276,0.06993642143505904,0.06536502546689305,0.05331040412725709,1.1435059037238873,0.044859813084112146,-0.6382978723404256,-1.6666666666666667,1.2,-5.866666666666666,0.0,-4.0,-0.7792207792207793,-5.0,-5.0,0.0,0.0,0.0,0.2175000018125,-0.5800000048333334,0.4652083372100695,2.398541686654514,6.651875055432292,6.44645838705382,6.651875055432292,-0.36250000302083335,0.07250000060416667,-0.435000003625,0.0,0.0,2.3301700454132606,0.030013441110327062,0.0,-26.417849647058823,0.0,Healthcare
1993-12-31,REGN,1993,Q4,USD,1.0,-3.8620689655172415,-3.5517241379310347,-3.8620689655172415,0.0,-3.9655172413793105,-3.9655172413793105,-3.9655172413793105,1.7058823529411764,0.0,0.0,0.12946428571428573,0.02465986394557823,7.00763358778626,7.00763358778626,-0.5520833333333334,0.9541984732824428,-5.577211347826087,-0.2940711437944663,-0.2940711437944663,2.6072329471544715,88.46611103448276,-15.003024678362573,-28.50574688888889,0.06377551020408163,0.07621951219512195,0.0708215297450425,0.05656759348034516,1.1951219512195121,0.03242034656232532,-0.6870229007633588,-3.103448275862069,1.9,-6.625,0.0,-5.625,-1.2,-1.1111111111111112,-1.1111111111111112,0.0,0.0,0.0,0.17520833479340278,-0.6947916724565972,0.4531250037760417,0.7552083396267362,5.945000049541667,5.945000049541667,5.945000049541667,-0.54375000453125,0.489375004078125,-1.033125008609375,0.0,0.0,2.6072329471544715,0.02923387121135753,0.0,-24.422497281553397,0.0,Healthcare
1994-03-31,REGN,1994,Q1,USD,1.0,-3.466666666666667,-3.1666666666666665,-3.466666666666667,0.0,-3.566666666666667,-3.566666666666667,-3.566666666666667,2.0,0.0,0.0,0.1111111111111111,0.02830188679245283,4.054545454545455,4.054545454545455,-0.5077720207253886,0.7272727272727273,-3.0175438878504677,0.1735087735514019,0.1735087735514019,1.4896295086505191,43.050292799999994,-8.906957131034481,-14.3500976,0.11226415094339623,0.13725490196078433,0.1206896551724138,0.08544303797468354,1.2226066897347174,0.053428317008014245,-0.8181818181818182,-3.0,1.6111111111111112,-2.5789473684210527,0.0,-2.3684210526315788,-0.7563025210084033,-1.6363636363636365,-1.6363636363636365,0.0,0.0,0.0,0.15981308261856933,-0.5699999946728972,0.633925227720325,0.42616822031618484,4.618598087676653,4.618598087676653,4.618598087676653,-0.47943924785570796,0.2929906514673771,-0.772429899323085,0.0,0.0,1.4896295086505191,0.09214029472679143,0.0,-14.005355621052631,0.0,Healthcare
