date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1992-09-30,RMD,1993,Q1,USD,42075813.120000005,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004753324657793327,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1992-12-31,RMD,1993,Q2,USD,42075813.120000005,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004753324657793327,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1993-03-31,RMD,1993,Q3,USD,35833599.77604,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005581353848064386,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1993-06-30,RMD,1993,Q4,USD,35833599.77604,34433599.77604,17.216799888020002,0.0,0.0,-6.886719955208001,0.28,2.3684210526315788,0.0,0.06773396992904397,0.019218750120117187,0.0,0.0,2600000.0,3200000.0,0.038461538461538464,0.0,0.0392156862745098,0.06896551724137931,,-1.5151515151515151,0.005581353848064386,,0.0,0.0,,0.0,0.0,,0.019230769230769232,,,,67.5,0.0,0.0,67.5,67.5,,,2800000.0,2200000.0,Healthcare
1993-09-30,RMD,1994,Q1,USD,40312800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007441805084241233,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1993-12-31,RMD,1994,Q2,USD,40312800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007441805084241233,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1994-03-31,RMD,1994,Q3,USD,40312800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007441805084241233,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1994-06-30,RMD,1994,Q4,USD,38592787.2,35292787.2,10.380231529411766,0.0,0.0,-3.836172521739131,0.358695652173913,2.4285714285714284,0.0,0.1070363937948426,0.034818941504178275,0.0,0.0,5000000.0,5900000.0,0.03125,0.0,0.031578947368421054,0.05357142857142857,,-1.5081967213114753,0.007773473277410759,,0.0,0.0,,0.0,0.0,,0.010416666666666666,,,,63.52941176470588,0.0,0.0,63.52941176470588,63.52941176470588,,,5500000.0,4500000.0,Healthcare
1994-09-30,RMD,1995,Q1,USD,47031600.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014883610168482466,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1994-12-31,RMD,1995,Q2,USD,47031600.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014883610168482466,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1995-03-31,RMD,1995,Q3,USD,47031600.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014883610168482466,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
