date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ROL,34.06,34.47,33.72,34.42,1239750,0.36,1.06,34.1675
2020-07-31,ROL,34.42,34.96,34.31,34.93,1755750,0.51333,1.48,34.655
2020-08-03,ROL,35.2,35.78,35.15,35.29,1735950,0.093333,0.25568,35.355
2020-08-04,ROL,35.18,35.77,35.17,35.67,1333383,0.48667,1.39,35.4475
2020-08-05,ROL,35.88,36.22,35.59,35.93,1201350,0.053333,0.13935,35.905
2020-08-06,ROL,35.88,35.94,35.48,35.75,1709250,-0.12667,-0.36232,35.7625
2020-08-07,ROL,35.79,36.57,35.7,36.57,1574307,0.78667,2.18,36.1575
2020-08-10,ROL,36.42,36.74,35.96,36.52,1217400,0.1,0.27457,36.41
2020-08-11,ROL,36.5,36.75,36.08,36.17,1789202,-0.33333,-0.90411,36.375
2020-08-12,ROL,36.21,36.6,36.18,36.36,1282967,0.14667,0.41425,36.3375
2020-08-13,ROL,36.31,36.95,36.03,36.67,910500,0.36,0.99146,36.49
2020-08-14,ROL,36.65,36.72,36.31,36.49,795352,-0.16667,-0.43656,36.5425
2020-08-17,ROL,36.57,36.96,36.49,36.58,1260960,0.006666,0.02734482,36.65
2020-08-18,ROL,36.55,36.68,36.24,36.35,1157400,-0.2,-0.5472,36.455
2020-08-19,ROL,36.51,36.58,36.08,36.24,734126,-0.26667,-0.73952,36.3525
2020-08-20,ROL,36.17,36.65,36.09,36.56,875400,0.39333,1.08,36.3675
2020-08-21,ROL,36.59,36.76,36.39,36.63,1332300,0.033333,0.10932,36.5925
2020-08-24,ROL,36.79,36.97,36.57,36.86,780040,0.073333,0.19027,36.7975
2020-08-25,ROL,36.94,36.94,36.36,36.49,1017300,-0.45333,-1.22,36.6825
2020-08-26,ROL,36.48,37.43,36.33,37.27,913364,0.79333,2.17,36.8775
2020-08-27,ROL,37.43,37.67,36.79,36.79,1034700,-0.64667,-1.71,37.17
2020-08-28,ROL,36.8,36.99,36.58,36.68,1214171,-0.12,-0.32609,36.7625
2020-08-31,ROL,36.75,36.96,36.63,36.76,1834238,0.006666,0.02721088,36.775
2020-09-01,ROL,36.77,37.35,36.63,37.15,1717650,0.37333,1.03,36.975
2020-09-02,ROL,37.31,38.11,37.05,37.99,1565250,0.68,1.82,37.615
2020-09-03,ROL,37.79,37.79,36.11,36.35,1422689,-1.43,-3.81,37.01
2020-09-04,ROL,36.35,36.71,35.87,36.39,1707933,0.046667,0.11004,36.33
2020-09-08,ROL,36.24,36.34,35.72,35.9,2602561,-0.34,-0.93819,36.05
2020-09-09,ROL,36.3,37.12,36.3,37.01,2061210,0.70667,1.96,36.6825
2020-09-10,ROL,37.07,37.26,36.04,36.06,1893150,-1.01,-2.72,36.6075
2020-09-11,ROL,36.33,36.47,35.88,36.08,1400700,-0.25333,-0.68814,36.19
2020-09-14,ROL,36.25,36.53,36.01,36.19,1668665,-0.06,-0.16552,36.245
2020-09-15,ROL,36.24,36.84,36.23,36.52,1631717,0.28,0.77263,36.4575
2020-09-16,ROL,36.57,36.71,35.63,35.73,1390500,-0.84,-2.3,36.16
2020-09-17,ROL,35.45,35.89,35.13,35.75,1503197,0.3,0.84626,35.555
2020-09-18,ROL,35.67,36.23,34.87,34.95,4317467,-0.72,-2.02,35.43
2020-09-21,ROL,34.84,35.01,34.39,34.89,1655600,0.053334,0.14351,34.7825
2020-09-22,ROL,34.88,35.37,34.81,35.27,1133400,0.38667,1.12,35.0825
2020-09-23,ROL,35.24,35.61,34.75,34.87,1282950,-0.37333,-1.05,35.1175
2020-09-24,ROL,35.06,35.53,34.75,35.3,895650,0.24,0.68454,35.16
2020-09-25,ROL,35.09,35.89,35.09,35.77,1273950,0.67333,1.94,35.46
2020-09-28,ROL,36.11,36.78,36.11,36.44,1075800,0.32667,0.91387,36.36
2020-09-29,ROL,36.43,36.67,36.32,36.33,989251,-0.1,-0.2745,36.4375
2020-09-30,ROL,36.5,36.59,35.91,36.13,2076202,-0.37333,-1.01,36.2825
2020-10-01,ROL,36.42,36.5,35.68,35.87,1363350,-0.54667,-1.51,36.1175
2020-10-02,ROL,35.61,36.7,35.55,36.31,1012800,0.70667,1.97,36.0425
2020-10-05,ROL,36.38,37.19,36.36,37.12,2379775,0.74,2.03,36.7625
