date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ROST,87.63,89.3,87.06,88.95,2524021,1.32,1.51,88.235
2020-07-31,ROST,88.62,89.78,87.93,89.67,3166303,1.05,1.18,89.0
2020-08-03,ROST,89.2,89.71,87.4,87.88,2784179,-1.32,-1.48,88.5475
2020-08-04,ROST,87.83,88.79,87.2,88.38,2043706,0.55,0.62621,88.05
2020-08-05,ROST,88.84,89.6,88.23,88.68,1894353,-0.16,-0.1801,88.8375
2020-08-06,ROST,88.85,88.85,86.86,86.97,3282100,-1.88,-2.12,87.8825
2020-08-07,ROST,86.95,89.44,86.37,89.44,3321400,2.49,2.86,88.05
2020-08-10,ROST,90.0,93.24,89.81,92.51,2557810,2.51,2.79,91.39
2020-08-11,ROST,93.47,94.98,92.38,93.6,1846381,0.13,0.13908,93.6075
2020-08-12,ROST,93.62,94.46,92.35,94.07,1780900,0.45,0.48067,93.625
2020-08-13,ROST,93.95,93.96,93.02,93.07,1583508,-0.88,-0.93667,93.5
2020-08-14,ROST,93.2,94.76,92.63,94.06,1838900,0.86,0.92275,93.6625
2020-08-17,ROST,96.12,97.56,95.12,97.13,3101960,1.01,1.05,96.4825
2020-08-18,ROST,96.78,96.97,93.28,94.3,2933922,-2.48,-2.56,95.3325
2020-08-19,ROST,90.5,91.2,88.57,90.26,4579120,-0.24,-0.26519,90.1325
2020-08-20,ROST,88.88,89.71,87.23,87.46,3703249,-1.42,-1.6,88.32
2020-08-21,ROST,87.6,89.78,86.37,87.22,4292873,-0.3787,-0.43379,87.7425
2020-08-24,ROST,87.01,89.32,86.71,89.31,2982331,2.3,2.64,88.0875
2020-08-25,ROST,89.79,92.38,89.7,91.25,2534117,1.46,1.63,90.78
2020-08-26,ROST,91.13,91.56,89.73,89.86,1679641,-1.27,-1.39,90.57
2020-08-27,ROST,90.7,92.02,90.25,90.86,1958307,0.16,0.17641,90.9575
2020-08-28,ROST,91.2,93.93,90.88,93.83,1781673,2.63,2.88,92.46
2020-08-31,ROST,93.0,93.48,91.03,91.08,2057938,-1.92,-2.06,92.1475
2020-09-01,ROST,91.01,91.71,89.53,91.27,2416124,0.26,0.28568,90.88
2020-09-02,ROST,92.19,94.99,92.09,94.56,2181000,2.37,2.57,93.4575
2020-09-03,ROST,95.13,95.64,92.98,93.79,2332106,-1.34,-1.41,94.385
2020-09-04,ROST,94.31,94.99,92.72,93.32,1776600,-0.99,-1.05,93.835
2020-09-08,ROST,92.24,95.28,91.69,93.59,2803558,1.35,1.46,93.2
2020-09-09,ROST,93.5,94.27,92.55,93.47,1895308,-0.03,-0.03208556,93.4475
2020-09-10,ROST,93.31,94.59,90.38,90.71,1858527,-2.6,-2.79,92.2475
2020-09-11,ROST,91.16,91.38,89.13,90.22,2264829,-0.94,-1.03,90.4725
2020-09-14,ROST,91.22,94.06,90.96,93.77,1708400,2.55,2.8,92.5025
