date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1998-06-30,RSG,1998,Q2,USD,4470796102.0,4516096102.0,13.44476362607919,0.0,0.0,47.2394989748954,0.47384937238493724,0.10546453448445012,0.0,,-7.855301203356019,0.6403061224489796,0.5544554455445545,-1823600000,-456600000,0.015865992414664982,0.0,0.02332496979834588,-0.04024370691037358,-0.09914507853075528,-0.1548401226456417,0.005614212642972372,,0.0,0.0,,0.0,0,,0.3197850821744627,,,,41.74456683536767,17.843326885880074,5.1353965183752415,46.87996335374291,29.036636467862834,,,-1129600000,-1990700000,Industrials
1998-09-30,RSG,1998,Q3,USD,3463268367.0,3544068367.0,9.983291174647887,39.642822897091726,-194.72903115384617,34.711737189030366,0.791380999020568,0.918785890073831,1.9350649350649352,4.281390883674303,-1.173494101330785,0.6398891966759003,0.9588313413014609,-19800000,1469900000,0.026959211063780124,0.04569590678763237,0.04155423637344846,0.03691570115860967,0.03278022757309701,0.05122797469215593,0.01333999999544361,-0.005255151513356574,1.203579418344519,4.014925373134329,0.30309859154929575,0.09267605633802817,0,0.0,0.35122833634825235,159150000.0,40700000.0,12200000.0,41.19718309859155,16.51976374375284,5.152203543843708,46.34938664243526,29.829622898682423,-99000000.0,-1836416343.4903047,649600000,-238200000,Industrials
1998-12-31,RSG,1998,Q4,USD,3198716640.85,3699216640.85,9.801845895204027,90.00527106690997,-9.285182331450804,33.87561026419414,4.583333333333333,1.000255167134473,0.8634453781512605,4.532023362635383,-3.1481746839957827,0.6397849462365591,0.9370277078085643,200000,2028300000,0.016926851818925358,0.03508771929824561,0.025317802244561458,0.036640751289354165,0.020092921735298943,0.03914608292658877,0.01488096800826696,-0.12454995072465455,10.693430656934307,14.748322147651006,1.1645468998410176,0.0985691573926868,0,0.0,0.3314249137655133,172600000.0,52550000.0,6300000.0,43.569157392686805,25.20779220779221,0.0,43.569157392686805,18.361365184894595,-898900000.0,-378901075.2688172,367100000,-729000000,Industrials
1999-03-31,RSG,1999,Q1,USD,2808311843.35,3735611843.35,9.258021916604708,58.36893505234375,-8.80625139875059,33.11712627083333,8.220744680851064,0.3944636678200692,1.4746543778801844,4.402431834819839,-4.8897324321430755,0.6147308781869688,0.889168765743073,-420000000,2094700000,0.015565039629882007,0.028355117491607743,0.026066066066066065,0.03227965786537746,0.01968209674908074,0.03790518928724877,0.015454124193069916,-0.1510516009838769,7.628125,14.616766467065869,1.209913258983891,0.11400247831474597,0,0.0,0.40286195889968796,195250000.0,54850000.0,0.0,46.34944237918216,16.550878626890068,0.0,46.34944237918216,29.79856375229209,-1351500000.0,14209631.728045344,221200000,-1170200000,Industrials
1999-06-30,RSG,1999,Q2,USD,4349035152.0,5449635152.0,11.961446777875329,76.86368338504937,-31.537240462962963,38.32373524613221,7.739803094233474,0.9351320321469575,1.3009174311926606,4.969233378124415,-5.624428556009979,0.6151241534988713,0.8635477582846004,-22600000,2753700000,0.017568743754231005,0.03483634388157001,0.029429234839894163,0.03895639742673338,0.022696349174302948,0.03725896067109707,0.01253151517410407,-0.03973295086394832,3.437235543018336,6.154040404040404,0.5348990342405618,0.0950395083406497,0,0.0,0.40301731085393766,221050000.0,56050000.0,0.0,46.28402107111501,22.358385783043317,0.0,46.28402107111501,23.925635288071696,-1273400000.0,-538388261.8510158,148800000,-1377300000,Industrials
1999-09-30,RSG,1999,Q3,USD,1902173916.0,3123073916.0,6.365825348552793,34.5855361683278,-26.670144457728437,21.059163290627108,8.232636547538773,0.7638131373013991,1.72,4.990766087815254,-6.13125456189885,0.6154747948417351,0.8241545893719807,-99600000,2845900000,0.016066838046272493,0.032497605852708916,0.027824888700445197,0.036169479848432655,0.021795477218366433,0.036368108506974944,0.027599999957101714,-0.06156114276145925,2.2967884828349945,4.629464285714286,0.4227476559315124,0.09457806767223807,0,0.0,0.42257314236748683,242050000.0,66050000.0,0.0,45.825519771708116,19.770192632646165,0.0,45.825519771708116,26.05532713906195,-1338000000.0,-21898358.73388043,70700000,-1494000000,Industrials
1999-12-31,RSG,1999,Q4,USD,2500875000.0,3697075000.0,7.563574058919803,37.49568965517241,352.10238095238094,24.565282392026578,7.948172757475083,0.8616662341032961,1.9563492063492063,4.9587737167622565,-6.018328584995252,0.6146341463414634,0.780209324452902,-53300000,2849500000,0.015327068698111486,0.03206272212815937,0.025313912606730285,0.03353962866839689,0.021822190656201543,0.03620392697209783,0.020152946468735944,0.004198530514319988,0.8935091277890467,1.9405286343612336,0.18023731587561376,0.09799509001636661,0,0.0,0.39451996472341333,250350000.0,70550000.0,0.0,46.1968085106383,23.584710743801654,0.0,46.1968085106383,22.612097766836644,-1185700000.0,-24401951.219512194,205400000,-1453600000,Industrials
2000-03-31,RSG,2000,Q1,USD,1919092500.0,3112992500.0,6.207362911266201,26.999067649609714,47.09519667170953,21.03373310810811,8.066891891891892,0.8825512784490025,2.2968127490039842,5.0309092426770645,-6.076828110161443,0.6151960784313726,0.8023598820058997,-41800000,2928900000,0.015047961630695444,0.030705131108192563,0.025041153289769042,0.03232661472084487,0.020721150286967804,0.034126371598268514,0.02615819716871386,0.03444336320422283,0.42671292281006074,1.062634989200864,0.09810568295114656,0.09451645064805583,0,0.0,0.39907074340527576,247700000.0,70600000.0,0.0,43.87836490528415,19.14080365893499,0.0,43.87836490528415,24.737561246349163,-1127800000.0,48165441.17647059,221600000,-1469000000,Industrials
2000-06-30,RSG,2000,Q2,USD,2815279500.0,3972079500.0,7.445322399250235,35.49668900804289,62.75007109004739,24.058628104179284,7.006662628709873,0.9255725190839694,1.8902027027027026,5.556393012705787,-5.976501800265302,0.6153846153846154,0.8300258843830889,-27300000,2958400000,0.017537622941106765,0.03453721914297634,0.02961925251413419,0.03668815071888944,0.023288407537085134,0.038520340335017285,0.021028107511172515,0.022484446038128717,0.4343163538873995,0.9878048780487805,0.09109653233364573,0.08978444236176195,0,0.0,0.40789785519611327,245650000.0,65000000.0,0.0,41.634489222118084,18.22464898595944,0.0,41.634489222118084,23.409840236158644,-1093500000.0,57423076.92307693,236700000,-1422500000,Industrials
2000-09-30,RSG,2000,Q3,USD,2306062500.0,3509462500.0,6.509854386941198,39.880255681818184,92.35427631578948,21.295282160194176,7.302184466019417,1.103244837758112,1.5970961887477313,5.4319137050085216,-6.09182318345665,0.6145251396648045,0.7837127845884413,35000000,3068800000,0.01588677065280185,0.0334035334035334,0.026782236073237244,0.03321055491818127,0.02215658614312075,0.036567403138008325,0.023850177521207685,0.016478304469198037,0.5681818181818182,0.9881422924901185,0.09274717121127805,0.09163420515674273,0,0.0,0.4068168688619295,253800000.0,60600000.0,0.0,43.53923205342237,15.595567867036012,0.0,43.53923205342237,27.943664186386357,-1165400000.0,8478770.949720666,247700000,-1431900000,Industrials
