date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,RTX,1985,Q3,USD,2703690000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-12-31,RTX,1985,Q4,USD,3175606800.0,3926606800.0,0.9343057558236372,0.0,0.0,-0.4085746631288695,-0.07814369699807502,1.6731884937492414,0.0,0.0,-2.422342243378494,0.0,0.0,2773200000.0,5756000000.0,0.0,0.0,0.0,0.0,,-1.4996255032300347,0.0,,0.0,0.0,,0.0,0.0,,0.025807125692195173,,,,46.67142551217075,0.0,0.0,46.67142551217075,46.67142551217075,,,3573700000.0,210000000.0,Industrials
1986-03-31,RTX,1986,Q1,USD,3883482000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03285711122132148,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-06-30,RTX,1986,Q2,USD,3588534000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018085379712161013,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-09-30,RTX,1986,Q3,USD,3244774960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.033345918078707064,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-12-31,RTX,1986,Q4,USD,3536909040.0,5750509040.0,1.3065181624028719,0.0,0.0,-0.5175090704559976,-0.19920985610021688,1.5001188803631256,0.0,,-3.216437465974528,0.0,0.0,2313800000.0,5642600000.0,-0.022773580482879245,0.0,-0.023338538153797824,-0.06644745495199264,,-1.718698281595595,-0.07141829126598065,,0.0,0.0,,0.0,0.0,,0.024207071890946466,,,,50.73771981642204,0.0,0.0,50.73771981642204,50.73771981642204,,,3533000000.0,-350000000.0,Industrials
1987-03-31,RTX,1987,Q1,USD,3911910000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02510282700777881,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,RTX,1987,Q2,USD,4039820400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03861557805886618,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-09-30,RTX,1987,Q3,USD,4491021120.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.036739974182085335,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,RTX,1987,Q4,USD,2608260000.0,4585960000.0,0.9685033051044328,0.0,0.0,-0.40707640960090896,-0.17555212327794348,1.5836968608331194,0.0,3.9116433821748937,-3.241720533995844,0.0,0.0,2729600000.0,6356900000.0,0.01446104320708214,0.0,0.014801149770474923,0.04019948265013633,,-1.5534044841565318,0.06613604471946816,,0.0,0.0,,0.0,0.0,,0.022978388075717185,,,,46.6811682963401,0.0,0.0,46.6811682963401,46.6811682963401,,,4017000000.0,-231500000.0,Industrials
