date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1990-12-31,SBUX,1991,Q1,USD,271891023.36,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.002206766492638354,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1991-03-31,SBUX,1991,Q2,USD,271891023.36,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.002206766492638354,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1991-06-30,SBUX,1991,Q3,USD,271891023.36,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.002206766492638354,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1991-09-30,SBUX,1991,Q4,USD,271891023.36,278991023.36,19.374376622222222,0.0,0.0,-6.922854177667494,-0.1761786600496278,1.3902439024390243,0.0,0.021341742206752307,-0.012201239522378617,0.0,0.0,3200000.0,25500000.0,0.015873015873015872,0.0,0.015873015873015872,0.027149321266968326,,-1.3614864864864864,0.002206766492638354,,0.0,0.0,,0.0,0,,0.0,,,,5.625,0.0,0.0,5.625,5.625,,,22100000.0,-4300000.0,Consumer Cyclical
1991-12-31,SBUX,1992,Q1,USD,248821351.68,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004018947703837182,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1992-03-31,SBUX,1992,Q2,USD,248821351.68,236221351.68,11.038380919626169,0.0,0.0,84.36476845714286,-4.5,3.0256410256410255,0.0,0.044401985740118825,0.013096215328782511,0.6470588235294118,0.9444444444444444,15800000.0,42800000.0,0.021359223300970873,0.0,0.021359223300970873,0.02517162471395881,0.026652308520662266,0.041189931350114416,0.004420842474220901,,0.0,0.0,,0.0,0,,0.0,,,,4.205607476635514,9.329268292682928,45.548780487804876,49.75438796444039,40.425119671757464,,,43700000.0,15800000.0,Consumer Cyclical
1992-06-30,SBUX,1992,Q3,USD,290855137.28000003,281455137.28000003,11.976814352340426,469.0918954666667,-78.18198257777779,100.5196918857143,-3.357142857142857,2.8493150684931505,0.6666666666666666,0.036202586643726706,0.008755594017747857,0.6,1.1538461538461537,13500000.0,43700000.0,0.017110266159695818,0.024975984630163303,0.017110266159695818,0.019867549668874173,0.017218543046357615,0.02869757174392936,0.003094323890636971,-0.012377295562547883,7.0,4.2,0.17872340425531916,0.0,0,0.0,0.0,1050000.0,1800000.0,8550000.0,4.212765957446808,9.193548387096774,42.58064516129033,46.79341111873713,37.59986273164036,5800000.0,-120000.0,45300000.0,13500000.0,Consumer Cyclical
1992-09-30,SBUX,1992,Q4,USD,395431137.28000003,379231137.28000003,14.09781179479554,90.29312792380954,-632.0518954666667,172.3777896727273,-7.363636363636363,4.222222222222222,3.8181818181818183,0.05160158914593313,0.018228369798041617,0.6111111111111112,1.125,40600000.0,74200000.0,0.012514220705346985,0.022775800711743774,0.012514220705346985,0.014608233731739707,0.012237519121123627,0.021248339973439574,0.0027817738571788374,-0.0015173311948248204,1.1428571428571428,8.0,0.17843866171003717,0.0,0,0.0,0.0,1350000.0,2950000.0,10250000.0,5.353159851301116,16.289592760180994,47.64705882352941,53.00021867483053,36.71062591464953,15600000.0,-30322222.222222224,75300000.0,40600000.0,Consumer Cyclical
1992-12-31,SBUX,1993,Q1,USD,487442215.68,476242215.68,12.33788123523316,40.02035425882353,66.14475217777778,78.0724943737705,-1.8360655737704918,3.0969387755102042,3.71875,0.08967654472079492,0.004922100349172613,0.6153846153846154,1.0833333333333333,41100000.0,78000000.0,0.03232323232323232,0.051364365971107544,0.03232323232323232,0.04030226700251889,0.034669555796316365,0.060453400503778336,0.006564880712139142,0.014770981602313072,0.3949579831932773,3.6153846153846154,0.12176165803108809,0.0,0,0.0,0.0,1600000.0,5450000.0,11400000.0,3.7305699481865284,20.6312292358804,33.18936877076412,36.91993871895065,16.288709483070246,18400000.0,-946153.846153846,79400000.0,41100000.0,Consumer Cyclical
1993-03-31,SBUX,1993,Q2,USD,514862000.0,515562000.0,15.163588235294117,-80.5565625,-35.556,166.31032258064516,0.22580645161290322,3.624113475177305,-4.923076923076923,0.056684685591341245,-0.002133460033950845,0.65,1.1764705882352942,37000000.0,80500000.0,0.01344364012409514,0.017373530914665303,0.01344364012409514,0.015738498789346248,0.01248587570621469,0.020581113801452784,0.0025249484327839306,-0.028162886365666915,-1.265625,5.785714285714286,0.23823529411764705,0.0,0,0.0,0.0,1800000.0,4500000.0,11100000.0,5.294117647058824,6.702127659574469,35.42553191489362,40.719649561952444,34.01752190237798,-15200000.0,-1495000.0,82600000.0,37000000.0,Consumer Cyclical
1993-06-30,SBUX,1993,Q3,USD,667237357.44,666937357.44,16.427028508374384,317.58921782857146,-101.05111476363638,155.10171103255814,-0.06976744186046512,2.9404761904761907,1.1666666666666667,0.06760152779681569,-0.000917970184328413,0.6206896551724138,1.0740740740740742,32600000.0,83200000.0,0.0175609756097561,0.02710843373493976,0.0175609756097561,0.021003500583430573,0.018137035378414688,0.03150525087514586,0.002697690679230084,-0.009891532490510307,4.142857142857143,5.4375,0.21428571428571427,0.0,0,0.0,0.0,2200000.0,2150000.0,12750000.0,5.320197044334975,5.92814371257485,38.80239520958084,44.12259225391581,38.19444854134096,-6300000.0,-1024137.931034483,85700000.0,32600000.0,Consumer Cyclical
1993-09-30,SBUX,1993,Q4,USD,745531839.36,815831839.36,16.219320862027832,582.7370281142857,-49.14649634698795,129.49711735873015,11.158730158730158,2.7131147540983607,0.6363636363636364,0.07577555784203532,-0.08517042116472057,0.5789473684210527,1.0,41800000.0,107600000.0,0.011398963730569948,0.02571912013536379,0.011398963730569948,0.024971623155505107,0.012585812356979404,0.022538552787663108,0.00295091354098114,-0.02226598399103951,12.857142857142858,7.2,0.35785288270377735,0.0,0,0.0,0.0,2650000.0,3950000.0,19300000.0,5.188866799204772,12.921914357682619,54.86146095717884,60.050327756383616,47.128413398701,-86900000.0,-22500000.0,88100000.0,-38700000.0,Consumer Cyclical
