date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,SBUX,76.63,76.98,75.4,76.64,7889831,0.01,0.01304972,76.4125
2020-07-31,SBUX,76.24,76.54,75.48,76.53,7424977,0.29,0.38038,76.1975
2020-08-03,SBUX,76.48,76.6,75.44,75.5,7142088,-0.98,-1.28,76.005
2020-08-04,SBUX,75.37,75.49,74.76,75.13,12792449,-0.24,-0.31843,75.1875
2020-08-05,SBUX,75.35,75.99,75.33,75.78,7823144,0.43,0.57067,75.6125
2020-08-06,SBUX,75.2,75.92,74.94,75.66,6764846,0.46,0.6117,75.43
2020-08-07,SBUX,75.48,75.93,75.21,75.79,6569313,0.31,0.4107,75.6025
2020-08-10,SBUX,75.82,77.67,75.81,77.47,6604325,1.65,2.18,76.6925
2020-08-11,SBUX,78.27,79.98,78.0,78.87,10238500,0.6,0.76658,78.78
2020-08-12,SBUX,79.59,79.69,78.67,79.29,5378790,-0.3,-0.37693,79.31
2020-08-13,SBUX,78.92,79.64,78.84,79.02,4383400,0.1,0.12671,79.105
2020-08-14,SBUX,78.54,78.93,78.02,78.37,3771349,-0.17,-0.21645,78.465
2020-08-17,SBUX,78.6,78.96,78.12,78.95,5360400,0.35,0.44529,78.6575
2020-08-18,SBUX,79.15,79.36,78.35,78.99,5272725,-0.16,-0.20215,78.9625
2020-08-19,SBUX,79.18,79.39,77.43,77.63,6840600,-1.55,-1.96,78.4075
2020-08-20,SBUX,77.03,77.65,76.46,77.22,5099500,0.19,0.24666,77.09
2020-08-21,SBUX,76.94,77.27,76.69,77.07,5594121,0.13,0.16896,76.9925
2020-08-24,SBUX,77.71,79.14,77.25,78.68,5867400,0.97,1.25,78.195
2020-08-25,SBUX,80.06,83.07,79.79,82.72,17659521,2.66,3.32,81.41
2020-08-26,SBUX,82.42,82.75,81.88,82.41,7934302,-0.01,-0.01213298,82.365
2020-08-27,SBUX,82.75,83.64,82.5,83.41,9099200,0.66,0.79758,83.075
2020-08-28,SBUX,83.79,85.29,83.43,85.0,9303909,1.21,1.44,84.3775
2020-08-31,SBUX,84.63,85.36,84.03,84.47,6401600,-0.1615,-0.18906,84.6225
2020-09-01,SBUX,84.7,86.09,84.23,86.05,8168825,1.35,1.59,85.2675
2020-09-02,SBUX,86.51,88.75,86.29,88.35,11378900,1.84,2.13,87.475
2020-09-03,SBUX,88.6,88.98,85.69,86.48,11036641,-2.12,-2.39,87.4375
2020-09-04,SBUX,87.09,87.78,85.31,86.27,10349400,-0.8245,-0.94155,86.6125
2020-09-08,SBUX,85.27,87.58,84.77,85.41,11083140,0.14,0.16418,85.7575
2020-09-09,SBUX,85.93,86.83,84.46,85.86,6928700,-0.0735,-0.08146165,85.77
2020-09-10,SBUX,85.8,87.07,84.53,84.88,7552000,-0.92,-1.07,85.57
2020-09-11,SBUX,84.95,85.85,84.15,85.27,7103300,0.32,0.37669,85.055
2020-09-14,SBUX,85.75,87.06,85.64,86.63,5535807,0.8784,1.03,86.27
2020-09-15,SBUX,87.18,88.25,87.17,87.71,8361907,0.53,0.60794,87.5775
2020-09-16,SBUX,88.0,89.43,87.75,88.38,7146989,0.38,0.43182,88.39
2020-09-17,SBUX,87.05,87.32,85.36,86.75,7386600,-0.3,-0.34463,86.62
2020-09-18,SBUX,86.81,87.24,84.6,84.95,10113448,-1.86,-2.14,85.9
2020-09-21,SBUX,82.86,83.95,81.75,83.89,7188830,1.03,1.24,83.1125
2020-09-22,SBUX,84.05,84.39,83.18,83.95,4465000,-0.1,-0.11898,83.8925
2020-09-23,SBUX,84.38,84.9,82.82,82.99,6414700,-1.39,-1.65,83.7725
2020-09-24,SBUX,82.63,84.14,81.92,83.04,4881500,0.41,0.49619,82.9325
2020-09-25,SBUX,82.53,84.69,82.22,84.3,5981500,1.77,2.14,83.435
2020-09-28,SBUX,85.52,86.24,84.99,86.07,5976200,0.55,0.64312,85.705
2020-09-29,SBUX,86.25,86.25,84.63,84.8,4064974,-1.45,-1.68,85.4825
2020-09-30,SBUX,86.63,87.16,85.47,85.92,10134400,-0.71,-0.81958,86.295
