date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1987-03-31,SCHW,1987,Q1,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52.014382243750006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0017406243445461452,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1987-06-30,SCHW,1987,Q2,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52.014382243750006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0017406243445461452,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1987-09-30,SCHW,1987,Q3,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.66078566547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0018276555617734525,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1987-12-31,SCHW,1987,Q4,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.013514520238097,-0.2204204037245187,-0.2204204037245187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0018276555617734525,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1988-03-31,SCHW,1988,Q1,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.335118498750003,0.052186444811239276,0.052186444811239276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0017341887508378298,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1988-06-30,SCHW,1988,Q2,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.766956986904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0018276555617734525,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1988-09-30,SCHW,1988,Q3,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.782803592592591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.002346699671114387,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1988-12-31,SCHW,1988,Q4,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,71.1425559375,-0.7504971621118169,-0.7504971621118169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.000520609633881275,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1989-03-31,SCHW,1989,Q1,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.021702488125,0.007700740886947499,0.007700740886947499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0034730090758409676,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,Financial Services
1989-06-30,SCHW,1989,Q2,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.5500696125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18054389680894573,0.0027272377252205607,0.27272377252205604,0.0,0.003646963512130061,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.000658437004,Financial Services
1989-09-30,SCHW,1989,Q3,USD,1.0,0.09183673469387756,0.09183673469387756,0.09183673469387756,0.09183673469387756,0.05215419501133787,0.05215419501133787,0.05215419501133787,0.0,0.0,0,1.4749163879598661,0.02652870935723524,0.03376068376068376,0.03376068376068376,0.0014566181127295757,0.03376068376068376,19.2662389,0.0,0.0,2.1265674610677863,4.019260722902494,6.564792514074074,5.8114556681967215,0.03961259662525942,0.7900419916016796,0.4413538873994638,0.4413538873994638,19.944211157768446,0.0,0.020052596975673898,0.691609977324263,0.8852459016393442,0.08534322820037106,0.150278293135436,0.0,0.4631738800303721,8.714285714285714,7.861212694032645,0.16513413980297129,0.0021427916037490237,0.21427916037490236,0.07645187042708164,0.00398728575923555,0.1608783123726344,0.08902048858119371,0.14449576870968833,0.14449576870968833,0.14449576870968833,0.05287487637247143,0.006067608764054099,0.04680726760841734,0.5679012345679012,1.0,2.1265674610677863,0.37151042986662924,0.43209876543209874,47.34553034074074,0.000658437004,Financial Services
