date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,SHW,1985,Q3,USD,820334400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03547333867749542,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1985-12-31,SHW,1985,Q4,USD,1013030400.0,997530400.0,1.9279675299574797,0.0,0.0,-0.6489690976514215,0.010083924272981588,1.9869853917662683,0.0,0.6247971142466037,-0.20710730892182505,0.0,0.0,371600000.0,601800000.0,0.01070278461829892,0.0,0.01070278461829892,0.024280189084658357,,-2.2627704990431328,0.011154650442869236,,0.0,0.0,,0.0,0.0,,0.0,,,,28.544646308465403,0.0,0.0,28.544646308465403,28.544646308465403,,,465400000.0,157700000.0,Basic Materials
1986-03-31,SHW,1986,Q1,USD,1282444920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1986-06-30,SHW,1986,Q2,USD,1201277520.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1986-09-30,SHW,1986,Q3,USD,1033531560.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1986-12-31,SHW,1986,Q4,USD,1216608000.0,1243808000.0,3.5486676176890155,0.0,0.0,-1.1732930855579662,-0.02565795679652863,1.7511038810132467,0.0,0.0,-0.40116454930429524,0.0,0.0,323200000.0,558100000.0,0.0,0.0,0.0,0.0,,-1.4820355095764015,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,46.27104136947218,0.0,0.0,46.27104136947218,46.27104136947218,,,491600000.0,99500000.0,Basic Materials
1987-03-31,SHW,1987,Q1,USD,1704515400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1987-06-30,SHW,1987,Q2,USD,1557808320.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1987-09-30,SHW,1987,Q3,USD,1504458720.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1987-12-31,SHW,1987,Q4,USD,1065092279.9999999,952992279.9999999,2.334049179524859,0.0,0.0,-0.7720912906100623,0.09082070809365632,2.0459335314779787,0.0,0.0,-0.20550778003949105,0.0,0.0,387100000.0,600300000.0,0.0,0.0,0.0,0.0,,-1.603195220158462,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,39.16972814107274,0.0,0.0,39.16972814107274,39.16972814107274,,,549700000.0,166900000.0,Basic Materials
