date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,SJM,110.02,110.44,108.52,109.35,588615,-0.67,-0.60898,109.5825
2020-07-31,SJM,109.21,109.51,107.85,109.35,1773200,0.14,0.12819,108.98
2020-08-03,SJM,109.72,111.36,109.11,110.97,578100,1.25,1.14,110.29
2020-08-04,SJM,110.67,114.02,110.41,113.26,888200,2.59,2.34,112.09
2020-08-05,SJM,113.13,113.13,110.79,111.14,849122,-1.99,-1.76,112.0475
2020-08-06,SJM,111.11,111.91,110.14,110.29,554294,-0.82,-0.73801,110.8625
2020-08-07,SJM,109.94,111.43,109.76,111.05,751200,1.11,1.01,110.545
2020-08-10,SJM,111.43,113.13,111.25,112.84,816309,1.41,1.27,112.1625
2020-08-11,SJM,113.11,114.07,112.17,112.71,746165,-0.4,-0.35364,113.015
2020-08-12,SJM,113.43,115.72,113.18,114.96,680724,1.53,1.35,114.3225
2020-08-13,SJM,114.07,115.16,113.56,114.63,650200,0.56,0.49093,114.355
2020-08-14,SJM,114.25,115.35,113.67,113.97,666300,-0.28,-0.24508,114.31
2020-08-17,SJM,113.83,114.37,113.48,113.5,1370804,-0.33,-0.28991,113.795
2020-08-18,SJM,113.6,114.78,112.61,113.92,644902,0.32,0.28169,113.7275
2020-08-19,SJM,111.43,112.73,110.46,111.36,1026300,-0.07,-0.06281971,111.495
2020-08-20,SJM,111.61,112.56,111.32,111.9,570918,0.29,0.25983,111.8475
2020-08-21,SJM,111.92,112.5,110.66,112.09,905100,0.17,0.15189,111.7925
2020-08-24,SJM,112.27,113.63,110.77,112.99,839621,0.72,0.64131,112.415
2020-08-25,SJM,120.0,123.44,117.24,120.75,3560940,0.75,0.625,120.3575
2020-08-26,SJM,122.15,122.97,120.39,121.73,994010,-0.42,-0.34384,121.81
2020-08-27,SJM,121.46,123.3,120.85,120.92,700665,-0.54,-0.44459,121.6325
2020-08-28,SJM,121.01,121.01,118.57,119.65,789805,-1.36,-1.12,120.06
2020-08-31,SJM,119.2,120.7,119.01,120.18,824400,0.98,0.82215,119.7725
2020-09-01,SJM,119.98,119.98,117.43,117.96,694427,-2.02,-1.68,118.8375
2020-09-02,SJM,117.52,121.27,117.37,120.85,778700,3.33,2.83,119.2525
2020-09-03,SJM,120.48,121.82,117.12,118.23,784506,-2.25,-1.87,119.4125
2020-09-04,SJM,118.44,119.63,117.03,117.56,692900,-0.88,-0.74299,118.165
2020-09-08,SJM,117.56,118.12,113.65,114.16,945722,-3.4,-2.89,115.8725
2020-09-09,SJM,115.03,117.02,114.35,115.76,873776,0.73,0.63462,115.54
2020-09-10,SJM,114.88,115.07,112.43,113.08,966206,-1.8,-1.57,113.865
2020-09-11,SJM,113.17,113.91,111.78,113.31,699900,0.14,0.12371,113.0425
2020-09-14,SJM,113.49,114.15,113.12,113.46,572606,-0.03,-0.02643405,113.555
2020-09-15,SJM,113.75,113.83,112.28,112.4,550332,-1.35,-1.19,113.065
2020-09-16,SJM,111.66,112.66,110.3,110.82,1117781,-0.84,-0.75228,111.36
2020-09-17,SJM,110.42,111.18,108.85,109.98,1178200,-0.44,-0.39848,110.1075
2020-09-18,SJM,109.8,110.98,109.04,109.39,971302,-0.41,-0.37341,109.8025
2020-09-21,SJM,108.87,111.15,108.1,109.79,1148407,0.92,0.84504,109.4775
2020-09-22,SJM,110.14,111.88,109.62,109.88,1136600,-0.26,-0.23606,110.38
2020-09-23,SJM,110.57,111.04,108.15,108.29,935216,-2.28,-2.06,109.5125
2020-09-24,SJM,108.55,111.34,108.15,110.87,770700,2.32,2.14,109.7275
2020-09-25,SJM,110.87,112.39,110.81,112.15,525722,1.28,1.15,111.555
2020-09-28,SJM,112.86,114.28,112.63,113.24,713400,0.38,0.3367,113.2525
2020-09-29,SJM,113.04,113.71,112.34,113.01,389600,-0.03,-0.02653928,113.025
2020-09-30,SJM,113.62,116.14,113.2,115.52,1115920,1.9,1.67,114.62
2020-10-01,SJM,115.08,116.18,113.88,116.0,710520,0.92,0.79944,115.285
2020-10-02,SJM,115.75,117.62,115.65,116.47,512813,0.72,0.62203,116.3725
2020-10-05,SJM,116.32,117.68,115.47,117.38,562800,1.06,0.91128,116.7125
2020-10-06,SJM,117.38,118.75,116.79,117.5,713524,0.12,0.10223,117.605
2020-10-07,SJM,117.37,118.18,116.31,117.45,617600,0.08,0.06816052,117.3275
2020-10-08,SJM,118.0,118.19,116.48,117.13,610820,-0.87,-0.73729,117.45
2020-10-09,SJM,117.39,118.75,116.62,118.68,636500,1.29,1.1,117.86
2020-10-12,SJM,119.12,120.59,119.12,119.92,486049,0.8,0.67159,119.6875
2020-10-13,SJM,119.92,120.93,119.18,120.09,460100,0.17,0.14176,120.03
2020-10-14,SJM,119.53,120.47,118.85,118.97,451067,-0.56,-0.4685,119.455
2020-10-15,SJM,118.62,119.29,118.01,118.86,452356,0.24,0.20233,118.695
2020-10-16,SJM,118.74,119.25,117.85,117.88,560724,-0.86,-0.72427,118.43
2020-10-19,SJM,117.75,118.25,115.1,115.21,649505,-2.54,-2.16,116.5775
2020-10-20,SJM,115.81,116.22,113.98,114.12,982754,-1.69,-1.46,115.0325
2020-10-21,SJM,113.49,114.95,112.52,114.4,1162400,0.91,0.80183,113.84
2020-10-22,SJM,114.5,116.04,113.93,115.63,692266,1.13,0.9869,115.025
2020-10-23,SJM,116.16,116.58,114.88,115.54,411600,-0.62,-0.53375,115.79
2020-10-26,SJM,114.84,115.54,114.15,115.1,672877,0.26,0.2264,114.9075
2020-10-27,SJM,115.21,115.91,113.03,113.1,748300,-2.11,-1.83,114.3125
2020-10-28,SJM,112.04,113.48,111.12,111.24,842700,-0.8,-0.71403,111.97
