date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,SLB,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.143646408839779,0.143646408839779,0.143646408839779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.184080528846154,0.0,0.0,0.0,6.426212016574586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307091346153846,0.00962772785622593,0.962772785622593,1.2122226873168689,0.17413143574717455,,,,,,,,,0.0,0.0,0.0,,0.0,,0.075,Energy
1985-12-31,SLB,1985,Q4,USD,1.0,-2.3550863723608444,-2.3550863723608444,-2.3550863723608444,0.0,-0.23864363403710812,-0.23864363403710812,-0.23864363403710812,1.2278083267871172,0.0,0.0,0.5001279918085243,0.13853681019659286,2.017500683620454,1.8048187646218818,-0.08467650397275824,1.3946161091362075,-6.586016621983915,0.024193530448104177,0.024193530448104177,1.4288281277264003,6.2868437619961615,0.0,0.0,0.09148924855081456,0.15009015296923167,0.13050294586188585,0.1284644337147854,1.6405223055894842,0.0,,,0.0,-198.97297297297297,0.0,,,0.0,0.0,-0.23804879356568365,0.009036144578313253,0.9036144578313252,1.3202173163858988,-0.3150614581010494,0.8718671234635474,3.877114205977552,5.808956192097955,5.357649658415942,5.808956192097955,,,,0.0,0.0,1.4288281277264003,0.10504423174259608,0.0,-1.7029168160825863,0.075,Energy
1986-03-31,SLB,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.0932544676566826,0.0932544676566826,0.0932544676566826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.419246153846155,-0.10159014335664336,-0.10159014335664336,0.0,5.378636496350365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5991376518218623,0.01038781163434903,1.0387811634349031,1.342347638643935,0.1251799144519451,,,,,,,,,0.0,0.0,0.0,,0.0,,0.075,Energy
1986-06-30,SLB,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.039123963427599405,0.039123963427599405,0.039123963427599405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.92965,-0.6813568125,-0.6813568125,0.0,6.561816372528173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6085543478260869,0.009590792838874679,0.959079283887468,1.1917431936589025,0.04662571712380142,,,,,,,,,0.0,0.0,0.0,,0.0,,0.075,Energy
1986-09-30,SLB,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.031995661605206074,-0.031995661605206074,-0.031995661605206074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.166427118644066,0.3127436889332003,0.3127436889332003,0.0,6.804380043383948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.076813559322034,0.009765625,0.9765625,1.1286847517383214,-0.03611301537557536,,,,,,,,,0.0,0.0,0.0,,0.0,,0.075,Energy
1986-12-31,SLB,1986,Q4,USD,1.0,-15.134823359769285,-15.134823359769285,-15.134823359769285,0.0,-6.546863734679164,-6.546863734679164,-6.546863734679164,0.28460038986354774,0.0,0.0,0.15137789904502047,0.034623929703687065,1.6433364710169132,1.4732942641119848,-0.46704384724186704,1.1570157592688186,-1.1177622267496283,-0.0002108985333489865,-0.0002108985333489865,1.9692653748211384,29.27134794520548,0.0,0.0,0.06396814698319978,0.12429364829141706,0.11055265542085509,0.10897657533062495,1.9430553197681468,0.0,,,0.0,-512.0,0.0,,,0.0,0.0,-0.04644441385386267,0.01038781163434903,1.0387811634349031,0.24665758520979233,-1.614833599493525,0.4557030007931455,3.3881184667750275,3.6663418208202474,3.56141898356446,3.6663418208202474,,,,0.0,0.0,1.9692653748211384,0.06311675911262403,0.0,-1.1485260861280489,0.075,Energy
1987-03-31,SLB,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.9270879999999,-5.235420561055409,-5.235420561055409,0.0,10.182872706110572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.15448,0.008169934640522876,0.8169934640522876,0.9015137736614576,0.004372035759754886,,,,,,,,,0.0,0.0,0.0,,0.0,,0.075,Energy
1987-06-30,SLB,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.028679962013295347,0.028679962013295347,0.028679962013295347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.91606589403975,0.19383213178807948,0.19383213178807948,0.0,11.118196353276353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.792970198675497,0.007204610951008645,0.7204610951008645,0.9363029460198677,0.02685313292478633,,,,,,,,,0.0,0.0,0.0,,0.0,,0.075,Energy
1987-09-30,SLB,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.13921028466483013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.880746960514234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007055503292568203,0.7055503292568203,0.9769549865074353,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.075,Energy
1987-12-31,SLB,1987,Q4,USD,1.0,-3.271356783919598,-3.271356783919598,-3.271356783919598,0.0,0.32386421905445595,0.32386421905445595,0.32386421905445595,0.8871804203439178,0.0,0.0,0.5837523946360154,0.1446521287642783,1.6628278950735764,1.4460878401264536,0.1087053801934529,0.9666930111775996,5.637281190626979,-0.010620964562050828,-0.010620964562050828,1.8564127323444302,7.302854681571121,0.0,0.0,0.022370568164960688,0.03931280794598399,0.03782577068753606,0.03163182873876603,1.7573450819885816,0.0,,,0.0,-125.09411764705882,0.0,,,0.0,0.0,0.25859088030398986,0.01146788990825688,1.146788990825688,0.8955402079277028,0.2900334300723706,0.13849601410675583,2.3590242827228978,3.5229234781969803,3.3106792549869586,3.5229234781969803,,,,0.0,0.0,1.8564127323444302,0.021176760566782235,0.0,-1.474407849775855,0.075,Energy
