date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,SLB,19.05,19.16,18.2,18.44,15563346,-0.61,-3.2,18.7125
2020-07-31,SLB,18.11,18.56,17.92,18.14,15346843,0.03,0.16565,18.1825
2020-08-03,SLB,18.1,18.97,17.87,18.72,9618932,0.62,3.43,18.415
2020-08-04,SLB,18.68,19.36,18.6,19.23,10142108,0.55,2.94,18.9675
2020-08-05,SLB,19.66,19.95,19.37,19.5,9590735,-0.16,-0.81384,19.62
2020-08-06,SLB,19.45,19.69,19.21,19.32,6751100,-0.13,-0.66838,19.4175
2020-08-07,SLB,19.19,19.65,19.02,19.63,7084800,0.44,2.29,19.3725
2020-08-10,SLB,19.56,20.39,19.48,20.22,11555831,0.66,3.37,19.9125
2020-08-11,SLB,20.86,21.27,20.19,20.3,12373740,-0.56,-2.68,20.655
2020-08-12,SLB,20.66,20.76,19.81,20.36,14561515,-0.3,-1.45,20.3975
2020-08-13,SLB,20.29,20.29,19.73,19.87,8551541,-0.42,-2.07,20.045
2020-08-14,SLB,19.67,20.17,19.59,20.07,7290300,0.4,2.03,19.875
2020-08-17,SLB,19.95,20.24,19.86,20.01,8658405,0.06,0.30075,20.015
2020-08-18,SLB,19.86,20.15,19.68,19.77,7845500,-0.09,-0.45317,19.865
2020-08-19,SLB,19.74,20.13,19.63,19.72,8055100,-0.02,-0.10132,19.805
2020-08-20,SLB,19.39,19.58,18.77,18.77,10240700,-0.62,-3.2,19.1275
2020-08-21,SLB,18.55,18.7,18.37,18.58,8913900,0.03,0.16173,18.55
2020-08-24,SLB,18.72,19.73,18.67,19.55,8702700,0.83,4.43,19.1675
2020-08-25,SLB,19.97,19.98,19.11,19.26,11012545,-0.71,-3.56,19.58
2020-08-26,SLB,19.23,19.27,18.64,18.67,7982000,-0.56,-2.91,18.9525
2020-08-27,SLB,18.75,18.87,18.44,18.7,8549000,-0.05,-0.26667,18.69
2020-08-28,SLB,18.8,19.46,18.77,19.42,12613700,0.62,3.3,19.1125
2020-08-31,SLB,19.5,19.54,18.94,19.01,13596329,-0.49,-2.51,19.2475
2020-09-01,SLB,18.52,18.92,18.46,18.63,9448565,0.11,0.59395,18.6325
2020-09-02,SLB,18.53,18.79,18.36,18.77,10875144,0.24,1.3,18.6125
2020-09-03,SLB,18.77,19.56,18.67,19.12,16863218,0.35,1.86,19.03
2020-09-04,SLB,19.35,19.68,18.89,19.31,15384331,-0.04,-0.20672,19.3075
2020-09-08,SLB,18.9,19.02,17.93,18.38,15677445,-0.52,-2.75,18.5575
2020-09-09,SLB,18.48,18.74,18.37,18.61,9925346,0.13,0.70346,18.55
2020-09-10,SLB,18.65,18.65,17.64,17.71,16190827,-0.94,-5.04,18.1625
2020-09-11,SLB,17.76,17.97,17.49,17.87,8634217,0.11,0.61937,17.7725
2020-09-14,SLB,17.89,18.21,17.64,18.03,9913407,0.14,0.78256,17.9425
2020-09-15,SLB,18.07,18.45,17.97,18.2,10611422,0.13,0.71942,18.1725
2020-09-16,SLB,18.54,19.39,18.22,19.18,14181780,0.64,3.45,18.8325
2020-09-17,SLB,18.81,19.13,18.45,19.08,11677437,0.27,1.44,18.8675
2020-09-18,SLB,18.79,19.34,18.52,18.73,19118700,-0.06,-0.31932,18.845
2020-09-21,SLB,18.1,18.19,17.09,17.27,16106800,-0.83,-4.59,17.6625
2020-09-22,SLB,17.41,17.74,17.17,17.33,8862700,-0.08,-0.45951,17.4125
2020-09-23,SLB,17.28,17.62,16.59,16.61,10684220,-0.67,-3.88,17.025
2020-09-24,SLB,16.34,17.08,15.93,16.62,17772300,0.28,1.71,16.4925
2020-09-25,SLB,16.28,16.41,15.82,15.92,16290200,-0.36,-2.21,16.1075
2020-09-28,SLB,16.36,16.85,16.26,16.45,11912432,0.09,0.55012,16.48
2020-09-29,SLB,16.35,16.4,15.47,15.6,15869307,-0.75,-4.59,15.955
2020-09-30,SLB,15.81,16.02,15.42,15.56,15527222,-0.25,-1.58,15.7025
2020-10-01,SLB,15.36,15.53,14.88,15.01,17901601,-0.35,-2.28,15.195
2020-10-02,SLB,14.57,15.73,14.52,15.57,14625800,1.0,6.86,15.0975
2020-10-05,SLB,15.77,16.13,15.63,16.07,12192009,0.3,1.9,15.9
2020-10-06,SLB,16.44,16.56,15.64,15.67,13187300,-0.77,-4.68,16.0775
2020-10-07,SLB,15.72,16.03,15.58,15.95,10374006,0.23,1.46,15.82
2020-10-08,SLB,16.12,16.44,15.94,16.43,10855609,0.31,1.92,16.2325
2020-10-09,SLB,16.58,16.6,16.05,16.23,11704100,-0.35,-2.11,16.365
2020-10-12,SLB,16.03,16.2,15.76,16.12,12381400,0.09,0.56145,16.0275
2020-10-13,SLB,15.96,16.14,15.52,15.73,14015016,-0.23,-1.44,15.8375
2020-10-14,SLB,15.75,16.51,15.74,15.95,15876744,0.2,1.27,15.9875
2020-10-15,SLB,15.75,16.44,15.55,16.42,15709621,0.67,4.25,16.04
2020-10-16,SLB,15.62,16.26,14.9,14.97,39866400,-0.65,-4.16,15.4375
2020-10-19,SLB,15.16,15.44,14.91,15.01,18285500,-0.15,-0.98945,15.13
2020-10-20,SLB,15.24,15.65,15.18,15.49,20806468,0.25,1.64,15.39
2020-10-21,SLB,15.36,15.59,14.98,15.01,18537502,-0.35,-2.28,15.235
2020-10-22,SLB,15.06,15.42,14.91,15.3,15938159,0.24,1.59,15.1725
2020-10-23,SLB,15.46,15.78,15.17,15.4,13862140,-0.06,-0.3881,15.4525
2020-10-26,SLB,15.15,15.26,14.86,15.17,17382400,0.02,0.13201,15.11
2020-10-27,SLB,15.11,15.23,14.75,15.09,14749705,-0.02,-0.13236,15.045
2020-10-28,SLB,14.5,14.75,14.15,14.18,18198000,-0.32,-2.21,14.395
2020-10-29,SLB,13.9,14.49,13.7,14.45,16151815,0.55,3.96,14.135
2020-10-30,SLB,14.41,14.96,14.32,14.94,17498845,0.53,3.68,14.6575
2020-11-02,SLB,15.12,15.8,14.78,15.58,18490900,0.46,3.04,15.32
2020-11-03,SLB,15.92,16.05,15.56,15.76,13028245,-0.16,-1.01,15.8225
2020-11-04,SLB,15.7,16.2,15.07,15.97,17689420,0.27,1.72,15.735
2020-11-05,SLB,15.9,16.13,15.5,15.52,15004601,-0.38,-2.39,15.7625
2020-11-06,SLB,15.49,15.83,15.14,15.22,10324220,-0.27,-1.74,15.42
2020-11-09,SLB,17.02,18.76,16.93,18.25,31835645,1.23,7.23,17.74
2020-11-10,SLB,18.77,18.91,18.0,18.31,19098500,-0.46,-2.45,18.4975
2020-11-11,SLB,18.5,18.51,17.4,17.71,16402100,-0.79,-4.27,18.03
2020-11-12,SLB,17.35,17.88,17.16,17.3,10767857,-0.05,-0.28818,17.4225
2020-11-13,SLB,17.44,18.11,17.42,18.0,9326631,0.56,3.21,17.7425
2020-11-16,SLB,18.89,20.05,18.56,20.04,23092814,1.15,6.09,19.385
2020-11-17,SLB,19.44,20.1,19.27,20.09,13972548,0.65,3.34,19.725
2020-11-18,SLB,20.18,20.57,19.92,19.97,15408300,-0.21,-1.04,20.16
2020-11-19,SLB,19.69,20.5,19.55,20.46,11924300,0.77,3.91,20.05
2020-11-20,SLB,20.36,20.5,19.98,20.21,10302342,-0.15,-0.73674,20.2625
2020-11-23,SLB,20.6,21.65,20.45,21.61,14799664,1.01,4.9,21.0775
2020-11-24,SLB,22.44,22.5,21.92,22.23,20774117,-0.21,-0.93583,22.2725
2020-11-25,SLB,21.73,22.31,21.66,22.1,12188700,0.37,1.7,21.95
2020-11-27,SLB,21.97,22.11,21.71,21.88,6550900,-0.09,-0.40965,21.9175
2020-11-30,SLB,21.96,21.98,20.78,20.79,21516100,-1.17,-5.33,21.3775
2020-12-01,SLB,21.37,21.58,20.87,21.07,12721076,-0.3,-1.4,21.2225
2020-12-02,SLB,20.95,22.07,20.87,21.64,9741910,0.69,3.29,21.3825
2020-12-03,SLB,21.85,22.44,21.74,22.07,12517446,0.22,1.01,22.025
2020-12-04,SLB,22.56,23.5,22.46,23.45,16201300,0.89,3.95,22.9925
2020-12-07,SLB,23.3,23.36,22.71,22.83,10067545,-0.47,-2.02,23.05
2020-12-08,SLB,22.5,23.3,22.44,23.23,8064614,0.73,3.24,22.8675
2020-12-09,SLB,23.3,23.79,22.97,23.37,15063339,0.07,0.30043,23.3575
