date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2004-09-30,SMCI,2005,Q1,USD,191972701.92,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00923568810704584,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
2004-12-31,SMCI,2005,Q2,USD,191972701.92,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00923568810704584,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
2005-03-31,SMCI,2005,Q3,USD,191972701.92,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00923568810704584,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
2005-06-30,SMCI,2005,Q4,USD,192174733.8,194080733.8,3.6660508840196453,0.0,0.0,-1.3170427304374972,-0.012934222759074654,1.4824973161849833,0.0,0.15529455749457033,-0.07837287817281212,0.0,0.0,22922000.0,41999000.0,0.019751957350940198,0.0,0.019751957350940198,0.06080269166065849,,-3.4956944609180405,0.009215571500898315,,0.0,0.0,,0.0,0.0,,0.0,,,,22.98961088024178,0.0,0.0,22.98961088024178,22.98961088024178,,,29127000.0,9894000.0,Technology
2005-09-30,SMCI,2006,Q1,USD,192376765.68,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01822465404076857,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
2005-12-31,SMCI,2006,Q2,USD,192376765.68,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01822465404076857,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
2006-03-31,SMCI,2006,Q3,USD,192812733.36,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02576593315921861,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Technology
2006-06-30,SMCI,2006,Q4,USD,193601203.44,196558203.44,2.369627161749991,0.0,0.0,-1.0239059610666306,-0.015403528694737172,1.5771694907328022,0.0,0.33062987231108665,-0.09582095395264037,0.0,0.0,37026000.0,66631000.0,0.03792337463072801,0.0,0.03792337463072801,0.10400485690958193,,-2.8716379955123412,0.025660997513063808,,0.0,0.0,,0.0,0.0,,0.0,,,,24.143509867508953,0.0,0.0,24.143509867508953,24.143509867508953,,,47767000.0,17943000.0,Technology
2006-09-30,SMCI,2007,Q1,USD,194389673.52,196609673.52,2.180022326055862,76.20529981395349,137.97170071578947,22.984530455927054,0.25952770633621697,1.4649203379259512,0.5364940736119775,0.3408654370620239,-0.13998380936217955,0.6060491493383743,0.9667397660818714,40999000.0,71571000.0,0.030062074526939594,0.05641818744200433,0.030062074526939594,0.09094691453751158,0.06857056196525434,0.11434302908726178,0.02473896844888327,0.007330636315171275,0.4476744186046512,3.338150289017341,0.012806723807200594,0.0,0.054741814230432326,0.0,0.0,24414500.0,60562500.0,67799000.0,26.521893399270404,86.14082712390238,97.20977258247693,123.73166598174734,37.59083885784496,-795000.0,192451.4177693762,52877000.0,22092000.0,Technology
2006-12-31,SMCI,2007,Q2,USD,194578486.56,192136486.56,1.6913125346384748,26.396000351696664,29.33381474198473,24.554183585942493,-0.3120766773162939,1.5040512241384982,1.4681323114158935,0.36420906053714475,-0.12389049491638722,0.6937176437666154,0.9626885775862069,45973000.0,77156000.0,0.029411590230938527,0.04519361299316373,0.029411590230938527,0.08451088346088943,0.06584955808419983,0.09595946539823695,0.025480720338890893,0.03366250871717131,0.10015111965929385,1.8179551122194513,0.006417140543300294,0.0,0.04891639231703667,0.0,0.0,28868000.0,72763000.0,76325000.0,24.68539286280171,72.71400932474864,71.04316660851913,95.72855947132084,23.01455014657219,8992000.0,-151840.21267664712,58667000.0,27274000.0,Technology
