date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
2022-03-31,SOLV,2022,Q1,USD,0.5920796890184645,0.21501457725947523,0.28425655976676384,0.21501457725947523,0.2152575315840622,0.17031098153547133,0.17031098153547133,0.17031098153547133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84114248216833,0.0,0.0,1.144148085247533,6.704218542274052,44.151301632,37.4417415468114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17905733722060252,0.8480325644504749,0.0,0.0,0.0,0.0,6.580357142857143,6.580357142857143,0,0,0,11.932785230008959,2.032284364974801,0.0,0.5276401632316886,0.0,0.0,69.92101899352673,2.136652748910739,0.32470163891180837,1.8119511099989307,0.791196388261851,1.001129943502825,1.144148085247533,0.0,0.208803611738149,23.74065258119658,0,Healthcare
2022-06-30,SOLV,2022,Q2,USD,0.5920796890184645,0.21501457725947523,0.28425655976676384,0.21501457725947523,0.2152575315840622,0.17031098153547133,0.17031098153547133,0.17031098153547133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84114248216833,-99.98600761881913,-99.98600761881913,0.0,6.704218542274052,44.151301632,37.4417415468114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17905733722060252,0.8480325644504749,0.0,0.0,0.0,0.0,6.580357142857143,6.580357142857143,0,0,0,11.932785230008959,2.032284364974801,,,,,,2.136652748910739,0.32470163891180837,1.8119511099989307,0.791196388261851,1.001129943502825,0.0,,0.208803611738149,,0,Healthcare
2022-09-30,SOLV,2022,Q3,USD,0.571926331508213,0.2105525136884022,0.2812344449975112,0.2105525136884022,0.2105525136884022,0.16674962667994028,0.16674962667994028,0.16674962667994028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.296478925373135,-2.3224280242786097,-2.3224280242786097,0.0,6.867736067695371,31.42888783599089,27.817100322580647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24688899950223991,0.8850806451612904,0.0,0.0,0.0,0.0,8.701754385964913,8.701754385964913,0,0,0,11.648671295961126,1.9424115899188537,,,,,,2.8759288017903026,0.33049988246380496,2.545428919326498,0.7919621749408984,1.0,0.0,,0.20803782505910165,,0,Healthcare
2022-12-31,SOLV,2022,Q4,USD,0.5531172069825436,0.10972568578553615,0.26583541147132167,0.19052369077306733,0.1910224438902743,0.15311720698254364,0.15311720698254364,0.15311720698254364,1.7122117847993168,2.574712643678161,1.0263459335624283,1.5200909780136467,0.14749154038546416,1.7017543859649122,1.0358504958047292,0.2473002159827214,0.04652936689549962,11.235571465798046,-1.3623130402280144,-1.3623130402280144,1.1750367705671947,6.881437286783043,37.90462021978022,30.93560932735426,0.005002206855965867,0.0057911769715551014,0.005757832345469941,0.005757832345469941,1.1577244081076477,0.0,0.34019832189168575,0.22244389027431422,0.8161434977578476,0.0,0.0,0.0,6.5588235294117645,5.439024390243903,5.439024390243903,0,0,0,11.625478321753139,1.7800607704629494,0.3942805615357673,0.3536928566717913,68.08297578754382,11.921188742904965,68.08297578754382,2.586016624190474,0.4754559712637194,2.1105606529267544,0.8015665796344648,1.0026178010471205,1.1750367705671947,0.004928507019197091,0.19843342036553524,25.89921530956848,0,Healthcare
2023-03-31,SOLV,2023,Q1,USD,0.5691216050893075,0.1786151211157328,0.24957181306581844,0.1786151211157328,0.17763640812331782,0.14338145338879374,0.14338145338879374,0.14338145338879374,0.0,2.3669354838709675,1.0005681818181817,1.5036791758646064,0.1498057327175427,0.04413892908827786,-0.5926193921852387,0.2290794979079498,-0.04413892908827786,11.772424709897612,0.0,0.0,1.1750367705671947,6.751789459261071,31.07495891891892,27.106643929273083,0.006451139945751778,0.007494464316130131,0.007438715131022823,0.007438715131022823,1.161727133367399,-10.192019950124688,0.3683068017366136,0.24908245656961095,0.8722986247544204,0.0,0.0,0.0,5.784090909090909,7.8307692307692305,7.8307692307692305,0,0,0,11.848710698505007,1.6988853607349974,0.5102454325756989,0.3536928566717913,68.00759862136786,12.443030662584658,68.08297578754382,2.9513059679662583,0.37688583087977756,2.5744201370864808,0.8071625344352618,0.9945205479452055,1.1750367705671947,0.006378067907196236,0.1928374655647383,27.34565050980392,0,Healthcare
2023-06-30,SOLV,2023,Q2,USD,0.5691216050893075,0.20406165891852215,0.26914607291411796,0.20406165891852215,0.2021042329336922,0.15708343528260338,0.15708343528260338,0.15708343528260338,1.7114740368509214,2.425619834710744,1.0202780996523755,1.411256906077348,0.14279225770386417,1.924929178470255,1.3137393767705383,0.04387745240166232,0.35410764872521244,10.745546542056074,0.0,0.0,3.4806462563067604,6.751789459261071,46.770446644067796,37.69749114754099,0.5811613444203759,2.098133198789102,0.6772249816790163,0.6772249816790163,3.610242179616549,-272.46666666666664,0.25920679886685555,0.1791044776119403,0.8060109289617486,0.0,0.0,0.0,0.04400625225441866,5.154929577464789,5.154929577464789,0,0,0,11.848710698505007,1.8612361801909016,48.22399162195554,2.8991217759982892,22.984237440114438,-32.55713754446079,22.984237440114438,2.1221571400307475,0.411675292191757,1.7104818478389905,0.7772397094430993,0.9904076738609112,3.4806462563067604,0.6027998952744442,0.22276029055690072,39.29869410909091,0,Healthcare
2023-09-30,SOLV,2023,Q3,USD,0.5613437195715677,0.19133398247322297,0.26144109055501463,0.2453748782862707,0.24342745861733203,0.22395326192794549,0.22395326192794549,0.22395326192794549,1.7814397224631395,2.389920424403183,1.061248527679623,1.4981765134938,0.1480573776400202,1.805574439157036,1.2284160435078177,0.05685776146098089,0.3399048266485384,7.498522695652174,-1.0267207998662198,-1.0267207998662198,4.245317464615384,6.7172744693281405,32.31213526932084,27.986372738336712,0.6000864989548043,2.5615384615384613,0.7192224622030238,0.7192224622030238,4.2686153846153845,1.6491368928141308,0.33514615907545886,0.2400194741966894,0.8661257606490872,0.0,0.0,0.0,0.05921921921921922,7.46969696969697,7.46969696969697,0,0,0,11.909592255800971,2.667192033918426,48.270377570371515,2.8991217759982892,18.84429154398888,-35.53743473018703,18.84429154398888,2.8585340711343132,0.38268407443177416,2.475849996702539,0.92,0.9920634920634921,4.245317464615384,0.6033797196296439,0.08,40.26495672253259,0,Healthcare
2023-12-31,SOLV,2023,Q4,USD,0.5322195704057279,0.16706443914081145,0.2334128878281623,0.16706443914081145,0.08544152744630072,0.03484486873508353,0.03484486873508353,0.03484486873508353,1.620262954369683,2.094017094017094,1.1277330264672036,1.4290586630286495,0.14571885650692076,1.6465273856578204,1.155844155844156,0.019328956965718454,0.33879164313946925,47.25096493150685,-0.6338544076177749,-0.6338544076177749,4.047310577882077,6.585814682577565,30.059437385620914,25.22354983546618,0.5775196494400779,2.4356116163097683,0.7089310109289617,0.7089310109289617,4.217365796421238,1.798283261802575,0.30886504799548276,0.2610978520286396,0.8391224862888482,0.0,0.0,0.0,0.06587980248103095,6.215909090909091,6.215909090909091,0,0,0,12.147320241432832,0.4232717792957502,48.14281621222759,3.478946131197947,19.766212268756334,-34.951812131435375,19.766212268756334,3.171639222942128,0.5102454325756989,2.6613937903664295,0.40782122905027934,0.5114285714285715,4.047310577882077,0.6017852026528449,0.5921787709497207,43.9678563599182,0,Healthcare
2024-03-31,SOLV,2024,Q1,USD,0.5813492063492064,0.18253968253968253,0.25148809523809523,0.18898809523809523,0.16319444444444445,0.11755952380952381,0.11755952380952381,0.11755952380952381,1.6524590163934427,1.4378194207836457,0.9367369589345172,1.352112676056338,0.1370403099721297,1.8117583603020497,1.325782092772384,0.03462246777163904,0.5372168284789643,12.588154008438817,0.055652891405729495,0.055652891405729495,3.0988236821604778,5.919429563492063,35.09873529411764,26.999027149321265,0.5644075861600163,2.1560633601661907,0.6831495803850585,0.6831495803850585,3.8200467411062062,1.5215094339622641,0.238403451995685,0.21924603174603174,0.7692307692307693,10.64102564102564,9.76923076923077,0.0,0.053233770926171264,4.333333333333333,4.333333333333333,0,0,0,11.673422119281993,1.3723219455703533,48.30341632889404,5.7672264041690795,22.29878401852924,-31.424435437174292,22.29878401852924,2.5593514765489287,0.5906195715112913,1.9687319050376375,0.7203647416413373,0.863517060367454,3.0988236821604778,0.6957683241477615,0.2796352583586626,37.949842209072976,0,Healthcare
2024-06-30,SOLV,2024,Q2,USD,0.5463719365689572,0.10091302258529553,0.1648246035559827,0.11725132148005767,0.04613166746756367,0.04276790004805382,0.04276790004805382,0.04276790004805382,2.02431906614786,1.9070707070707071,1.050055617352614,1.3539362394274561,0.14274934833310468,1.308051341890315,0.9583819525476468,0.01895653658953121,0.34889148191365227,25.03129213483146,-0.39875430493859415,-0.39875430493859415,3.1081757935123826,4.28214320038443,30.003838383838385,25.101802816901408,0.6116751269035533,3.110219741890478,0.756704005431093,0.7433992660878904,5.0847575863271715,1.8119286025250327,0.1380785686503306,0.17059106198942817,0.8366197183098592,2.9473684210526314,2.1403508771929824,0.0,0.03981159582819334,6.120689655172414,6.120689655172414,0,0,0,12.01501154734411,0.5138568129330254,52.14203233256351,5.178983833718245,16.55311778290993,-36.39722863741339,16.55311778290993,2.0496535796766744,0.3348729792147806,1.7147806004618937,0.9270833333333334,0.39344262295081966,3.1081757935123826,0.9320917413484694,0.07291666666666667,49.361924198250726,0,Healthcare
