date,symbol,open,high,low,close,volume,change,changePercent,vwap
2024-03-26,SOLV,91.05,96.05,79.1,80.0,353582,-11.05,-12.14,86.55
2024-03-27,SOLV,80.0,80.0,74.18,75.0,454568,-5.0,-6.25,77.295
2024-03-28,SOLV,78.0,78.0,69.0,69.55,2869643,-8.45,-10.83,73.6375
2024-04-01,SOLV,69.15,72.4,65.0,69.1,14094855,-0.05,-0.07230658,68.9125
2024-04-02,SOLV,67.67,68.59,64.47,66.9,9446891,-0.77,-1.14,66.9075
2024-04-03,SOLV,65.53,67.77,63.86,63.89,5177150,-1.64,-2.5,65.2625
2024-04-04,SOLV,63.05,68.17,62.33,67.0,5239733,3.95,6.26,65.1375
2024-04-05,SOLV,65.97,70.15,65.18,70.06,4216625,4.09,6.2,67.84
2024-04-08,SOLV,70.06,71.66,66.25,67.01,4467678,-3.05,-4.35,68.745
2024-04-09,SOLV,65.48,68.0,65.01,65.52,2894692,0.04,0.06108735,66.0025
2024-04-10,SOLV,64.68,64.93,63.59,63.89,2114791,-0.79,-1.22,64.2725
2024-04-11,SOLV,63.57,64.3,62.3,63.17,2396618,-0.4,-0.62923,63.335
2024-04-12,SOLV,62.5,63.25,61.87,62.75,1795364,0.25,0.4,62.5925
2024-04-15,SOLV,62.1,63.79,61.56,61.69,2043059,-0.41,-0.66023,62.285
2024-04-16,SOLV,62.0,62.99,61.66,61.95,1583249,-0.05,-0.08064516,62.15
2024-04-17,SOLV,61.82,62.67,61.5,61.75,1849789,-0.07,-0.11323,61.935
2024-04-18,SOLV,61.84,64.11,61.38,64.03,2070485,2.19,3.54,62.84
2024-04-19,SOLV,63.58,64.06,61.99,62.2,1469197,-1.38,-2.17,62.9575
2024-04-22,SOLV,62.25,62.76,61.83,62.07,1380397,-0.18,-0.28916,62.2275
2024-04-23,SOLV,62.03,64.19,61.85,63.5,1505935,1.47,2.37,62.8925
2024-04-24,SOLV,62.85,64.18,62.78,63.54,1055100,0.69,1.1,63.3375
2024-04-25,SOLV,62.75,63.07,60.72,61.83,2938475,-0.92,-1.47,62.0925
2024-04-26,SOLV,61.46,64.69,61.32,64.43,1641165,2.97,4.83,62.975
2024-04-29,SOLV,63.49,66.67,63.04,65.91,2163617,2.42,3.81,64.7775
2024-04-30,SOLV,65.21,65.86,63.75,65.01,2132558,-0.2,-0.3067,64.9575
2024-05-01,SOLV,64.95,66.85,64.29,65.15,1612395,0.2,0.30793,65.31
2024-05-02,SOLV,65.0,66.23,64.7,65.14,1697552,0.14,0.21538,65.2675
2024-05-03,SOLV,65.43,65.56,63.8,64.65,1724999,-0.78,-1.19,64.86
2024-05-06,SOLV,64.7,65.11,64.3,64.69,1200293,-0.01,-0.01545595,64.7
2024-05-07,SOLV,64.79,65.9,64.46,65.56,2270340,0.77,1.19,65.1775
2024-05-08,SOLV,65.23,66.97,65.15,66.43,1910630,1.2,1.84,65.945
2024-05-09,SOLV,65.52,67.5,63.49,64.83,3088693,-0.69,-1.05,65.335
2024-05-10,SOLV,63.8,64.81,63.03,63.74,1916241,-0.06,-0.09404389,63.845
2024-05-13,SOLV,64.0,64.44,63.12,63.14,1510912,-0.86,-1.34,63.675
2024-05-14,SOLV,63.61,65.4,63.46,65.1,1627518,1.49,2.34,64.3925
2024-05-15,SOLV,64.83,65.18,62.23,62.44,2812481,-2.39,-3.69,63.67
2024-05-16,SOLV,62.0,62.03,60.57,61.56,2653989,-0.44,-0.70968,61.54
2024-05-17,SOLV,61.8,62.42,61.0,62.38,1711108,0.58,0.93851,61.9
2024-05-20,SOLV,62.46,62.82,61.85,62.03,1459022,-0.43,-0.68844,62.29
2024-05-21,SOLV,61.8,62.25,61.14,61.22,1319804,-0.58,-0.93851,61.6025
2024-05-22,SOLV,61.07,62.24,60.92,61.89,1403793,0.82,1.34,61.53
2024-05-23,SOLV,61.28,61.6,59.89,59.93,1733174,-1.35,-2.2,60.675
2024-05-24,SOLV,59.81,60.78,59.06,60.45,1269448,0.64,1.07,60.025
2024-05-28,SOLV,60.2,60.25,59.34,59.86,1705111,-0.34,-0.56478,59.9125
2024-05-29,SOLV,59.23,60.12,59.23,59.72,1050386,0.49,0.82728,59.575
2024-05-30,SOLV,59.11,59.16,56.72,58.35,3253706,-0.76,-1.29,58.335
2024-05-31,SOLV,58.06,59.4,57.19,59.34,5801420,1.28,2.2,58.4975
2024-06-03,SOLV,59.34,59.87,56.81,57.05,1680845,-2.29,-3.86,58.2675
2024-06-04,SOLV,56.82,57.25,55.5,55.61,2111514,-1.21,-2.13,56.295
2024-06-05,SOLV,55.61,56.01,54.75,55.73,1342648,0.12,0.21579,55.525
2024-06-06,SOLV,55.38,55.44,54.47,55.05,1806251,-0.33,-0.59588,55.085
2024-06-07,SOLV,54.5,56.78,54.47,56.41,1534965,1.91,3.5,55.54
2024-06-10,SOLV,56.05,57.28,56.05,56.71,1733769,0.66,1.18,56.5225
2024-06-11,SOLV,56.6,56.79,56.18,56.54,1363209,-0.06,-0.10601,56.5275
2024-06-12,SOLV,56.87,57.14,56.13,56.16,1040591,-0.71,-1.25,56.575
2024-06-13,SOLV,55.83,56.7,54.0,54.13,1408545,-1.7,-3.04,55.165
2024-06-14,SOLV,52.96,54.78,52.58,54.56,1372090,1.6,3.02,53.72
2024-06-17,SOLV,54.42,54.79,53.19,54.63,1406993,0.21,0.38589,54.2575
2024-06-18,SOLV,54.12,55.07,52.96,53.32,1852703,-0.8,-1.48,53.8675
2024-06-20,SOLV,52.94,54.09,52.44,53.8,1720999,0.86,1.62,53.3175
2024-06-21,SOLV,53.83,54.77,52.2,52.35,7696882,-1.48,-2.75,53.2875
2024-06-24,SOLV,52.35,53.0,51.26,51.3,2581723,-1.05,-2.01,51.9775
2024-06-25,SOLV,51.24,51.62,50.63,51.25,1628301,0.01,0.019516,51.185
2024-06-26,SOLV,50.9,51.23,50.5,50.75,1141091,-0.15,-0.2947,50.845
2024-06-27,SOLV,50.5,51.39,50.49,51.33,1634482,0.83,1.64,50.9275
2024-06-28,SOLV,51.48,53.11,51.18,52.88,4809448,1.4,2.72,52.1625
2024-07-01,SOLV,53.0,53.56,51.21,51.45,1360295,-1.55,-2.92,52.305
2024-07-02,SOLV,51.4,51.83,51.25,51.6,1309792,0.2,0.38911,51.52
2024-07-03,SOLV,51.63,51.77,50.61,50.85,891107,-0.78,-1.51,51.215
2024-07-05,SOLV,50.5,51.0,49.53,49.9,2060388,-0.6,-1.19,50.2325
2024-07-08,SOLV,50.0,50.42,49.58,49.64,1194388,-0.36,-0.72,49.91
2024-07-09,SOLV,49.39,49.74,47.98,48.02,1714301,-1.37,-2.77,48.7825
2024-07-10,SOLV,48.1,48.53,47.35,48.18,1218128,0.08,0.16632,48.04
2024-07-11,SOLV,48.45,49.75,48.24,49.36,1327699,0.91,1.88,48.95
2024-07-12,SOLV,49.49,50.36,48.98,49.0,1089566,-0.49,-0.9901,49.4575
2024-07-15,SOLV,48.78,49.19,48.12,48.22,905602,-0.56,-1.15,48.5775
2024-07-16,SOLV,47.26,50.26,47.16,50.04,1488125,2.78,5.88,48.68
2024-07-17,SOLV,49.86,53.39,49.64,53.0,2496657,3.14,6.3,51.4725
2024-07-18,SOLV,52.71,55.1,52.4,54.98,2776256,2.27,4.31,53.7975
2024-07-19,SOLV,55.0,56.0,54.5,54.6,2602402,-0.4,-0.72727,55.025
2024-07-22,SOLV,54.84,55.11,53.03,54.13,1806251,-0.71,-1.29,54.2775
2024-07-23,SOLV,56.31,56.74,55.55,56.64,2073910,0.33,0.58604,56.31
2024-07-24,SOLV,56.78,59.97,56.64,58.09,2204515,1.31,2.31,57.87
2024-07-25,SOLV,57.5,58.84,56.69,57.55,1540666,0.05,0.08695652,57.645
2024-07-26,SOLV,58.06,59.0,57.38,57.63,1122368,-0.43,-0.74061,58.0175
2024-07-29,SOLV,57.31,57.75,55.9,57.34,1001946,0.03,0.05234689,57.075
