date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1993-03-31,SPG,1993,Q1,USD,868168413.36,,,0.0,0.0,,,0.0,0.0,,,1.0,0.07692307692307693,,,0.0,0.0,0.0,0.0,0.0,0.0,0.009099616938867065,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1993-06-30,SPG,1993,Q2,USD,835200000.0,,,0.0,0.0,,,0.0,0.0,,,1.0,0.07782101167315175,,,0.0,0.0,0.0,0.0,0.0,0.0,0.009578544061302683,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1993-09-30,SPG,1993,Q3,USD,835200000.0,,,0.0,0.0,,,0.0,0.0,,,1.0,0.07782101167315175,,,0.0,0.0,0.0,0.0,0.0,0.0,0.009578544061302683,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1993-12-31,SPG,1993,Q4,USD,850800000.0,2308700000.0,23.6547131147541,0.0,0.0,7.079730144127568,4.470714504753143,0.0,0.0,1.953602441644666,-43.18,1.0,0.02821220484513953,0.0,1350400000.0,0.005237092275288894,0.0,0.005237092275288894,0.31186440677966104,0.37126430238515395,0.18563215119257698,0.010813352139163141,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,29500000.0,-1727200000.0,Real Estate
1994-03-31,SPG,1994,Q1,USD,1122883080.0,2540683080.0,24.01401776937618,-84.689436,-68.8532,13.975154455445544,7.798679867986799,0.0,-1.6853932584269662,4.911779482632584,-33.90114133699476,1.0,0.09538461538461539,70000000.0,1409500000.0,0.008693213684800897,0.008757804333700596,0.008693213684800897,0.10312707917498337,0.01672962763086886,0.008693213684800897,0.013803752390676329,-0.03286183633651332,-0.23,0.35751295336787564,0.06521739130434782,0.0,0,0.0,0.0,35000000.0,0.0,0.0,59.54631379962193,0.0,0.0,59.54631379962193,59.54631379962193,-1454700000.0,267400000.0,150300000.0,-1562700000.0,Real Estate
1994-06-30,SPG,1994,Q2,USD,1215742867.8700001,2723642867.87,24.361743004203934,161.16229987396449,358.3740615618421,14.097530371997928,7.804865424430642,0.0,0.8848167539267016,2.819746521927822,-34.27323499170675,1.0,0.03935185185185185,70000000.0,1477400000.0,0.0036960539189042287,0.003754002429060395,0.0036960539189042287,0.05546492659053834,0.00712116451984501,0.0036960539189042287,0.005593288004982257,0.006251321887921346,0.5502958579881657,0.45588235294117646,0.08318425760286226,0.0,0,0.0,0.0,70000000.0,0.0,0.0,56.35062611806798,0.0,0.0,56.35062611806798,56.35062611806798,-1500300000.0,356700000.0,122600000.0,-1647200000.0,Real Estate
1994-09-30,SPG,1994,Q3,USD,1150966672.02,2851866672.02,24.606269818981882,26.578440559366264,29.160190920449896,14.055528201182849,8.382947264662395,0.0,4.944700460829493,3.491354755126389,-39.54139516492374,1.0,0.047382920110192836,70000000.0,1702100000.0,0.004123711340206186,0.004381830688100273,0.004123711340206186,0.059805285118219746,0.00797958710276038,0.004123711340206186,0.007471980039966405,0.08497205208240866,0.08853681267474371,0.4439252336448598,0.08196721311475409,0.0,0,0.0,0.0,70000000.0,0.0,0.0,54.3572044866264,0.0,0.0,54.3572044866264,54.3572044866264,-1603100000.0,374900000.0,143800000.0,-1871700000.0,Real Estate
1994-12-31,SPG,1994,Q4,USD,1057090900.8000001,2995190900.8,22.1701769119171,49.101490177049186,49.101490177049186,13.510107806946325,8.741993685160127,0.0,33.888888888888886,1.0390282006325278,-47.88019645396233,1.0,0.009018036072144289,0.0,1829100000.0,0.0007904444054101528,0.000825177069246109,0.0007904444054101528,0.031413612565445025,0.0015808888108203056,0.0007904444054101528,0.0017027863910641656,0.05770553880828561,0.0,0.0,0.0,0.0,0,0.0,0.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1877100000.0,491300000.0,57300000.0,-2219900000.0,Real Estate
1995-03-31,SPG,1995,Q1,USD,1110738450.96,3070738450.96,23.227976179727687,73.6388117736211,73.6388117736211,13.134039567835757,8.383233532934131,0.0,3.3095238095238093,3.0149271777979134,-46.038571867034015,1.0,0.05991440798858773,0.0,1876200000.0,0.005463059313215401,0.005497861942577886,0.005463059313215401,0.16733067729083664,0.010926118626430802,0.005463059313215401,0.011343804645558049,0.037542591565061165,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1918300000.0,444100000.0,75300000.0,-2231100000.0,Real Estate
1995-06-30,SPG,1995,Q2,USD,1313272000.0,3138772000.0,23.996727828746177,80.27549872122762,80.27549872122762,13.999875111507583,8.142283675289919,0.0,2.7535211267605635,3.8877574864414184,-35.802158273381295,1.0,0.06943056943056942,0.0,1872200000.0,0.006078096987187896,0.006052293558008404,0.006078096987187896,0.09303882195448461,0.012156193974375793,0.006078096987187896,0.010584250635055038,0.02977296401659367,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1786400000.0,424400000.0,296300000.0,-1990600000.0,Real Estate
1995-09-30,SPG,1995,Q3,USD,1704285704.06,3690385704.06,26.74192539173913,75.77794053511293,75.77794053511293,15.81142118277635,8.50942587832048,0.0,2.782857142857143,3.5724697553863884,-30.3506001821036,1.0,0.09564801530368244,0.0,1985800000.0,0.008307372793354102,0.008520790729379687,0.008307372793354102,0.138217000691085,0.016614745586708203,0.008307372793354102,0.01173512161274099,0.02857502112702431,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1937400000.0,442500000.0,239600000.0,-2167900000.0,Real Estate
1995-12-31,SPG,1995,Q4,USD,1637142847.3200002,3617942847.32,23.14742704619322,55.83245134753086,55.83245134753086,13.611523127614749,7.45221971407073,0.0,1.132867132867133,9.614468841764277,-32.529000195174,1.0,0.38087177316969956,0.0,2009300000.0,0.03520575809732436,0.036261810270150484,0.03520575809732436,0.38643194504079004,0.07041151619464872,0.03520575809732436,0.05497382231937172,0.03958115206994764,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1916000000.0,502100000.0,232900000.0,-2323500000.0,Real Estate
