date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,SPG,63.5,64.6,62.62,63.62,3311303,0.12,0.18898,63.585
2020-07-31,SPG,63.31,63.9,61.5,62.35,5136773,-0.96,-1.52,62.765
2020-08-03,SPG,61.21,61.79,59.91,61.03,4152661,-0.18,-0.29407,60.985
2020-08-04,SPG,61.23,63.63,61.07,62.99,4097731,1.76,2.87,62.23
2020-08-05,SPG,63.87,64.58,62.27,62.5,3406670,-1.37,-2.14,63.305
2020-08-06,SPG,62.71,62.71,61.19,61.2,4865148,-1.51,-2.41,61.9525
2020-08-07,SPG,61.18,62.54,60.51,62.19,6391315,1.01,1.65,61.605
2020-08-10,SPG,65.22,69.16,63.82,65.47,18253818,0.25,0.38332,65.9175
2020-08-11,SPG,68.16,70.99,66.83,67.15,13635300,-1.01,-1.48,68.2825
2020-08-12,SPG,67.8,68.94,65.62,67.83,6876084,0.03,0.04424779,67.5475
2020-08-13,SPG,67.17,68.25,65.73,66.02,5499412,-1.15,-1.71,66.7925
2020-08-14,SPG,65.38,68.45,65.17,68.18,5334300,2.8,4.28,66.795
2020-08-17,SPG,68.35,68.39,66.18,68.18,4441601,-0.17,-0.24872,67.775
2020-08-18,SPG,67.37,67.5,63.88,65.13,8189218,-2.24,-3.32,65.97
2020-08-19,SPG,65.12,65.64,63.74,63.88,4962327,-1.24,-1.9,64.595
2020-08-20,SPG,63.33,65.45,62.9,64.87,4220400,1.54,2.43,64.1375
2020-08-21,SPG,64.8,65.54,63.9,64.52,3014100,-0.28,-0.4321,64.69
2020-08-24,SPG,65.05,68.52,63.86,68.5,5515803,3.45,5.3,66.4825
2020-08-25,SPG,69.36,70.14,66.52,68.65,5053549,-0.71,-1.02,68.6675
2020-08-26,SPG,68.48,68.61,65.75,66.31,4363514,-2.17,-3.17,67.2875
2020-08-27,SPG,66.62,69.1,66.62,67.57,4207400,0.95,1.43,67.4775
2020-08-28,SPG,68.1,69.9,66.95,69.84,3676900,1.74,2.56,68.6975
2020-08-31,SPG,69.81,69.83,67.44,67.85,4089900,-1.96,-2.81,68.7325
2020-09-01,SPG,66.65,67.88,65.9,67.2,3491609,0.55,0.82521,66.9075
2020-09-02,SPG,66.64,68.03,65.96,67.84,3595200,1.2,1.8,67.1175
2020-09-03,SPG,68.5,70.98,66.87,68.0,5310100,-0.5,-0.72993,68.5875
2020-09-04,SPG,69.5,72.48,68.84,70.24,6858413,0.74,1.06,70.265
2020-09-08,SPG,69.46,70.75,68.79,70.05,3899300,0.59,0.84941,69.7625
2020-09-09,SPG,69.94,70.17,67.96,68.86,4332709,-1.08,-1.54,69.2325
2020-09-10,SPG,68.59,69.83,66.0,66.19,4586200,-2.4,-3.5,67.6525
2020-09-11,SPG,66.44,66.46,63.38,64.15,5096600,-2.29,-3.45,65.1075
2020-09-14,SPG,65.0,67.93,64.53,67.8,3529138,2.8,4.31,66.315
2020-09-15,SPG,68.03,71.83,67.69,71.07,6836300,3.04,4.47,69.655
2020-09-16,SPG,71.03,75.2,70.04,74.12,8908450,3.09,4.35,72.5975
2020-09-17,SPG,71.47,74.24,70.88,71.88,4973249,0.41,0.57367,72.1175
2020-09-18,SPG,71.44,71.9,69.59,69.83,5821500,-1.61,-2.25,70.69
2020-09-21,SPG,67.07,67.22,64.35,64.87,7010300,-2.2,-3.28,65.8775
2020-09-22,SPG,65.02,67.07,64.75,65.11,6154600,0.09,0.13842,65.4875
2020-09-23,SPG,65.58,66.8,62.72,62.89,4440638,-2.69,-4.1,64.4975
2020-09-24,SPG,62.05,64.16,59.6,62.83,5337512,0.78,1.26,62.16
2020-09-25,SPG,62.0,63.93,62.0,63.58,2601536,1.58,2.55,62.8775
2020-09-28,SPG,65.8,66.54,64.8,65.79,3771800,-0.01,-0.01519757,65.7325
2020-09-29,SPG,65.33,65.34,62.9,63.99,3822458,-1.34,-2.05,64.39
2020-09-30,SPG,64.15,66.12,63.7,64.68,4188200,0.53,0.82619,64.6625
2020-10-01,SPG,64.84,66.56,64.25,66.53,3426200,1.69,2.61,65.545
2020-10-02,SPG,64.13,68.5,64.05,68.2,5346800,4.07,6.35,66.22
2020-10-05,SPG,68.71,69.33,67.42,68.76,3688200,0.05,0.07276961,68.555
2020-10-06,SPG,69.75,72.63,69.01,69.98,6512200,0.23,0.32975,70.3425
2020-10-07,SPG,70.32,72.16,69.8,71.03,4167237,0.71,1.01,70.8275
2020-10-08,SPG,70.83,71.23,69.4,70.07,3721747,-0.76,-1.07,70.3825
2020-10-09,SPG,70.14,70.35,67.51,67.72,3825443,-2.42,-3.45,68.93
2020-10-12,SPG,67.64,68.11,66.7,68.02,3040832,0.38,0.5618,67.6175
2020-10-13,SPG,66.97,67.33,65.47,65.82,3705400,-1.15,-1.72,66.3975
2020-10-14,SPG,65.89,66.54,65.26,65.72,2769079,-0.17,-0.25801,65.8525
2020-10-15,SPG,64.71,66.52,64.59,65.12,2903706,0.41,0.6336,65.235
2020-10-16,SPG,65.53,65.7,64.15,64.82,3941223,-0.71,-1.08,65.05
2020-10-19,SPG,65.0,65.35,63.84,63.91,3587426,-1.09,-1.68,64.525
2020-10-20,SPG,64.89,66.08,64.43,64.46,2904864,-0.43,-0.66266,64.965
2020-10-21,SPG,64.12,65.01,63.34,64.21,3137912,0.09,0.14036,64.17
2020-10-22,SPG,64.01,66.54,63.9,66.35,2904606,2.34,3.66,65.2
2020-10-23,SPG,66.75,67.8,65.92,66.88,3194500,0.13,0.19476,66.8375
2020-10-26,SPG,66.01,66.1,63.87,64.68,3852700,-1.33,-2.01,65.165
2020-10-27,SPG,64.11,64.58,61.95,61.98,3795001,-2.13,-3.32,63.155
2020-10-28,SPG,60.27,61.63,59.35,60.76,6595638,0.49,0.81301,60.5025
2020-10-29,SPG,60.69,64.11,60.17,63.41,5851500,2.72,4.48,62.095
2020-10-30,SPG,62.98,63.62,60.83,62.81,3705072,-0.17,-0.26993,62.56
2020-11-02,SPG,62.96,64.88,62.59,64.71,3666044,1.75,2.78,63.785
2020-11-03,SPG,65.6,66.0,64.4,64.99,3552638,-0.61,-0.92988,65.2475
2020-11-04,SPG,64.9,64.91,62.12,62.28,4431700,-2.62,-4.04,63.5525
