date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,SPGI,1985,Q3,USD,2152959840.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1985-12-31,SPGI,1985,Q4,USD,2419056000.0,2287056000.0,5.46358337314859,0.0,0.0,-2.8207400098667983,0.1628021706956093,1.664191616766467,0.0,0.0,-0.02188870369268012,0.0,0.0,277300000.0,747300000.0,0.0,0.0,0.0,0.0,,-0.946753853339561,0.0,,0.0,0.0,,0.0,0.0,,0.19381427113588193,,,,75.83134257047301,0.0,0.0,75.83134257047301,75.83134257047301,,,529600000.0,197400000.0,Financial Services
1986-03-31,SPGI,1986,Q1,USD,3012860160.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1986-06-30,SPGI,1986,Q2,USD,3019015440.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1986-09-30,SPGI,1986,Q3,USD,2728026000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1986-12-31,SPGI,1986,Q4,USD,2760358160.0,2763158160.0,6.1829450883866635,0.0,0.0,-3.2473359501704078,-0.0032906334469385355,1.4879064234734338,0.0,0.0,-0.2818246600289,0.0,0.0,246100000.0,837800000.0,0.0,0.0,0.0,0.0,,-0.8878338898163606,0.0,,0.0,0.0,,0.0,0.0,,0.24234345091605142,,,,86.15350190199149,0.0,0.0,86.15350190199149,86.15350190199149,,,506800000.0,149000000.0,Financial Services
1987-03-31,SPGI,1987,Q1,USD,3258303360.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1987-06-30,SPGI,1987,Q2,USD,3468516480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1987-09-30,SPGI,1987,Q3,USD,3965751360.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1987-12-31,SPGI,1987,Q4,USD,2437663680.0,2572563680.0,5.158539562863445,0.0,0.0,-2.6135971553388195,-0.13705171187646042,1.1727810650887573,0.0,0.0,-0.7335698171455711,0.0,0.0,116800000.0,777400000.0,0.0,0.0,0.0,0.0,,-1.023606489184692,0.0,,0.0,0.0,,0.0,0.0,,0.25280898876404495,,,,83.3406857830359,0.0,0.0,83.3406857830359,83.3406857830359,,,411200000.0,-19600000.0,Financial Services
1988-03-31,SPGI,1988,Q1,USD,2596218640.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
1988-06-30,SPGI,1988,Q2,USD,2785244960.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
