date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1990-06-30,STE,1991,Q1,USD,27465980.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.003640867720722144,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,Healthcare
1990-09-30,STE,1991,Q2,USD,27465980.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.003640867720722144,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1990-12-31,STE,1991,Q3,USD,27465980.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1991-03-31,STE,1991,Q4,USD,27465980.0,27865980.0,12.666354545454546,0.0,0.0,-4.354059375,-0.0625,1.44,0.0,0.0,-0.045001125028125706,0.0,0.0,1100000.0,1900000.0,0.0,0.0,0.0,0.0,,-3.3684210526315788,0.0,,0.0,0.0,,0.0,0.0,,0.06818181818181818,,,,73.63636363636364,0.0,0.0,73.63636363636364,73.63636363636364,,,1200000.0,700000.0,Healthcare
1991-06-30,STE,1992,Q1,USD,41200000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048543689320388345,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,Healthcare
1991-09-30,STE,1992,Q2,USD,41200000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048543689320388345,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1991-12-31,STE,1992,Q3,USD,27465980.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.003640867720722144,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1992-03-31,STE,1992,Q4,USD,27465980.0,26465980.0,5.631059574468085,0.0,0.0,-3.227558536585366,0.12195121951219512,2.4074074074074074,0.0,0.0,0.12750318757968948,0.0,0.0,3800000.0,5200000.0,0.0,0.0,0.0,0.0,,-1.5471698113207548,0.0,,0.0,0.0,,0.0,0.0,,0.05,,,,68.93617021276596,0.0,0.0,68.93617021276596,68.93617021276596,,,4900000.0,3800000.0,Healthcare
1992-06-30,STE,1993,Q1,USD,72691080.0,59091080.0,11.818216,84.41582857142858,147.7277,196.97026666666667,-45.333333333333336,5.128205128205129,3.5,0.28361144236640745,0.42980170331765605,0.0,0.0,16100000.0,17700000.0,0.009259259259259259,0.013513513513513514,0.009433962264150943,0.011299435028248588,,0.011299435028248588,0.0027513692188917815,0.005502738437783563,0.42857142857142855,3.0,0.06,0.0,0.0,0.0,0.018518518518518517,3650000.0,2100000.0,1750000.0,66.6,117.0,94.5,161.1,44.099999999999994,14000000.0,,17300000.0,16100000.0,Healthcare
1992-09-30,STE,1993,Q2,USD,92515920.0,80815920.0,13.034825806451613,-50.50995,-42.534694736842106,202.0398,-29.25,5.909090909090909,-4.0,0.4044719099198505,0.421857124698106,1.3333333333333333,1.0,16200000.0,18000000.0,0.018779342723004695,0.013986013986013986,0.019138755980861243,0.022222222222222223,0.027777777777777776,0.016666666666666666,0.004323580201115657,-0.020537005955299368,-0.1875,3.0,0.04838709677419355,0.0,0.0,0.0,0.018779342723004695,4400000.0,2150000.0,2100000.0,74.03225806451613,58.84615384615384,72.6923076923077,146.72456575682384,87.87841191067,9800000.0,200000.0,17600000.0,16200000.0,Healthcare
1992-12-31,STE,1993,Q3,USD,139920480.0,127820480.0,18.797129411764708,255.64096,319.5512,159.7756,-15.125,6.862068965517241,0.625,0.543786578461067,0.44203857791225415,0.875,1.1428571428571428,17000000.0,18800000.0,0.03211009174311927,0.03248259860788863,0.03271028037383177,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.005002841614036773,0.0028587666365924415,0.2,1.0,0.014705882352941176,0.0,0.0,0.0,0.01834862385321101,5100000.0,1550000.0,2050000.0,67.5,46.666666666666664,66.66666666666667,134.16666666666669,87.50000000000003,12500000.0,-100000.0,18500000.0,17000000.0,Healthcare
1993-03-31,STE,1993,Q4,USD,128815679.99999999,108915679.99999999,12.376781818181817,99.01425454545453,136.14459999999997,83.7812923076923,-15.307692307692308,7.2,1.0,0.8132443313927699,0.6831505295007564,0.8461538461538461,1.0833333333333333,24800000.0,26800000.0,0.03559870550161812,0.04554079696394687,0.036065573770491806,0.040892193308550186,0.03774663997712325,0.04460966542750929,0.008539333099821389,0.006210424072597374,0.2727272727272727,3.0,0.03409090909090909,0.0,0.0,0.0,0.012944983818770227,5800000.0,1750000.0,1900000.0,66.47727272727272,55.588235294117645,47.647058823529406,114.12433155080213,58.53609625668448,20700000.0,-6984615.384615384,26500000.0,24800000.0,Healthcare
1993-06-30,STE,1994,Q1,USD,155696640.0,134996640.0,14.834795604395604,168.7458,269.99328,84.3729,-12.9375,8.514285714285714,0.8,1.1191781164647079,0.6699566541705717,1.375,1.0666666666666667,26300000.0,28500000.0,0.06666666666666667,0.046948356807511735,0.06769230769230769,0.07457627118644068,0.03177966101694915,0.05084745762711865,0.014130041598842466,0.0032113730906460154,0.375,3.0,0.03296703296703297,0.0,0.0,0.0,0.015151515151515152,6400000.0,1850000.0,1850000.0,62.30769230769231,40.0,47.5,109.8076923076923,69.8076923076923,21200000.0,-762500.0,29000000.0,26300000.0,Healthcare
1993-09-30,STE,1994,Q2,USD,167989120.0,147889120.0,14.084678095238095,1478.8912,-184.8614,77.83637894736842,-10.578947368421053,7.585365853658536,0.09090909090909091,0.8020503391710577,0.6616023704392284,0.6111111111111112,1.0588235294117647,27000000.0,29900000.0,0.03151862464183381,0.050073637702503684,0.03197674418604651,0.03571428571428571,0.033730158730158735,0.05519480519480519,0.006548043111363403,-0.004762213171900656,9.0,4.5,0.08571428571428572,0.0,0.0,0.0,0.014326647564469915,7000000.0,1800000.0,1950000.0,66.0,43.90243902439025,43.90243902439025,109.90243902439025,66.0,19300000.0,-361111.111111111,30300000.0,27000000.0,Healthcare
1993-12-31,STE,1994,Q3,USD,161579880.0,141479880.0,11.78999,83.22345882352941,141.47988,61.51299130434783,-8.73913043478261,5.467741935483871,1.2142857142857142,0.9244188106645916,0.6509056078021596,0.6086956521739131,1.0952380952380953,27700000.0,31400000.0,0.036458333333333336,0.0572987721691678,0.036939313984168866,0.043478260869565216,0.03969754253308129,0.06521739130434782,0.00866444510294227,0.00618888935924448,0.4117647058823529,7.0,0.058333333333333334,0.0,0.0,0.0,0.013020833333333334,8500000.0,2400000.0,2550000.0,69.75,57.27272727272727,63.40909090909091,133.1590909090909,75.88636363636363,21100000.0,-21739.130434782477,31700000.0,27700000.0,Healthcare
