date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,STE,159.08,161.46,158.13,161.13,344600,2.05,1.29,159.95
2020-07-31,STE,160.22,160.65,157.28,159.63,416500,-0.59,-0.36824,159.445
2020-08-03,STE,159.94,162.9,159.94,161.07,478400,1.13,0.70651,160.9625
2020-08-04,STE,161.58,164.12,157.3,158.0,612144,-3.58,-2.22,160.25
2020-08-05,STE,159.7,159.91,157.12,157.67,355447,-2.03,-1.27,158.6
2020-08-06,STE,157.65,157.65,154.65,155.98,421049,-1.67,-1.06,156.4825
2020-08-07,STE,155.9,157.14,152.37,154.22,498700,-1.68,-1.08,154.9075
2020-08-10,STE,154.1,156.9,153.52,155.88,568500,1.78,1.16,155.1
2020-08-11,STE,156.71,160.26,156.24,158.72,566600,2.01,1.28,157.9825
2020-08-12,STE,159.33,160.97,158.78,160.51,346536,1.18,0.7406,159.8975
2020-08-13,STE,159.53,160.33,158.62,159.2,243800,-0.33,-0.20686,159.42
2020-08-14,STE,158.15,159.9,158.05,158.7,245284,0.55,0.34777,158.7
2020-08-17,STE,158.7,160.69,157.66,158.11,253234,-0.59,-0.37177,158.79
2020-08-18,STE,158.71,159.62,155.88,157.75,291748,-0.96,-0.60488,157.99
2020-08-19,STE,157.94,157.94,156.27,156.96,367200,-0.98,-0.62049,157.2775
2020-08-20,STE,156.14,156.97,154.59,154.66,241823,-1.48,-0.94787,155.59
2020-08-21,STE,154.91,155.0,152.39,153.46,362700,-1.45,-0.93603,153.94
2020-08-24,STE,153.84,154.87,151.87,153.12,302600,-0.72,-0.46802,153.425
2020-08-25,STE,154.3,155.21,153.75,154.59,300611,0.29,0.18795,154.4625
2020-08-26,STE,153.68,154.61,151.79,154.27,325548,0.59,0.38391,153.5875
2020-08-27,STE,154.27,157.71,153.8,156.93,332242,2.66,1.72,155.6775
2020-08-28,STE,157.75,158.58,155.63,157.64,251900,-0.11,-0.06973059,157.4
2020-08-31,STE,157.84,160.4,157.6,159.64,395400,1.8,1.14,158.87
2020-09-01,STE,158.85,160.23,157.7,158.77,371728,-0.08,-0.05036198,158.8875
2020-09-02,STE,160.25,164.16,159.2,163.55,396520,3.3,2.06,161.79
2020-09-03,STE,163.55,163.55,158.47,160.48,371200,-3.07,-1.88,161.5125
2020-09-04,STE,161.69,162.15,156.97,157.92,317401,-3.77,-2.33,159.6825
2020-09-08,STE,157.1,159.59,155.99,159.02,611939,1.92,1.22,157.925
2020-09-09,STE,160.14,163.74,160.14,163.02,581300,2.88,1.8,161.76
2020-09-10,STE,163.6,165.32,161.25,162.09,604049,-1.51,-0.92298,163.065
2020-09-11,STE,162.9,164.41,161.62,162.28,552223,-0.62,-0.3806,162.8025
2020-09-14,STE,163.67,167.85,163.58,167.17,446500,3.5,2.14,165.5675
2020-09-15,STE,167.17,170.71,166.97,169.64,636621,2.47,1.48,168.6225
2020-09-16,STE,170.63,171.71,169.36,170.16,584615,-0.47,-0.27545,170.465
2020-09-17,STE,169.17,171.89,168.02,171.51,464700,2.34,1.38,170.1475
2020-09-18,STE,171.93,176.06,171.25,175.91,1054700,3.98,2.31,173.7875
2020-09-21,STE,173.95,173.95,168.55,172.05,744644,-1.9,-1.09,172.125
2020-09-22,STE,171.79,172.21,166.5,169.59,500600,-2.2,-1.28,170.0225
2020-09-23,STE,169.77,170.44,165.19,165.67,407100,-4.1,-2.42,167.7675
2020-09-24,STE,165.28,168.44,164.19,167.26,402700,1.98,1.2,166.2925
2020-09-25,STE,166.14,170.67,165.76,170.21,537800,4.07,2.45,168.195
2020-09-28,STE,172.97,175.37,172.47,172.96,449079,-0.01,-0.00578135,173.4425
2020-09-29,STE,173.47,174.73,172.18,172.82,420932,-0.65,-0.3747,173.3
2020-09-30,STE,173.0,177.75,173.0,176.19,537612,3.19,1.84,174.985
2020-10-01,STE,177.11,178.76,173.22,174.47,476034,-2.64,-1.49,175.89
2020-10-02,STE,172.04,174.18,171.35,172.67,491200,0.63,0.36619,172.56
2020-10-05,STE,173.43,175.02,173.19,174.72,426500,1.29,0.74382,174.09
2020-10-06,STE,176.19,184.99,176.03,181.01,693500,4.82,2.74,179.555
2020-10-07,STE,182.68,186.02,181.38,185.29,473600,2.61,1.43,183.8425
2020-10-08,STE,187.0,187.0,185.92,186.75,306100,-0.25,-0.13369,186.6675
2020-10-09,STE,187.57,189.35,186.6,188.45,550400,0.88,0.46916,187.9925
2020-10-12,STE,189.2,192.97,188.44,191.82,335000,2.62,1.38,190.6075
2020-10-13,STE,190.63,191.19,187.36,187.68,343633,-2.95,-1.55,189.215
2020-10-14,STE,187.92,190.82,185.61,186.58,361200,-1.34,-0.71307,187.7325
2020-10-15,STE,185.51,188.42,184.33,187.33,309142,1.82,0.98108,186.3975
2020-10-16,STE,187.52,190.57,187.52,188.88,236047,1.36,0.72526,188.6225
2020-10-19,STE,189.34,191.52,186.08,186.43,203929,-2.91,-1.54,188.3425
2020-10-20,STE,186.87,189.25,185.86,186.34,183142,-0.53,-0.28362,187.08
2020-10-21,STE,186.23,187.56,185.66,185.95,181200,-0.28,-0.15035,186.35
2020-10-22,STE,186.59,189.58,186.12,188.19,216400,1.6,0.8575,187.62
