date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,STT,1985,Q3,USD,501132690.96,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02673942499007629,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1985-12-31,STT,1985,Q4,USD,684917612.94,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021462435367810794,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1986-03-31,STT,1986,Q1,USD,826367820.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019603861147448845,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1986-06-30,STT,1986,Q2,USD,984343783.4499999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01645766476344378,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1986-09-30,STT,1986,Q3,USD,757411036.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.022840966361931656,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1986-12-31,STT,1986,Q4,USD,819421901.88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02648208444296361,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1987-03-31,STT,1987,Q1,USD,1162473348.6000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.017118672031463035,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1987-06-30,STT,1987,Q2,USD,1062391449.42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01882545271888132,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1987-09-30,STT,1987,Q3,USD,1098758718.72,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018930452742373666,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1987-12-31,STT,1987,Q4,USD,745259837.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.030056631087409164,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1988-03-31,STT,1988,Q1,USD,862013411.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02494160731219955,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1988-06-30,STT,1988,Q2,USD,891086446.0799999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.025586743127224112,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1988-09-30,STT,1988,Q3,USD,951340830.21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.025017322124970043,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1988-12-31,STT,1988,Q4,USD,927435318.09,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026093463908446485,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1989-03-31,STT,1989,Q1,USD,983769385.28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.024395961451035734,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,,,,Financial Services
1989-06-30,STT,1989,Q2,USD,1121964704.08,-344235295.9200001,-1.2839809620290938,0.0,0.0,-8.849236398971724,-37.69151670951157,8.916160388821385,0.0,1.8976785150572335,-18.6966717167818,0.6401028277634961,1,1954500000.0,2128600000.0,0.0030414442585105475,0.0,0.0030414442585105475,0.04514140681653372,0.005214768895683679,0.004899244332493702,0.022193211523902398,,0.0,0.0,,0.24319283849309958,0,,0.0,,,,57.90749720253636,0,0.0,57.90749720253636,57.90749720253636,,,551600000.0,-5433900000.0,Financial Services
1989-09-30,STT,1989,Q3,USD,1355684209.02,-335415790.98,-1.2126384344902388,14.907368488000001,10.785073664951769,-7.031777588679246,-35.45283018867924,11.887456618740703,-0.8333333333333334,2.0782720209182406,-18.42243520565456,0.6323185011709602,1,2196000000.0,2372500000.0,0.003308701885960075,0.005224136243515709,0.003308701885960075,0.047013755876719486,0.005320197044334975,0.005365265247656623,0.01991614257978104,-0.02294044571226631,-0.38222222222222224,1.72,0.03109182935647144,0.24439624005784527,0,0.0,0.0,181350000.0,0.0,0.0,61.88720173535791,0,0.0,61.88720173535791,61.88720173535791,1660000000.0,-218100000.0,574300000.0,-5188300000.0,Financial Services
1989-12-31,STT,1989,Q4,USD,1403999998.44,-1235300001.56,-4.138358464187604,-17.038620711172413,-18.520239903448275,-13.254291862231758,-28.318669527896997,9.488365412237863,2.5892857142857144,2.1581916894417277,-21.579513912866126,0.639269406392694,1,2954800000.0,3130500000.0,0.002804768105779826,0.00482822860229396,0.002804768105779826,0.04688546550569324,0.004580252568213047,0.00454597349220023,0.019943019965178853,0.047507122559908195,0.08,0.11740890688259109,0.019430485762144054,0.22981574539363483,0,0.0,0.0,195550000.0,0.0,0.0,60.572864321608044,0,0.0,60.572864321608044,60.572864321608044,2706000000.0,-687200000.0,597200000.0,-6082900000.0,Financial Services
1990-03-31,STT,1990,Q1,USD,1365473685.2,-1233726314.8,-4.062319113598946,-41.53960655892256,-154.21578935,-21.0174840681431,-44.2793867120954,10.574055829228243,1.076086956521739,2.1359505238013177,-22.671612302411877,0.6388888888888888,1,2915300000.0,3106000000.0,0.0026599333089184865,0.004243781681009077,0.0026599333089184865,0.04450895016932753,0.004336486189234201,0.004289246105424109,0.020212765942799873,0.005858772737043443,0.7306397306397306,1.4,0.07145209087915706,0.23575897267039841,0,0.0,0.0,201250000.0,0.0,0.0,59.743167599604874,0,0.0,59.743167599604874,59.743167599604874,2607200000.0,60900000.0,620100000.0,-6536300000.0,Financial Services
1990-06-30,STT,1990,Q2,USD,1447800000.0,-1945500000.0,-6.028819336845367,-100.80310880829016,3891.0,-31.685667752442995,-55.26547231270359,10.134814814814815,0.6771929824561403,2.253068083630338,-19.67201754385965,0.6492027334851936,1,3699600000.0,3902200000.0,0.002765352558193691,0.004245175826673049,0.002765352558193691,0.04432348367029549,0.003926322895284279,0.004433850784256295,0.01968503937007874,-0.00034535156789611824,1.0259067357512954,1.1314285714285715,0.06135729779981407,0.23396343352959406,0,0.0,0.0,196850000.0,0.0,0.0,53.57607685156492,0,0.0,53.57607685156492,53.57607685156492,3392800000.0,-758100000.0,643000000.0,-5558500000.0,Financial Services
1990-09-30,STT,1990,Q3,USD,1076400000.8999999,-2914299999.1000004,-8.627294254292481,-62.538626590128764,-95.23856206209152,-40.141873265840225,-54.96831955922865,12.297531512605042,1.5585284280936456,2.3537924797139533,-22.091438108619197,0.6294736842105263,1,4302100000.0,4512300000.0,0.0025793428283054838,0.004338256112374533,0.0025793428283054838,0.04477388439652591,0.003849124613800206,0.004236796803225317,0.027777777754552212,0.028428093621715646,0.34334763948497854,0.6374501992031872,0.047365304914150384,0.22232089994079338,0,0.0,0.0,194850000.0,0.0,0.0,52.64653641207815,0,0.0,52.64653641207815,52.64653641207815,4021300000.0,-563500000.0,667800000.0,-6241400000.0,Financial Services
1990-12-31,STT,1990,Q4,USD,1241561905.8000002,-2631938094.2,-7.391008408312271,-29.8744392077185,-34.53987000262467,-32.940401679599496,-48.479349186483105,12.587942477876107,2.8146964856230032,2.4570001470147083,-22.66832355964187,0.6413934426229508,1,4190200000.0,4402900000.0,0.0026864877391446153,0.004199113711655122,0.0026864877391446153,0.045029492159401524,0.004053511532434568,0.004322677225337267,0.02521018070366121,0.06137430573862569,0.13507377979568672,0.38263665594855306,0.03341757933164841,0.2184779556304409,0,0.0,0.0,200950000.0,0.0,0.0,51.63437236731256,0,0.0,51.63437236731256,51.63437236731256,3949700000.0,162400000.0,695100000.0,-6404000000.0,Financial Services
1991-03-31,STT,1991,Q1,USD,1621794872.5,-1779205127.5,-4.70564699153663,-14.313798290426387,-25.711056755780348,-17.685935661033795,-33.807157057654074,20.449090014756518,2.161739130434783,3.3352361873051417,-20.65202607797738,0.594622543950362,1,3954000000.0,4213000000.0,0.0052540204678362575,0.00855945368202559,0.0052540204678362575,0.07691278758694489,0.007532191933349926,0.00900313759810813,0.03545454543913043,0.04266877468500567,0.4432823813354787,14.128205128205128,0.1457286432160804,0.21422903993652473,0,0.0,0.0,203350000.0,0.0,0.0,48.17773075905845,0,0.0,48.17773075905845,48.17773075905845,3470200000.0,242500000.0,747600000.0,-6039100000.0,Financial Services
1991-06-30,STT,1991,Q2,USD,1674433332.0600002,-2533266667.9399996,-7.9263662951814755,-55.676190504175814,-82.78649241633985,-48.344783739312966,-80.29961832061069,20.201537838931607,1.7300380228136882,2.310392911900062,-20.5827946924584,0.6217494089834515,1,4744700000.0,5008900000.0,0.002242095122803727,0.003731129350227793,0.002242095122803727,0.03414254186680514,0.0031078653809793913,0.0036837063485151964,0.015706806294666854,0.01827483926299641,0.3274725274725275,1.4752475247524752,0.046620775969962454,0.2615769712140175,0,0.0,0.0,194700000.0,0.0,0.0,52.65957446808511,0,0.0,52.65957446808511,52.65957446808511,4238300000.0,-769200000.0,770300000.0,-5968000000.0,Financial Services
1991-09-30,STT,1991,Q3,USD,1997210525.95,-2316589474.05,-7.212295996419677,16.05398110914761,12.992649882501404,-20.776587211210764,-38.68878923766816,9.480138483965014,-5.305147058823529,2.427147288114557,-25.679578759281974,0.65311004784689,1,4653900000.0,4941800000.0,0.0020485652539320447,0.0033364596013010597,0.0020485652539320447,0.03446969696969697,0.0031202139575285163,0.0032713498622589533,0.01366906475070493,-0.08927451447072121,-0.23562023562023562,0.4878048780487805,0.10585305105853052,0.26214196762141967,0,0.0,0.0,189100000.0,0.0,0.0,53.57409713574097,0,0.0,53.57409713574097,53.57409713574097,4135500000.0,153800000.0,792000000.0,-7331700000.0,Financial Services
1991-12-31,STT,1991,Q4,USD,2307568420.6299996,-1905631579.3700004,-5.621332092536874,-27.458668290634012,-29.729041799843998,-112.75926505147932,-249.301775147929,10.369306524415265,2.452296819787986,2.5092857652761165,-32.109652020532906,0.6373873873873874,1,4566600000.0,4886100000.0,0.0018808610754803507,0.0031297691090379134,0.0018808610754803507,0.034655890276757285,0.003187906232750949,0.0030496809511707614,0.012263991718292663,0.027778157920231795,0.07636887608069164,-0.19272727272727272,0.015634218289085546,0.25958702064896755,0,0.0,0.0,198800000.0,0.0,0.0,54.796460176991154,0,0.0,54.796460176991154,54.796460176991154,4277300000.0,82800000.0,816600000.0,-9175700000.0,Financial Services
1992-03-31,STT,1992,Q1,USD,2422383336.0099998,-2932116663.9900002,-8.389461127296139,-16.21745942472345,-18.5812209378327,-38.78461195753969,-70.82671957671958,39.27872062663185,4.994475138121547,2.753177969824124,-28.464530355287813,0.6013289036544851,1,5864300000.0,6197400000.0,0.002342860101480791,0.003947864579063857,0.002342860101480791,0.04274412563466761,0.003606835052059981,0.003935154922212054,0.01494396013292694,0.06514245604905722,0.12721238938053098,1.4935064935064934,0.06580829756795423,0.2729613733905579,0,0.0,0.0,103200000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5512300000.0,-1269100000.0,846900000.0,-8586800000.0,Financial Services
1992-06-30,STT,1992,Q2,USD,2661369233.52,-354830766.48,-1.0046171191392979,-3.5769230491935486,-5.011733989830509,-5.816897811147541,-49.445901639344264,1.9175038797680306,2.5633074935400515,2.942666285160551,-30.698223482482458,0.6344262295081967,1,3369900000.0,3721400000.0,0.0022750119041320565,0.0037582288268473082,0.0022750119041320565,0.0439124021332123,0.0027615636015927156,0.004573399310241416,0.014541387009578645,0.02660284755240744,0.2862903225806452,0.0,0.08040770101925254,0.27916194790486976,0,0.0,0.0,103650000.0,0.0,0.0,52.822763306908264,0,0.0,52.822763306908264,52.822763306908264,3087000000.0,2504700000.0,881300000.0,-9086800000.0,Financial Services
1992-09-30,STT,1992,Q3,USD,2759414283.0800004,-3413385716.9199996,-9.444896837078028,-432.0741413822784,95.88162126179775,-50.196848778235285,-90.7764705882353,33.524262131065534,0.18854415274463007,3.111422488051433,-30.363210052852708,0.6161764705882353,1,6501600000.0,6884600000.0,0.00251456829243409,0.004038748225623482,0.00251456829243409,0.04555338116981952,0.0030414773304684893,0.004130474397132965,0.015184381793237695,-0.012901288588049209,5.506329113924051,0.0,0.12036524626452684,0.2971776425013835,0,0.0,0.0,195000000.0,0.0,0.0,45.49806308799115,0,0.0,45.49806308799115,45.49806308799115,6137200000.0,-3133300000.0,919800000.0,-9041600000.0,Financial Services
1992-12-31,STT,1992,Q4,USD,3274185711.16,-2196314288.84,-6.21833037610419,-40.82368566617101,645.9747908352941,-32.683248345833334,-81.40625,46.697037037037035,1.2339449541284404,3.2308571140127773,-31.029546569001955,0.6488095238095238,1,6169100000.0,6581900000.0,0.002644058751470606,0.004053968455057959,0.002644058751470606,0.04574546217605708,0.003973099564417066,0.004108885464817668,0.013316288031980053,-0.0010384261309342242,1.063197026022305,0.0,0.16194790486976218,0.30719139297848247,0,0.0,0.0,199550000.0,0.0,0.0,55.14156285390713,0,0.0,55.14156285390713,55.14156285390713,5467100000.0,318900000.0,953100000.0,-9232600000.0,Financial Services
1993-03-31,STT,1993,Q1,USD,3394650000.0,-1780750000.0,-4.982512590934527,-41.99882075471698,-111.296875,-27.608527131782946,-80.23875968992247,61.57028913260219,0.9929742388758782,3.2021099601233733,-34.62614754098361,0.662015503875969,1,6075200000.0,6495600000.0,0.0024154999292886436,0.0037755397704823035,0.0024154999292886436,0.043009669621273165,0.0038838307122781805,0.0036695264319686867,0.012578616352201259,0.004713298867335366,0.6226415094339622,0.0,0.07386681589255736,0.31169557918298824,0,0.0,0.0,211750000.0,0.0,0.0,52.151650811415784,0,0.0,52.151650811415784,52.151650811415784,5191400000.0,110200000.0,992800000.0,-10509200000.0,Financial Services
1993-06-30,STT,1993,Q2,USD,2466868961.52,-3440631038.48,-9.123922138636967,162.29391690943396,56.31147362487725,-51.89488745822021,-89.1025641025641,30.078729882557635,-0.49074074074074076,3.3527167598598147,-34.52896417632008,0.6515837104072398,1,6685200000.0,7124200000.0,0.00237757157481095,0.003699023357407671,0.00237757157481095,0.0420847540185095,0.0035252643948296123,0.0036956727740957308,0.017512077323062043,-0.024768238991645618,-1.8820754716981132,0.0,0.10580747812251393,0.3068151683903474,0,0.0,0.0,221650000.0,0.0,0.0,56.372315035799524,0,0.0,56.372315035799524,56.372315035799524,5846400000.0,-606700000.0,1026500000.0,-10228200000.0,Financial Services
1993-09-30,STT,1993,Q3,USD,2661503222.07,-2063296777.9299998,-5.315035491834106,-60.33031514415204,-221.85986859462363,-28.187114452595626,-64.5464480874317,15.155670867309118,0.7402597402597403,3.524381125657864,-40.72917932283794,0.6325136612021858,1,5728800000.0,6171100000.0,0.0023989885905553424,0.003907167410380682,0.0023989885905553424,0.04351912773756932,0.003894618192829865,0.00387402024863589,0.017396184087273017,0.0034942659181779493,0.7280701754385965,0.0,0.06414219474497682,0.31452859350850076,0,0.0,0.0,245700000.0,0.0,0.0,59.16537867078826,0,0.0,59.16537867078826,59.16537867078826,4734100000.0,977800000.0,1063900000.0,-12102400000.0,Financial Services
1993-12-31,STT,1993,Q4,USD,2801896770.26,-3067503229.74,-7.489021556982421,-17.782627418782607,-20.824869176782077,-41.678033012771735,-79.74728260869566,14.699978691668443,3.6163522012578615,3.6457114761667793,-36.1108990787734,0.6480978260869565,1,6429400000.0,6874500000.0,0.002548063311627609,0.0038716566850517755,0.002548063311627609,0.04316742081447964,0.003612432219563176,0.004032699936441142,0.01702418179937932,0.052571529959089605,0.14608695652173914,0.0,0.0615234375,0.317626953125,0,0.0,0.0,268150000.0,0.0,0.0,61.76513671875,0,0.0,61.76513671875,61.76513671875,6016700000.0,-678100000.0,1105000000.0,-10716400000.0,Financial Services
1994-03-31,STT,1994,Q1,USD,2715882354.0,-3708217646.0,-8.41438086226458,4.92524591047948,4.768185220522052,-45.667705,-79.11453201970443,0.0,-14.676413255360623,3.805980979560387,-44.29817249734964,0.6317733990147784,1,7935900000.0,8383600000.0,0.0022932806430126466,0.003952319067019066,0.0022932806430126466,0.04488974448722436,0.003209861093730446,0.003629910101610661,0.0188888888815248,-0.2863526098082229,-0.032939301368043565,0.0,0.0562741093714545,0.3163149534830951,0,0.0,0.0,293800000.0,0.0,0.0,62.5936010891763,0,0.0,62.5936010891763,62.5936010891763,5646400000.0,-1480000000.0,1142800000.0,-13291000000.0,Financial Services
1994-06-30,STT,1994,Q2,USD,2985818180.94,-2245181819.06,-5.071564985452903,-6.994335884922118,-7.964461933522525,-28.601042281019108,-66.63694267515923,0.0,6.294117647058823,3.762632107444859,-46.16214707240063,0.6496815286624203,1,6415200000.0,6878300000.0,0.002341845098426372,0.0035562683193121228,0.002341845098426372,0.04326800712649529,0.0035515567657156393,0.003604604710322945,0.017080745346638657,0.09441298261210661,0.12180685358255451,0.0,0.08832166252541224,0.31443415405466457,0,0.0,0.0,322250000.0,0.0,0.0,68.71470521798057,0,0.0,68.71470521798057,68.71470521798057,5512900000.0,1532600000.0,1178700000.0,-14183800000.0,Financial Services
1994-09-30,STT,1994,Q3,USD,2781964702.6600003,-2715735297.3399997,-5.6625006199749786,-4.968414374935967,-5.295895665639625,-34.160192419371064,-69.15345911949686,0.3199704986676818,10.552123552123552,3.904256109542918,-47.586872641992514,0.6515723270440251,1,-14291500000.0,-13818400000.0,0.002316802633462144,0.003602493197178727,0.002316802633462144,0.04265832166680392,-0.01007880143982878,0.059222288438617404,0.018619934304152375,0.1843301604472845,0.061836809366995975,0.0,0.07047539616346955,0.30045871559633025,0,0.0,0.0,329800000.0,0.0,0.0,60.350291909924934,0,0.0,60.350291909924934,60.350291909924934,6010500000.0,20724700000.0,1214300000.0,-14419600000.0,Financial Services
1994-12-31,STT,1994,Q4,USD,2356290908.44,-2718709091.56,-5.200285178959449,21.71492884632588,17.874484494148586,-33.56430977234568,-62.65432098765432,0.0,-2.348968105065666,3.692503520512039,-43.71208564743428,0.6580246913580247,1,6201400000.0,6676100000.0,0.002452886628776548,0.0036744775777480896,0.002452886628776548,0.04328758223016324,0.003276632629851169,0.0037276513495478497,0.022620296928993228,-0.06455060343151726,-0.21485623003194887,0.0,0.051453710788064266,0.28385615914307577,0,0.0,0.0,335300000.0,0.0,0.0,60.080336648814075,0,0.0,60.080336648814075,60.080336648814075,4922900000.0,-20466500000.0,1230500000.0,-14297600000.0,Financial Services
1995-03-31,STT,1995,Q1,USD,2622854544.73,-2948745455.27,-5.078789967740269,-9.671188767694327,-10.905123725110947,-34.569114364243845,-65.31770222743259,0.30877727272727273,5.615101289134438,3.9947730880979058,-46.8600759797956,0.6365767878077374,1,-15206900000.0,-14721400000.0,0.00230650621652274,0.003768366923192465,0.00230650621652274,0.038385409302983176,-0.009726476436133055,0.05531418195966539,0.02070263488652197,0.10309378403896025,0.11315185306657921,0.0,0.059421288322425075,0.259214605580434,0,0.0,0.0,348150000.0,0.0,0.0,53.83568722011712,0,0.0,53.83568722011712,53.83568722011712,5842000000.0,21428100000.0,1414600000.0,-15334400000.0,Financial Services
1995-06-30,STT,1995,Q2,USD,3042600000.0,-2540200000.0,-4.186222808174028,-18.340794223826716,-22.946702800361336,-27.792122538293217,-61.08096280087528,0.0,2.2089314194577354,4.395646089649911,-51.20530303030303,0.6859956236323851,1,7272600000.0,7760400000.0,0.002452063526826044,0.0037220742623044283,0.002452063526826044,0.04203821656050955,0.003858176626956779,0.0035744594314497677,0.020607375271149673,0.03638335633997239,0.2007220216606498,0.0,0.04581410678971654,0.26268951878707975,0,0.0,0.0,356750000.0,0.0,0.0,54.314436387607124,0,0.0,54.314436387607124,54.314436387607124,5693500000.0,-22444600000.0,1491500000.0,-16806200000.0,Financial Services
1995-09-30,STT,1995,Q3,USD,3312820510.0,-2899579490.0,-4.638585010398336,9.004905248447205,8.523161346266901,-32.21754988888889,-69.02666666666667,0.0,-4.984520123839009,4.514553578915967,-49.64017806083916,0.7177777777777777,1,7635900000.0,8115200000.0,0.002530802530802531,0.0035227944371161624,0.002530802530802531,0.04197803625966599,0.004164571487512733,0.0035258858788270553,0.019500000016602168,-0.10269195055182752,-0.05652173913043478,0.0,0.029115341545352745,0.2639577667573188,0,0.0,0.0,371500000.0,0.0,0.0,54.2505199168133,0,0.0,54.2505199168133,54.2505199168133,5872200000.0,-316900000.0,1538900000.0,-16350700000.0,Financial Services
1995-12-31,STT,1995,Q4,USD,3652325583.75,2121225583.75,3.297412690424374,11.193802552770448,12.20498034378596,18.23925695399828,-13.165090283748926,0.0,2.8931297709923665,4.71141991166862,-50.84388069788002,0.656312625250501,1,7789200000.0,8256800000.0,0.002540216868591285,0.003890026836507785,0.002540216868591285,0.041259842519685036,0.0031666070409870142,0.0038704373051207668,0.01793377903969567,0.047586119039681025,0.08284960422163588,0.9515151515151515,0.024405409606715375,0.2731229597388466,0,0.0,0.0,384450000.0,0.0,0.0,54.85621016632986,0,0.0,54.85621016632986,54.85621016632986,1704900000.0,-87000000.0,1587500000.0,-16408500000.0,Financial Services
1996-03-31,STT,1996,Q1,USD,4168520932.92,838520932.9200001,1.2846957758847863,2.014706710523787,2.103137529270128,3.790781794394214,-15.054249547920435,0.39053360999099557,5.962750716332378,4.821456199909718,-48.65576286261448,0.6462962962962963,1,-15567600000.0,-15109400000.0,0.0025634245589293845,0.004074364700911451,0.0025634245589293845,0.04474072174860586,-0.0406688807318068,0.06404934171509905,0.016744548275809165,0.09564543549520221,0.04204709274387314,0.15459363957597172,0.026811705224452274,0.2773096368929064,0,0.0,0.0,400950000.0,0.0,0.0,56.50681783361422,0,0.0,56.50681783361422,56.50681783361422,3728700000.0,23522300000.0,1560100000.0,-15693700000.0,Financial Services
1996-06-30,STT,1996,Q2,USD,4234909087.3799996,-4098990912.620001,-6.163896109203009,43.6992634607676,33.515870095012275,-31.824463607298142,-64.70419254658385,0.0,-1.3118881118881118,4.882469922050811,-53.24022921103352,0.6486486486486487,1,10059400000.0,10518300000.0,0.0024875879725121527,0.003952083655997821,0.0024875879725121527,0.04568238055960916,0.003136284635254453,0.0038350314576229023,0.01700154560922205,-0.028879014277886902,-0.30383795309168443,1.6193181818181819,0.04285714285714286,0.28421052631578947,0,0.0,0.0,436650000.0,0.0,0.0,62.72932330827068,0,0.0,62.72932330827068,62.72932330827068,8211600000.0,-25565700000.0,1576100000.0,-17308200000.0,Financial Services
1996-09-30,STT,1996,Q3,USD,4613739124.2,-1847960875.8000002,-2.6666102103896105,-7.0318145958904115,-7.7482636301886805,-12.23815149536424,-42.79271523178808,0.30485195509681307,3.5706521739130435,5.10836834004315,-58.563750079140206,0.6666666666666666,1,-18453400000.0,-17998700000.0,0.002601520835017877,0.003868364100187145,0.002601520835017877,0.04561143984220907,-0.008928248253562253,0.058454894939175314,0.016039051625579556,0.05169342990136113,0.09246575342465753,0.6090225563909775,0.03506493506493506,0.27994227994227994,0,0.0,0.0,456450000.0,0.0,0.0,58.36363636363637,0,0.0,58.36363636363637,58.36363636363637,6700200000.0,28602500000.0,1622400000.0,-18729900000.0,Financial Services
