date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,STT,63.09,63.51,62.17,63.5,2007403,0.41,0.64987,63.0675
2020-07-31,STT,63.33,63.91,62.94,63.79,2304300,0.46,0.72635,63.4925
2020-08-03,STT,64.01,64.7,63.11,64.32,1646846,0.31,0.4843,64.035
2020-08-04,STT,64.35,64.94,64.13,64.91,1356335,0.56,0.87024,64.5825
2020-08-05,STT,65.42,66.89,65.3,66.74,3316331,1.32,2.02,66.0875
2020-08-06,STT,66.71,67.23,65.86,66.54,1815131,-0.17,-0.25483,66.585
2020-08-07,STT,66.05,69.59,66.05,69.57,2290804,3.52,5.33,67.815
2020-08-10,STT,69.72,70.07,68.69,69.87,1825800,0.15,0.21515,69.5875
2020-08-11,STT,71.09,72.13,70.15,70.35,2105800,-0.74,-1.04,70.93
2020-08-12,STT,71.53,71.96,69.82,71.18,1628812,-0.35,-0.48931,71.1225
2020-08-13,STT,70.45,71.15,69.74,70.35,1718119,-0.1,-0.14194,70.4225
2020-08-14,STT,69.95,71.02,69.95,70.53,874105,0.58,0.82916,70.3625
2020-08-17,STT,70.35,70.39,68.8,69.21,1668728,-1.14,-1.62,69.6875
2020-08-18,STT,68.95,69.74,68.6,69.67,1512000,0.72,1.04,69.24
2020-08-19,STT,69.73,70.68,69.51,70.45,2026006,0.72,1.03,70.0925
2020-08-20,STT,69.33,69.44,67.73,67.93,1877100,-1.4,-2.02,68.6075
2020-08-21,STT,67.73,68.19,67.27,67.55,1615900,-0.18,-0.26576,67.685
2020-08-24,STT,67.9,69.2,67.65,68.94,1887318,1.04,1.53,68.4225
2020-08-25,STT,69.57,70.06,68.87,69.07,1456230,-0.5,-0.7187,69.3925
2020-08-26,STT,69.0,69.04,67.91,67.98,1504300,-1.02,-1.48,68.4825
2020-08-27,STT,68.09,69.71,68.09,69.25,1215500,1.16,1.7,68.785
2020-08-28,STT,69.69,70.24,68.99,70.11,1257079,0.42,0.60267,69.7575
2020-08-31,STT,69.93,69.93,68.07,68.09,1415543,-1.84,-2.63,69.005
2020-09-01,STT,67.72,69.04,67.31,68.58,1656196,0.86,1.27,68.1625
2020-09-02,STT,68.52,70.23,68.27,69.88,3334900,1.36,1.98,69.225
2020-09-03,STT,70.51,71.14,66.84,67.4,2656500,-3.11,-4.41,68.9725
2020-09-04,STT,68.74,69.77,67.01,68.35,3194642,-0.39,-0.56736,68.4675
2020-09-08,STT,67.25,67.63,65.4,65.55,2112700,-1.7,-2.53,66.4575
2020-09-09,STT,66.17,66.49,65.76,65.79,3130400,-0.38,-0.57428,66.0525
2020-09-10,STT,66.14,66.2,64.05,64.23,2635515,-1.91,-2.89,65.155
