date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,SWK,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.06529787950185123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.691815550319758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009046659707724425,0.9046659707724425,3.5589362721609965,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.086667,Industrials
1985-12-31,SWK,1985,Q4,USD,1.0,-2.2788461538461537,-2.2788461538461537,-2.2788461538461537,0.0,0.07971464019851117,0.0,0.0,1.4017391304347826,0.0,0.0,1.2788575961919872,0.4141829393627955,3.2684563758389262,2.2033557046979864,0.0,0.39865771812080536,0.0,0.0,0.0,1.772884401114206,2.7638080024813894,0.0,0.0,0.12011819116135664,0.18603263032232392,0.15685287703405468,0.1393835616438356,1.5487465181058495,0.0,,,0.0,-60.71900826446281,0.0,,,0.0,0.0,0.0,0.008122492970946579,0.8122492970946578,3.8606154951502814,0.0,1.1196263920488565,0.7112920608310382,6.018440905280805,6.018440905280805,6.018440905280805,,,,0.0,0.0,1.772884401114206,0.10493218294740922,0.0,-1.25922376480196,0.086667,Industrials
1986-03-31,SWK,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.045342381246144356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9076085749537324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00571305207646671,0.571305207646671,3.882169800023949,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.086667,Industrials
1986-06-30,SWK,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.04868355688027819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8168549428713363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006381958762886598,0.6381958762886597,4.82097952341037,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.086667,Industrials
1986-09-30,SWK,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.05176409992274015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8053942827710534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007274119448698315,0.7274119448698315,4.655317108260401,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.095,Industrials
1986-12-31,SWK,1986,Q4,USD,1.0,-3.720530835284934,-3.720530835284934,-3.720530835284934,0.0,0.08821233411397346,0.0,0.0,1.0268537074148296,0.0,0.0,0.668057366362451,0.2120860927152318,2.9201114723641433,1.755689735253135,0.0,0.24663260566651185,0.0,0.0,0.0,1.95388298829883,4.236463700234192,0.0,0.0,0.35322847682119207,0.7681368136813681,0.4344329057218489,0.3954728479703994,2.1746174617461747,0.0,,,0.0,-15.058451816745656,0.0,,,0.0,0.0,0.0,0.007450980392156863,0.7450980392156863,3.0095855652664225,0.0,5.012451837233343,0.6237665632929236,6.525467531247063,5.397753970491495,6.525467531247063,,,,0.0,0.0,1.95388298829883,0.3931334774300661,0.0,-1.5306147712966849,0.095,Industrials
1987-03-31,SWK,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.046065259117082535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4721113243761996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005588235294117647,0.5588235294117647,4.896156376280425,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.095,Industrials
1987-06-30,SWK,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.0535302261190586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.364657683433318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005545826036193812,0.5545826036193813,5.091156846161075,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.095,Industrials
1987-09-30,SWK,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.061179577464788734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2636707746478875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006470588235294118,0.6470588235294118,5.208858728048053,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.11,Industrials
1987-12-31,SWK,1987,Q4,USD,1.0,-2.384514721919302,-2.384514721919302,-2.384514721919302,0.0,0.05714285714285714,0.0,0.0,1.376463524467127,0.0,0.0,1.0227526210127147,0.33045045045045046,2.3888354186717997,1.3683028553095926,0.0,0.14918190567853706,0.0,0.0,0.0,1.7735411764705882,2.4199070010905124,0.0,0.0,0.31163963963963964,0.6911764705882353,0.40869565217391307,0.36143717464529956,2.2178708439897696,0.0,,,0.0,-13.962962962962964,0.0,,,0.0,0.0,0.0,0.008500772797527048,0.8500772797527049,5.347312931517074,0.0,5.042918454935623,0.5423119985071841,7.296137339055794,6.08205821981713,7.296137339055794,,,,0.0,0.0,1.7735411764705882,0.38971549110785336,0.0,-1.3678106283728162,0.11,Industrials
