date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,SYK,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77018773127413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07221082214390864,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1985-12-31,SYK,1985,Q4,USD,1.0,-2.3984375,-2.3984375,-2.3984375,0.0,0.07421875,0.0,0.0,1.4797687861271676,0.0,0.0,1.7534246575342465,0.3620933521923621,3.2395209580838324,1.910179640718563,0.0,0.7245508982035929,0.0,0.0,0.0,3.701608247422681,7.0128125,0.0,0.0,0.06082036775106082,0.088659793814433,0.08143939393939394,0.07969639468690702,1.4577319587628865,0.0,,,0.0,-614.0,0.0,,,0.0,0.0,0.0,,,0.0712980704959672,0.0,0.011975847778619491,0.0336994786328595,0.13507642261931285,0.13145581747693952,0.13507642261931285,,,,0.0,0.0,3.701608247422681,0.023951695557238983,0.0,-2.7968729641693812,,Healthcare
1986-03-31,SYK,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.09120521172638436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.406237785016287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08550198297758567,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-06-30,SYK,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.08223684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21171799473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08466645871396106,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-09-30,SYK,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.08223684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.418807305263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08413780887432468,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-12-31,SYK,1986,Q4,USD,1.0,-2.461279461279461,-2.461279461279461,-2.461279461279461,0.0,0.07744107744107744,0.0,0.0,1.2426778242677825,0.0,0.0,1.757396449704142,0.3453488372093023,3.0625,1.7067307692307692,0.0,0.40384615384615385,0.0,0.0,0.0,4.035307725293133,8.111376134680134,0.0,0.0,0.05116279069767442,0.07370184254606366,0.0686427457098284,0.06279434850863422,1.440536013400335,0.0,,,0.0,-182.75,0.0,,,0.0,0.0,0.0,,,0.08218950630949745,0.0,0.012176223156962585,0.02324551693601948,0.16520920965242417,0.1516493247730795,0.16520920965242417,,,,0.0,0.0,4.035307725293133,0.01826424341422681,0.0,-3.2408737510259917,,Healthcare
1987-03-31,SYK,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.09408602150537634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.816741354838709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.10294443214522914,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-06-30,SYK,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.08130081300813008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.634536585365854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.09873490881068585,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-09-30,SYK,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.08672086720867209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.531451490514906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.09875181981673375,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-12-31,SYK,1987,Q4,USD,1.0,-2.389784946236559,-2.389784946236559,-2.389784946236559,0.0,0.07795698924731183,0.0,0.0,1.0751445086705202,0.0,0.0,2.1016949152542375,0.35428571428571426,3.3020408163265307,1.8204081632653062,0.0,0.24489795918367346,0.0,0.0,0.0,3.6273880361702124,7.332784417204301,0.0,0.0,0.09904761904761905,0.13829787234042554,0.12149532710280374,0.046894803548795945,1.3962765957446808,0.0,,,0.0,-13.26865671641791,0.0,,,0.0,0.0,0.0,,,0.09943971600872503,0.0,0.027800350712116676,0.016038663872375004,0.20101792053376674,0.18524656772593132,0.20101792053376674,,,,0.0,0.0,3.6273880361702124,0.03812602097194986,0.0,-3.1178805435320585,,Healthcare
1988-03-31,SYK,1988,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.939771451053864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.11414182455840212,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1988-06-30,SYK,1988,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.08656036446469248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.176321115261958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.11720919304540989,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1988-09-30,SYK,1988,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.08783783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.557015697297297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1185441496860182,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1988-12-31,SYK,1988,Q4,USD,1.0,-2.190775681341719,-2.190775681341719,-2.190775681341719,0.0,0.08176100628930817,0.0,0.0,1.2325581395348837,0.0,0.0,2.3043478260869565,0.38221153846153844,3.4305555555555554,1.7048611111111112,0.0,0.1597222222222222,0.0,0.0,0.0,3.474989010989011,6.629433962264151,0.0,0.0,0.05368589743589743,0.07362637362637363,0.06857727737973388,0.03294367693942614,1.3714285714285714,0.0,,,0.0,-29.02777777777778,0.0,,,0.0,0.0,0.0,,,0.1272733094262295,0.0,0.017876963797814206,0.012273736338797815,0.24280652322404372,0.22973232581967212,0.24280652322404372,,,,0.0,0.0,3.474989010989011,0.021187512649261282,0.0,-3.046162679425837,,Healthcare
