date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,T,22.24,22.44,22.16,22.32,35305695,0.075477,0.35971,22.29
2020-07-31,T,22.27,22.36,22.09,22.33,51265816,0.052834,0.26942,22.2625
2020-08-03,T,22.6,22.63,22.2,22.36,51643343,-0.2453,-1.06,22.4475
2020-08-04,T,22.34,22.76,22.31,22.65,45105343,0.30946,1.39,22.515
2020-08-05,T,22.76,22.8,22.48,22.53,30461576,-0.22643,-1.01,22.6425
2020-08-06,T,22.42,22.71,22.4,22.52,29026790,0.098121,0.44603,22.5125
2020-08-07,T,22.45,22.69,22.33,22.66,40306108,0.21134,0.93541,22.5325
2020-08-10,T,22.68,22.79,22.63,22.79,47052850,0.11322,0.48501,22.7225
2020-08-11,T,22.95,23.22,22.72,22.79,41054496,-0.1585,-0.69717,22.92
2020-08-12,T,22.91,23.03,22.73,22.78,28072022,-0.13586,-0.56744,22.8625
2020-08-13,T,22.64,22.74,22.52,22.58,32980739,-0.06793,-0.26502,22.62
2020-08-14,T,22.51,22.76,22.46,22.65,29873426,0.13586,0.62195,22.595
2020-08-17,T,22.7,22.7,22.49,22.53,33148172,-0.1736,-0.7489,22.605
2020-08-18,T,22.54,22.59,22.47,22.48,29033207,-0.052834,-0.26619,22.52
2020-08-19,T,22.5,22.56,22.4,22.44,32830863,-0.060383,-0.26667,22.475
2020-08-20,T,22.3,22.55,22.27,22.39,30375934,0.090573,0.40359,22.3775
2020-08-21,T,22.44,22.48,22.29,22.41,32968251,-0.030191,-0.13369,22.405
2020-08-24,T,22.42,22.68,22.39,22.67,34956483,0.24153,1.12,22.54
2020-08-25,T,22.71,22.75,22.51,22.57,27858678,-0.14341,-0.61647,22.635
2020-08-26,T,22.51,22.73,22.42,22.64,36885519,0.12076,0.57752,22.575
2020-08-27,T,22.65,22.77,22.5,22.57,39233432,-0.083026,-0.3532,22.6225
2020-08-28,T,22.6,22.7,22.5,22.67,35559381,0.075478,0.30973,22.6175
2020-08-31,T,22.76,22.76,22.49,22.5,54960658,-0.25662,-1.14,22.6275
2020-09-01,T,22.45,22.45,22.13,22.24,61677773,-0.20379,-0.93541,22.3175
2020-09-02,T,22.17,22.52,22.13,22.42,46542011,0.24908,1.13,22.31
2020-09-03,T,22.48,22.78,22.21,22.33,58730406,-0.14341,-0.66726,22.45
2020-09-04,T,22.36,22.55,22.08,22.21,59402031,-0.1585,-0.67084,22.3
2020-09-08,T,22.27,22.34,21.9,22.27,61519049,0.007548,0.0,22.195
2020-09-09,T,22.36,22.42,22.17,22.17,39243730,-0.19624,-0.84973,22.28
2020-09-10,T,22.18,22.18,21.81,21.82,62822133,-0.35474,-1.62,21.9975
2020-09-11,T,21.86,21.99,21.74,21.89,39309083,0.030191,0.13724,21.87
2020-09-14,T,21.96,22.11,21.89,21.99,38054743,0.030191,0.13661,21.9875
2020-09-15,T,22.03,22.15,21.93,21.98,34330366,-0.052834,-0.22696,22.0225
2020-09-16,T,21.99,22.3,21.98,22.07,40911714,0.083025,0.3638,22.085
2020-09-17,T,22.0,22.07,21.85,21.94,41932998,-0.060382,-0.27273,21.965
2020-09-18,T,21.92,22.05,21.82,21.84,60762112,-0.083025,-0.36496,21.9075
2020-09-21,T,21.74,21.75,21.33,21.61,60248331,-0.12831,-0.59798,21.6075
2020-09-22,T,21.53,21.84,21.45,21.52,37293679,-0.015095,-0.04644682,21.585
2020-09-23,T,21.55,21.65,21.01,21.04,58012948,-0.51325,-2.37,21.3125
2020-09-24,T,21.04,21.33,20.95,21.16,43790622,0.12831,0.57034,21.12
2020-09-25,T,21.07,21.22,20.95,21.16,47601958,0.098121,0.42715,21.1
2020-09-28,T,21.38,21.62,21.31,21.42,40442657,0.045287,0.18709,21.4325
2020-09-29,T,21.41,21.44,21.23,21.36,33748060,-0.045286,-0.23354,21.36
2020-09-30,T,21.42,21.64,21.35,21.52,51787828,0.098121,0.46685,21.4825
2020-10-01,T,21.53,21.62,21.39,21.5,37945638,-0.022644,-0.13934,21.51
2020-10-02,T,21.34,21.81,21.29,21.65,38022018,0.30946,1.45,21.5225
2020-10-05,T,21.5,21.7,21.41,21.64,44335764,0.13586,0.65116,21.5625
2020-10-06,T,21.7,22.01,21.63,21.67,51886351,-0.026417,-0.13825,21.7525
2020-10-07,T,21.83,21.87,21.65,21.74,54884544,-0.090573,-0.41228,21.7725
2020-10-08,T,21.38,21.61,21.31,21.59,42540618,0.21889,0.98223,21.4725
2020-10-09,T,21.61,21.65,21.31,21.38,43321029,-0.23398,-1.06,21.4875
2020-10-12,T,21.36,21.36,21.14,21.23,67846520,-0.12831,-0.60861,21.2725
2020-10-13,T,21.14,21.23,20.89,20.95,71560227,-0.19624,-0.89877,21.0525
2020-10-14,T,20.91,21.1,20.74,20.75,64207706,-0.16605,-0.76518,20.875
2020-10-15,T,20.61,20.72,20.46,20.72,42511889,0.10567,0.53372,20.6275
2020-10-16,T,20.74,20.81,20.62,20.63,38854105,-0.11322,-0.53038,20.7
2020-10-19,T,20.71,20.73,20.24,20.29,69064245,-0.4189,-2.03,20.4925
2020-10-20,T,20.37,20.47,20.12,20.2,55102165,-0.1736,-0.83456,20.29
2020-10-21,T,20.21,20.32,20.03,20.17,63262688,-0.037739,-0.19792,20.1825
2020-10-22,T,21.01,21.51,20.91,21.35,118588687,0.33965,1.62,21.195
2020-10-23,T,21.4,21.44,20.95,21.0,56481052,-0.40003,-1.87,21.1975
2020-10-26,T,20.85,20.87,20.45,20.67,55015620,-0.18869,-0.86331,20.71
2020-10-27,T,20.56,20.58,20.3,20.32,46592578,-0.24153,-1.17,20.44
2020-10-28,T,20.15,20.29,19.96,20.0,64852134,-0.14718,-0.74442,20.1
2020-10-29,T,20.0,20.42,19.89,20.2,58528886,0.19624,1.0,20.1275
2020-10-30,T,20.18,20.41,20.14,20.39,64182013,0.21134,1.04,20.28
2020-11-02,T,20.68,20.83,20.39,20.64,63664071,-0.045286,-0.19342,20.635
2020-11-03,T,20.76,20.98,20.68,20.73,44098980,-0.037739,-0.14451,20.7875
