date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2005-12-31,TDG,2006,Q1,USD,1065268200.0000001,1924825200.0,19.221342121030556,-29.155183277794606,-28.395196719134937,48.67183857182593,21.735074721217792,3.1908922751695585,-7.348619768477293,5.951185929051016,-20.278816569386002,0.6179667079378182,0.4256228591503938,124366000,1271210000,0.0066367873339602725,0.0,0.03329960377029797,0.026244066311253925,0.016324348557297877,0.026476171676811357,0.008433556920219715,-0.06363374031065604,-0.026764616782793092,0.32782931354359923,0.017645296584781305,0.0,0.0,0.0,0.8006947055664355,,,,55.50359496704613,29.554983594317935,138.29341611489872,193.79701108194485,164.2420274876269,-927344000,,-741549000,-830211000,Industrials
2006-04-01,TDG,2006,Q2,USD,1139566250.0,1992623250.0,18.403184916324946,402.7128637833468,690.9234570041609,46.7740956785052,20.024342151592684,4.302297149475581,0.3466442482835925,7.684363378766115,-19.87625127104282,0.6147551574141866,0.5450341541278374,153963000,1298955000,0.010418270876502544,0.03128102329133257,0.04961935551152362,0.03963997989397124,0.0197882720885262,0.03218886714470294,0.012525818485761578,0.0025307874816404927,0.4171382376717866,0.3973051010587103,0.019062396098858472,0.0,0.0,1.2929919834497026e-05,0.790036150830637,68955500.0,16948000.0,79990000.0,63.29990025490413,29.853472074750474,142.07764628660783,205.37754654151195,175.52407446676148,-850173000,-276815.538998235,-722332000,-809416000,Industrials
2006-07-01,TDG,2006,Q3,USD,1067643100.0,1970882100.0,17.778758930504438,92.61664003759398,100.84333299222267,84.95181465517241,38.93271551724138,5.726424981860203,-1.5924567836563646,,-20.585793440710663,0.5611876364858055,5.528674251218946,175875000,1343150000,-0.009575614607846228,-0.003114675676349979,-0.04575085078847721,-0.03853729578520858,-0.0017790068107253814,-0.003170845011422257,-0.01251635495045114,0.018305742808622096,0.08157894736842106,0.06311120805613117,0.015659955257270694,0.0,0.0,7.216569242981886e-06,0.790700840687799,81440000.0,18077000.0,84846000.0,70.4097207187703,31.767660793689185,147.21762265344472,217.62734337221502,185.85968257852585,-883695000,1441964.8496556357,-756687000,-835683000,Industrials
2006-09-30,TDG,2006,Q4,USD,1093356660.0,1957139660.0,16.8876165740517,45.674204434072344,48.84667332218534,38.92791113055931,17.180821863314502,5.3910311010842795,2.815004598607279,7.8756926636658395,-19.914502043642372,0.5537286285922154,0.6036981728742095,190742000,1357381000,0.010744597349355409,0.032384195352025934,0.04864439927905818,0.04192914849837897,0.01836094267605576,0.033158738284376085,0.013922263939015106,0.03664586448853753,0.06494749124854142,0.5871308016877637,0.02401373692748421,0.0,0.0,-0.24029268629413592,0.7791195387629949,80830000.0,18868000.0,88581500.0,58.19262761881752,29.406049208587994,139.85738912396175,198.05001674277926,168.64396753419126,-823716000,12304586.831575122,-740747000,-819490000,Industrials
2006-12-30,TDG,2007,Q1,USD,1186932230.0,2057376230.0,16.76630263468857,53.50365979247393,57.21768306588425,41.25395981632612,17.453911090613783,4.6052940938019375,1.890976149495943,9.402511797891625,-20.289197730775243,0.6339235613192843,0.643219506326322,177878000,1384228000,0.014036586931582079,0.034808785848945326,0.06651054323757691,0.05249896086394159,0.022591785143202415,0.03563802723499617,0.017132401906383484,0.030294063208646714,0.06491041011104465,0.5363128491620112,0.020340806297826565,0.0,0.0,0.003789453096349901,0.7889569645906646,71714500.0,19046500.0,91659000.0,50.23714641957803,29.44748201438849,143.32204824375793,193.55919466333597,164.11171264894747,-834487000,46636401.926554024,-755632000,-834157000,Industrials
2007-03-31,TDG,2007,Q2,USD,1636081360.0,2929254360.0,20.280358077514226,172.84795893078422,192.2335188344927,51.28515783391985,22.640772449533415,4.930827814569536,0.7877196244306033,9.932531368357226,-30.336420439384504,0.6233412528249406,0.604268431465238,237422000,1882851000,0.010931332897042026,0.03343286063231931,0.0525649671133003,0.05219399650163879,0.01866294893631409,0.02994017939890046,0.013149712799123877,0.009313717748119812,0.10084380716350977,0.24138418079096044,0.011832066353729628,0.0,0.0,8.308062975117352e-06,0.7920414774828972,79090500.0,21942500.0,106599500.0,55.883770198978105,31.86010639064685,154.55706604004786,210.44083623902597,178.58072984837912,-1277935000,-18569617.66239787,-1146627000,-1258089000,Industrials
2007-06-30,TDG,2007,Q3,USD,1853068000.0,3090784000.0,19.60995603154562,89.02284051960022,97.25869284747789,50.41568525103579,20.189149512282647,4.870960775315174,1.5695040911351206,10.45730402015496,-28.854989082969432,0.6252049064496071,0.5771376374253744,286784000,1931160000,0.010889207324186878,0.030656333876309047,0.04659819092598132,0.04799783021426634,0.01958174187102605,0.03132051855163165,0.011937500404734203,0.017149397647576885,0.0846798582908494,0.3904382470119522,0.018653283675838923,0.0,0.0,0.0,0.7663169511991615,90326000.0,24384500.0,120170000.0,51.94330416907235,28.916799363057322,144.76433121019107,196.70763537926342,167.7908360162061,-1205937000,-6443188.005200386,-1095868000,-1209716000,Industrials
2007-09-30,TDG,2007,Q4,USD,2180285910.0,3432193910.0,20.425105690379556,153.79279965945244,178.722865548844,46.77351708254405,17.060848471633573,5.438923518648001,0.9044376899696048,11.017328322967385,-28.074243483048516,0.6153826969598724,0.6117569876724033,298380000,1968222000,0.011972035653619775,0.032031167150558315,0.05159057883897676,0.05061009002135161,0.020229689878664858,0.03287334853352887,0.011317323056956324,0.008808019128096829,0.13949007483084644,0.397319719208679,0.0185255715969007,0.0,0.0,0.02075125864387817,0.7679414357612346,97766000.0,24483000.0,123989500.0,56.00483224032659,27.859661847831525,142.67257765994697,198.67740990027357,170.81774805244206,-1232704000,33460643.489537872,-1095217000,-1207903000,Industrials
2007-12-29,TDG,2008,Q1,USD,2136840750.0,3324322750.0,20.37761591555512,55.19563575081357,57.48738046241375,49.684239041085654,17.7477170485286,5.201671774173456,2.233313556808069,11.8879098320392,-27.210919467208775,0.6360077354841753,0.6337264045195714,337285000,2002924000,0.012793460192641957,0.03209830643043124,0.0510172037396473,0.051923247243839794,0.020986883308646977,0.032997842852760646,0.012620500615218985,0.02706191371537631,0.039865178986517896,0.3234541290583322,0.014717781482934483,0.0,0.0,0.007460033346410357,0.7492324303399698,98422500.0,23717000.0,127446000.0,50.90911877206748,27.201241938063003,153.66465007195777,204.57376884402524,177.37252690596225,-1129655000,8671641.573510684,-1059964000,-1171011000,Industrials
2008-03-29,TDG,2008,Q2,USD,1776618600.0,2940096600.0,16.773235587757082,163.83932014488715,181.90290168904286,40.39926074530065,15.98711113553919,7.0686104998428165,0.5578178427106,13.320349902536524,-26.17488709169205,0.6597485695535367,0.6700148400571617,386085000,2048730000,0.015059676954247044,0.034294977521841984,0.057613095024893445,0.05790928924762927,0.02316658620105695,0.03511426514609071,0.01810743172451307,0.009097619489067604,0.09930342713847869,0.2723521320495186,0.010166300596171948,0.0,0.0,9.12799155660781e-06,0.738606701345587,97032500.0,23770500.0,128326500.0,52.26197335767465,27.497972125949413,142.16208244229776,194.4240557999724,166.92608367402298,-1147315000,3974861.897828184,-1022264000,-1130939000,Industrials
2008-06-28,TDG,2008,Q3,USD,1675727400.0,2843882400.0,15.285416980199084,39.63764896093216,41.40832568907526,36.2656838991048,14.896516105996072,5.012602769960823,1.9930275840995584,14.668265904749008,-26.443936652524748,0.6363732786508511,0.7213777449055064,363602000,2106873000,0.016200470186706607,0.03598588795905893,0.06289210385172425,0.058614446257200824,0.023412415951745497,0.03679038189878305,0.021482611073853658,0.04098458973697035,0.04276136981337199,0.44029850746268656,0.016490013544600435,0.0,0.0,7.524778019048438e-06,0.742408518803868,101366500.0,25498000.0,135758500.0,48.831670715713884,27.48907327334346,150.3958162907561,199.22748700646997,171.73841373312652,-1099476000,76286119.76524244,-1035537000,-1153713000,Industrials
