date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,TER,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.005115089514066497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.887216368286445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8645851760127365,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1985-12-31,TER,1985,Q4,USD,1.0,-3.2922868741542626,-3.2922868741542626,-3.2922868741542626,0.0,0.005412719891745603,0.0,0.0,1.1248097412480975,0.0,0.0,0.45758513931888545,0.22613219094247247,3.6823529411764704,2.4,0.0,0.5835294117647059,0.0,0.0,0.0,2.066116291913215,7.087421921515562,0.0,0.0,0.05997552019583843,0.07731755424063116,0.07176858293665324,0.04735062006764374,1.2891518737672585,0.0,,,0.0,-34.75714285714286,0.0,,,0.0,0.0,0.0,,,0.8155292663547277,0.0,0.21629734263264766,0.27368235190253376,2.797519201906948,2.797519201906948,2.797519201906948,,,,0.0,0.0,2.066116291913215,0.03742168557658264,0.0,-2.131362433210029,,Technology
1986-03-31,TER,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.0013297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8298755186721992,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1986-06-30,TER,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.737092866756393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8163758625236233,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1986-09-30,TER,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823461204819276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8935492205667039,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1986-12-31,TER,1986,Q4,USD,1.0,-3.248641304347826,-3.248641304347826,-3.248641304347826,0.0,0.001358695652173913,0.0,0.0,1.1236641221374046,0.0,0.0,0.4378346222486615,0.21989841649238123,3.819512195121951,2.629268292682927,0.0,0.8073170731707318,0.0,0.0,0.0,1.445091957511381,5.175628260869566,0.0,0.0,0.055572154167911565,0.07056145675265554,0.06591070163004961,0.044581370061616526,1.2697268588770865,0.0,,,0.0,-37.95238095238095,0.0,,,0.0,0.0,0.0,,,0.790242226421577,0.0,0.19970795395980073,0.355394262154269,2.8302697131077132,2.8302697131077132,2.8302697131077132,,,,0.0,0.0,1.445091957511381,0.04882835060141827,0.0,-1.5325229611041404,,Technology
1987-03-31,TER,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,-0.049429657794676805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.976346768060837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8471482563133482,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1987-06-30,TER,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,-0.03666245259165613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.917779013906448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8285151667504609,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1987-09-30,TER,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.0024067388688327317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.850998796630565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.8628566681895585,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1987-12-31,TER,1987,Q4,USD,1.0,-2.002197802197802,-2.002197802197802,-2.002197802197802,0.0,-0.10622710622710622,0.0,0.0,1.4086687306501549,0.0,0.0,0.6886982845610494,0.3430510178436793,2.696107784431138,1.7245508982035929,0.0,0.1661676646706587,0.0,0.0,0.0,1.3975293864370293,2.853417142857143,0.0,0.0,0.13269665745162101,0.18945102260495156,0.1592760180995475,0.1347407637379696,1.4277000358808756,0.0,,,0.0,-29.074468085106382,0.0,,,0.0,0.0,0.0,,,1.4123416935684132,0.0,0.5463123913583313,0.11484976409237646,2.8836602930221007,2.8836602930221007,2.8836602930221007,,,,0.0,0.0,1.3975293864370293,0.1355613874338291,0.0,-1.5777220636663007,,Technology
