date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-10-31,TGT,1985,Q3,USD,3823469760.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-01-31,TGT,1985,Q4,USD,4420580200.0,5179880200.0,1.7626434137543812,0.0,0.0,-0.9918771805526301,-0.14539570687245085,1.7966866408177653,0.0,0.0,-0.7293720742811091,0.0,0.0,1130100000.0,2976700000.0,0.0,0.0,0.0,0.0,,-1.7413471157052351,0.0,,0.0,0.0,,0.0,0,,0.0,,,,32.46639670602647,0.0,0.0,32.46639670602647,32.46639670602647,,,1947400000.0,78500000.0,Consumer Defensive
1986-04-30,TGT,1986,Q1,USD,4992106400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-07-31,TGT,1986,Q2,USD,4429812640.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-10-31,TGT,1986,Q3,USD,4640151880.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-01-31,TGT,1986,Q4,USD,4022213120.0,5185613120.0,1.6644561450810464,0.0,0.0,-0.9374018185433576,-0.21030748928939424,1.8372876596939491,0.0,0.0,-1.2256381879635458,0.0,0.0,1192800000.0,3710000000.0,0.0,0.0,0.0,0.0,,-1.4341006895836574,0.0,,0.0,0.0,,0.0,0,,0.0,,,,30.40442946557535,0.0,0.0,30.40442946557535,30.40442946557535,,,2179500000.0,-485100000.0,Consumer Defensive
1987-04-30,TGT,1987,Q1,USD,4174215360.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-07-31,TGT,1987,Q2,USD,4778868000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-10-31,TGT,1987,Q3,USD,3053752200.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-01-31,TGT,1987,Q4,USD,3155998560.0,5171298560.0,1.4055879318311544,0.0,0.0,-0.8021745664381225,-0.31261440138987995,1.464548292879444,0.0,0.0,-2.0821326040148764,0.0,0.0,922500000.0,4028300000.0,0.0,0.0,0.0,0.0,,-1.5763014402034379,0.0,,0.0,0.0,,0.0,0,,0.0,,,,26.260498491478895,0.0,0.0,26.260498491478895,26.260498491478895,,,1986000000.0,-1181200000.0,Consumer Defensive
1988-04-30,TGT,1988,Q1,USD,3277383120.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-07-31,TGT,1988,Q2,USD,3060037760.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-10-31,TGT,1988,Q3,USD,3669189560.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
