date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,TMO,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.03645007923930269,0.03645007923930269,0.03645007923930269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.482778260869566,0.0,0.0,0.0,2.5489946117274167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.3573979262573679,0.04947726197134621,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1985-12-31,TMO,1985,Q4,USD,1.0,-2.7579250720461097,-2.7579250720461097,-2.7579250720461097,0.0,0.04610951008645533,0.04610951008645533,0.04610951008645533,0.9928469241773963,0.0,0.0,1.552572706935123,0.31303563373928733,2.285217391304348,1.76,0.026644462947543714,0.5217391304347826,14.133684375,0.023281776258319467,0.023281776258319467,1.780621653543307,2.6067890489913546,0.0,0.0,0.23004059539918809,0.5019685039370079,0.33420707732634336,0.3079019073569482,2.1820866141732282,0.0,,,0.0,-33.0,0.0,,,0.0,0.0,,,,1.3119588642292714,0.06049378048319407,0.9641196264509055,0.5671291920299444,1.9206775303414119,1.3592196302317667,1.9206775303414119,,,,0.0,0.0,1.780621653543307,0.2819063235236566,0.0,-1.0549172413793104,,Healthcare
1986-03-31,TMO,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.248994444444445,-0.22419793862081716,-0.22419793862081716,0.0,2.6550337164750957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.480207191198155,0.051041627282695,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-06-30,TMO,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.043914680050188205,0.043914680050188205,0.043914680050188205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.92665714285714,1.1843695285714286,1.1843695285714286,0.0,4.2029259723964865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.3799909962946288,0.06060186307441909,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-09-30,TMO,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.04342723004694836,0.04342723004694836,0.04342723004694836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.064663513513512,0.0,0.0,0.0,3.3117021126760564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.4675232960711024,0.06373047177773568,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-12-31,TMO,1986,Q4,USD,1.0,-2.607909604519774,-2.607909604519774,-2.607909604519774,0.0,0.04971751412429379,0.04971751412429379,0.04971751412429379,1.3636363636363635,0.0,0.0,1.8135245901639345,0.2865004855940434,2.5640686922060767,1.9920739762219286,0.0269773145309626,0.8428005284015853,14.450882954545456,0.025251910008677082,0.025251910008677082,1.744413854595336,2.8738479096045197,0.0,0.0,0.20362576885723535,0.43141289437585734,0.30138955438428366,0.28564429201371877,2.118655692729767,0.0,,,0.0,-50.17391304347826,0.0,,,0.0,0.0,,,,1.5066907283189759,0.07490891756614117,1.0708570261159727,1.0861793047090469,2.4822091320780415,1.7297150056181687,2.4822091320780415,,,,0.0,0.0,1.744413854595336,0.24731109148174887,0.0,-1.0980742634315424,,Healthcare
1987-03-31,TMO,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.0407725321888412,0.0407725321888412,0.0407725321888412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49992894736842,-0.3151116263327128,-0.3151116263327128,0.0,3.995696566523605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.5867070720828085,0.06469406517075828,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-06-30,TMO,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.04397905759162304,0.04397905759162304,0.04397905759162304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.082304166666667,1.2940172902298848,1.2940172902298848,0.0,3.7087194764397906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.6151127196468738,0.07103113531431278,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-09-30,TMO,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.04674610449129239,0.04674610449129239,0.04674610449129239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.41693137254902,0.6008841323529408,0.6008841323529408,0.0,3.2566947754353803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.8300763230730521,0.08554893902541306,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-12-31,TMO,1987,Q4,USD,1.0,-3.794642857142857,-3.794642857142857,-3.794642857142857,0.0,0.06377551020408163,0.06377551020408163,0.06377551020408163,0.8024564994882293,0.0,0.0,1.462686567164179,0.18399436751936166,3.114616193480547,2.6077812828601474,0.018917896329928113,1.5152471083070451,10.047211500000001,0.04237923334123224,0.04237923334123224,1.2419297280593327,2.5630641581632654,0.0,0.0,0.3309082375029336,0.8714462299134734,0.4656538969616909,0.4490977187606401,2.633498145859085,0.0,,,0.0,-32.69230769230769,0.0,,,0.0,0.0,,,,1.3538482791966706,0.08634236474468562,2.4348546858001345,2.48838695194184,2.794038923138027,2.0221381823205373,2.794038923138027,,,,0.0,0.0,1.2419297280593327,0.7016872293372146,0.0,-0.6650226218487395,,Healthcare
