date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,TMO,405.31,412.7,404.44,410.56,1142877,5.25,1.3,408.2525
2020-07-31,TMO,409.02,414.37,407.58,413.95,1217905,4.93,1.21,411.23
2020-08-03,TMO,418.25,423.7,417.2,419.09,1049424,0.84,0.20084,419.56
2020-08-04,TMO,418.93,418.93,412.77,415.72,911304,-3.21,-0.76624,416.5875
2020-08-05,TMO,416.91,420.32,415.86,419.9,919808,2.99,0.71718,418.2475
2020-08-06,TMO,419.01,420.21,409.01,415.73,1229980,-3.28,-0.7828,415.99
2020-08-07,TMO,414.0,416.86,411.53,414.33,1006792,0.33,0.07971014,414.18
2020-08-10,TMO,414.11,415.21,408.27,410.16,1206128,-3.95,-0.95385,411.9375
2020-08-11,TMO,409.37,410.16,401.22,407.24,1337793,-2.13,-0.52031,406.9975
2020-08-12,TMO,408.9,418.04,407.24,416.17,1060500,7.27,1.78,412.5875
2020-08-13,TMO,412.02,417.65,412.02,416.6,1080587,4.58,1.11,414.5725
2020-08-14,TMO,414.71,416.47,410.74,413.76,898106,-0.95,-0.22908,413.92
2020-08-17,TMO,416.0,419.74,414.6,416.8,1225800,0.8,0.19231,416.785
2020-08-18,TMO,417.71,419.91,416.33,417.3,1037300,-0.41,-0.09815422,417.8125
2020-08-19,TMO,419.27,423.4,415.82,420.62,1230284,1.35,0.32199,419.7775
2020-08-20,TMO,419.83,423.09,418.58,422.11,928744,2.28,0.54308,420.9025
2020-08-21,TMO,422.89,429.92,421.02,428.57,1301302,5.68,1.34,425.6
2020-08-24,TMO,429.55,432.38,416.45,419.76,1201100,-9.79,-2.28,424.535
2020-08-25,TMO,420.16,423.45,418.31,422.29,963635,2.13,0.50695,421.0525
2020-08-26,TMO,421.43,427.64,420.65,425.65,945947,4.22,1.0,423.8425
2020-08-27,TMO,409.3,423.82,402.67,420.53,2092000,11.23,2.74,414.08
2020-08-28,TMO,420.0,424.73,415.17,424.48,1325043,4.48,1.07,421.095
2020-08-31,TMO,425.49,433.45,424.92,428.98,1557655,3.49,0.82023,428.21
2020-09-01,TMO,432.15,435.75,430.55,433.73,1490168,1.58,0.36561,433.045
2020-09-02,TMO,434.5,441.96,430.12,441.06,1221647,6.56,1.51,436.91
