date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,TROW,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.09859154929577464,0.09859154929577464,0.09859154929577464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.11725,0.0,0.0,0.0,7.93356338028169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,0.10142857142857142,0.01,,,,,,,,,0.0,0.0,0.0,,0.0,,,Financial Services
1985-12-31,TROW,1985,Q4,USD,1.0,4.173708920187793,4.173708920187793,4.173708920187793,0.0,0.09859154929577464,0.09859154929577464,0.09859154929577464,0.0,0.0,0.0,0.0,0.46405228758169936,0.0,0.0,0.1076923076923077,0.0,16.60471425378214,0.7907006787515307,0.7907006787515307,5.283318171657955,6.548338015576057,0.0,0.0,0.04139433551198257,0.07196969696969698,0.06713780918727916,0.06713780918727916,1.7386363636363635,0.0,0.0,,0.0,0.0,0,0.0,,0.0,0.0,,,,0.12288461562093195,0.012115384638683432,0.010961538482618343,0.0,0.1523076926005917,0.1523076926005917,0.1523076926005917,,,,0.0,0.0,5.283318171657955,0.0136220637545121,0.0,1.5903217067690665,,Financial Services
1986-03-31,TROW,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.10743801652892562,0.10743801652892562,0.10743801652892562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.411499974208654,0.5595832747859472,0.5595832747859472,0.0,5.763619823626859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,0.13961538488387573,0.015000000028846154,,,,,,,,,0.0,0.0,0.0,,0.0,,,Financial Services
1986-06-30,TROW,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.13986013986013987,0.13986013986013987,0.13986013986013987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.625,0.4087499999999998,0.4087499999999998,0.0,7.622377622377623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,2.08,0.03816513761467889,3.8165137614678897,0.143,0.02,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0416,Financial Services
1986-09-30,TROW,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.984399999999999,0.359376,0.359376,0.0,5.867363265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,1.664,0.0463024798539691,4.6302479853969105,0.153125,0.025,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0416,Financial Services
1986-12-31,TROW,1986,Q4,USD,1.0,3.768965517241379,3.768965517241379,3.768965517241379,0.0,0.11379310344827587,0.11379310344827587,0.11379310344827587,0.0,0.0,0.0,0.0,0.4603174603174603,0.0,0.0,0.15,0.0,14.441363636363636,-0.42474598930481283,-0.42474598930481283,4.649414634146342,6.573310344827586,0.0,0.0,0.026984126984126985,0.041463414634146344,0.03981264637002342,0.03981264637002342,1.5365853658536586,0.0,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.1893939393939394,0.003278671325002885,0.32786713250028854,0.145,0.0165,0.0085,0.0,0.205,0.205,0.205,,,,0.0,0.0,4.649414634146342,0.008917986004007847,0.0,1.759615736505032,0.003125,Financial Services
1987-03-31,TROW,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.12779552715654952,0.12779552715654952,0.12779552715654952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,0.8132142857142857,0.8132142857142857,0.0,8.817891373801917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.15625,0.002264492753623189,0.22644927536231885,0.1565,0.02,,,,,,,,,0.0,0.0,0.0,,0.0,,0.003125,Financial Services
1987-06-30,TROW,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.999999999999998,0.4799999999999999,0.4799999999999999,0.0,6.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.125,0.002604166666666667,0.2604166666666667,0.175,0.025,,,,,,,,,0.0,0.0,0.0,,0.0,,0.003125,Financial Services
1987-09-30,TROW,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.20118343195266272,0.20118343195266272,0.20118343195266272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666679411765,0.4333333339705883,0.4333333339705883,0.0,6.974358984615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.10416666681985295,0.003004807692307693,0.3004807692307693,0.14911764683953288,0.029999999955882352,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0031250000000000006,Financial Services
1987-12-31,TROW,1987,Q4,USD,1.0,3.860606060606061,3.860606060606061,3.860606060606061,0.0,0.12424242424242424,0.12424242424242424,0.12424242424242424,0.0,0.0,0.0,0.0,0.41825095057034223,0.0,0.0,0.19523809523809524,0.0,7.774390243902438,-0.2355875831485588,-0.2355875831485588,2.202072538860104,3.8636363636363638,0.0,0.0,0.020278833967046894,0.027633851468048358,0.02689075630252101,0.02689075630252101,1.3626943005181347,0.0,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.21768292682926832,0.007000000000000001,0.7000000000000001,0.16176470588235295,0.020098039215686276,0.00784313725490196,0.0,0.2838235294117647,0.2838235294117647,0.2838235294117647,,,,0.0,0.0,2.202072538860104,0.012549019607843137,0.0,1.0133437990580847,0.004375,Financial Services
