date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,TSN,1985,Q4,USD,456908250.0,592508250.0,2.0354113706630024,0.0,0.0,-0.78405220325526,-0.1794362842397777,1.2324607329842932,0.0,0.9102589197848662,-0.9139531842552635,0.0,0.0,44400000.0,276500000.0,0.018451749734888653,0.0,0.01867754401030485,0.05623787976729153,,-2.6941176470588237,0.019041021911948404,,0.0,0.0,,0,0,,0.012089077412513256,,,,29.031260735142563,0.0,0.0,29.031260735142563,29.031260735142563,,,149000000.0,-81400000.0,Consumer Defensive
1985-12-31,TSN,1986,Q1,USD,585436140.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01844778492834419,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-03-31,TSN,1986,Q2,USD,910131360.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012415790177804663,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-06-30,TSN,1986,Q3,USD,1607296000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00833698335589711,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-09-30,TSN,1986,Q4,USD,1020929520.0,1132829520.0,2.4626728695652176,0.0,0.0,-1.2199327159164333,-0.12050398449278484,1.200844390832328,0.0,1.3501686547053764,-1.4102503863342104,0.0,0.0,66600000.0,420200000.0,0.019192848691994217,0.0,0.01933774834437086,0.07170923379174853,,-2.164064320671172,0.014300693352465702,,0.0,0.0,,0,0,,0.0074930984619429476,,,,27.410869565217393,0.0,0.0,27.410869565217393,27.410869565217393,,,197900000.0,-158900000.0,Consumer Defensive
1986-12-31,TSN,1987,Q1,USD,1160756640.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013353358891834553,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-03-31,TSN,1987,Q2,USD,1441215000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011171129914690037,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-06-30,TSN,1987,Q3,USD,1201012500.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014654302099270407,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-09-30,TSN,1987,Q4,USD,1376769060.0,1572169060.0,3.1286946467661694,0.0,0.0,-1.3826128396798874,-0.17184064726057516,1.2314935064935064,0.0,1.7536765924408966,-1.5817527523461343,0.0,0.0,71300000.0,492700000.0,0.023177987109568667,0.0,0.023337077249469613,0.06938775510204082,,-2.2796712109061747,0.013582524871673104,,0.0,0.0,,0,0,,0.006817055032226078,,,,24.698507462686567,0.0,0.0,24.698507462686567,24.698507462686567,,,264000000.0,-158000000.0,Consumer Defensive
1987-12-31,TSN,1988,Q1,USD,823757220.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02160830833142804,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-03-31,TSN,1988,Q2,USD,838587750.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021345410781400037,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-06-30,TSN,1988,Q3,USD,1237356750.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.017052479004135226,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-09-30,TSN,1988,Q4,USD,1077210420.0,1270010420.0,2.360614163568773,0.0,0.0,-0.9973381655410711,-0.1514056855662007,2.402095973524545,0.0,2.2719481727033366,-1.4793502461663897,0.0,0.0,254200000.0,689500000.0,0.02766842874817231,0.0,0.027834351663272233,0.07205623901581722,,-1.7990957897711217,0.022836763870145257,,0.0,0.0,,0,0,,0.005961084242492408,,,,25.99628252788104,0.0,0.0,25.99628252788104,25.99628252788104,,,336100000.0,-112200000.0,Consumer Defensive
1988-12-31,TSN,1989,Q1,USD,1100170500.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018088105434566733,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1989-03-31,TSN,1989,Q2,USD,956670000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02268284779495542,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1989-06-30,TSN,1989,Q3,USD,1145833331.25,1299933331.25,2.1447505877742947,0.0,0.0,25.095238055019305,2.974903474903475,2.016535433070866,0.0,2.7406037871646984,-1.6101818211094214,0.5813953488372093,0.9131274131274131,258200000.0,719500000.0,0.026771806853582554,0.0,0.026771806853582554,0.06740196078431372,0.038734764076871306,0.06699430936368339,0.024000000043636366,,0.0,0.0,,0,0,,0.0,,,,25.718528295660782,25.08534554537885,53.0932556203164,78.81178391597717,53.72643837059832,,,408000000.0,-107000000.0,Consumer Defensive
1989-09-30,TSN,1989,Q4,USD,1636833336.1799998,2954733336.18,3.302115932253017,119.1424732330645,-193.11982589411764,33.53840336186152,14.959137343927356,1.5961251862891208,0.7848101265822784,2.9436200800902226,-8.825478245520907,0.6147859922178989,0.583427922814983,280000000.0,2046600000.0,0.012219171725764665,0.04876428749342706,0.01717111340542303,0.07058297967388877,0.024943651982314123,0.041627291627291625,0.019305569664011903,-0.009347316957575383,1.6169354838709677,0.0,0.04481448368350469,0,0,0.0,0.2883879200340281,210600000.0,172950000.0,346050000.0,24.944121591417076,30.03778337531486,57.907745591939545,82.85186718335662,52.81408380804176,-1333200000.0,-7737354.0856031105,-298100000.0,-1388700000.0,Consumer Defensive
1989-12-31,TSN,1990,Q1,USD,1606166669.46,2955566669.46,3.2810464803063946,-187.0611816113924,-53.73757580836364,37.60262938244275,17.16793893129771,1.7624284077892325,-0.6869565217391305,2.583213363455954,-8.794043462966881,0.6005221932114883,0.5182679296346414,332800000.0,2112600000.0,0.008872087640796174,0.028541083325287247,0.012419006479481642,0.048553937090985856,0.020067189725674422,0.034278027737835705,0.014319809044308393,-0.034243021627693986,-2.481012658227848,8.340425531914894,0.043516873889875664,0,0,0.0,0.28560407344545596,233250000.0,199950000.0,437450000.0,21.830595026642985,23.092994674313804,57.296190086030315,79.1267851126733,56.0337904383595,-1404400000.0,-42921409.92167102,-266700000.0,-1349400000.0,Consumer Defensive
1990-03-31,TSN,1990,Q2,USD,1913830766.3200002,3298730766.32,3.539790499323962,121.27686640882354,-197.5287884023952,24.990384593333335,10.491666666666667,1.5905103668261562,1.0342205323193916,2.688158447612662,-8.3686882256558,0.6004566210045662,0.5461346633416458,296200000.0,2113700000.0,0.009893168823352392,0.030547726060790738,0.013858881804289402,0.052621048419367746,0.021329002127985743,0.037184718100890204,0.013742071902507253,-0.008725954401972286,1.6139705882352942,0.8474903474903475,0.04710805880459277,0,0,0.0,0.28614956364730665,239950000.0,190850000.0,482100000.0,25.245197982616162,23.912805045242667,61.447765286536885,86.69296326915304,62.78015822391038,-1401600000.0,92656621.0045662,-260900000.0,-1360800000.0,Consumer Defensive
