date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,TXN,128.45,129.87,127.74,128.89,4146900,0.44,0.34255,128.7375
2020-07-31,TXN,128.35,128.6,125.43,127.55,8044132,-0.8,-0.6233,127.4825
2020-08-03,TXN,128.15,129.5,127.68,129.32,4311843,1.17,0.91299,128.6625
2020-08-04,TXN,129.04,132.33,128.71,132.23,5361540,3.19,2.47,130.5775
2020-08-05,TXN,130.5,132.79,130.48,132.7,4370266,2.2,1.69,131.6175
2020-08-06,TXN,132.59,133.82,132.03,133.74,2961800,1.15,0.86734,133.045
2020-08-07,TXN,133.74,134.11,132.47,133.56,2856748,-0.18,-0.13459,133.47
2020-08-10,TXN,133.22,135.81,132.47,135.41,5526700,2.19,1.64,134.2275
2020-08-11,TXN,136.81,138.83,135.65,136.04,5383829,-0.77,-0.56282,136.8325
2020-08-12,TXN,137.47,139.14,136.65,138.64,3073749,1.17,0.85109,137.975
2020-08-13,TXN,138.11,138.6,136.95,137.15,2945103,-0.96,-0.6951,137.7025
2020-08-14,TXN,137.73,138.31,137.0,137.35,2062933,-0.38,-0.2759,137.5975
2020-08-17,TXN,137.86,139.24,137.63,138.28,2380521,0.42,0.30466,138.2525
2020-08-18,TXN,138.96,139.46,138.2,139.31,2760749,0.35,0.25187,138.9825
2020-08-19,TXN,139.67,140.88,138.03,138.48,3803285,-1.19,-0.85201,139.265
2020-08-20,TXN,137.31,139.13,136.62,138.57,2761200,1.26,0.91763,137.9075
2020-08-21,TXN,138.12,140.49,137.19,140.33,4382515,2.21,1.6,139.0325
2020-08-24,TXN,140.86,141.81,139.92,141.02,2841300,0.16,0.11359,140.9025
2020-08-25,TXN,141.58,142.22,140.98,141.66,2840700,0.08,0.05650516,141.61
2020-08-26,TXN,141.32,142.69,141.12,142.45,2974138,1.13,0.7996,141.895
2020-08-27,TXN,143.06,143.23,140.52,141.49,2801034,-1.57,-1.1,142.075
2020-08-28,TXN,141.51,143.59,141.1,143.49,2884765,1.98,1.4,142.4225
2020-08-31,TXN,142.65,143.27,141.82,142.15,4344600,-0.5,-0.35051,142.4725
2020-09-01,TXN,143.0,145.06,142.04,144.96,3564400,1.96,1.37,143.765
2020-09-02,TXN,146.45,148.37,145.49,147.64,4579461,1.19,0.81256,146.9875
2020-09-03,TXN,147.0,147.44,140.56,141.67,5866400,-5.33,-3.63,144.1675
2020-09-04,TXN,140.85,142.52,137.71,140.47,5251718,-0.38,-0.26979,140.3875
2020-09-08,TXN,136.2,138.71,135.75,136.04,5893700,-0.16,-0.11747,136.675
2020-09-09,TXN,138.21,140.85,137.19,139.68,5418553,1.47,1.06,138.9825
2020-09-10,TXN,139.42,141.25,136.22,137.19,3985960,-2.23,-1.6,138.52
2020-09-11,TXN,138.22,139.0,135.25,136.37,3524401,-1.85,-1.34,137.21
