date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,TXT,34.47,37.09,34.3,35.14,2209933,0.67,1.94,35.25
2020-07-31,TXT,35.71,35.71,34.18,34.94,1805900,-0.77,-2.16,35.135
2020-08-03,TXT,34.97,36.0,34.0,35.9,1410027,0.93,2.66,35.2175
2020-08-04,TXT,35.8,36.3,35.59,35.91,1223001,0.11,0.30726,35.9
2020-08-05,TXT,36.4,36.92,35.96,36.5,1298332,0.1,0.27473,36.445
2020-08-06,TXT,36.41,37.34,36.32,37.03,1593400,0.62,1.7,36.775
2020-08-07,TXT,36.98,37.61,36.78,37.58,990300,0.6,1.62,37.2375
2020-08-10,TXT,37.68,38.93,37.68,38.86,1045400,1.18,3.13,38.2875
2020-08-11,TXT,39.95,40.35,38.54,38.68,1627547,-1.27,-3.18,39.38
2020-08-12,TXT,39.29,39.39,37.64,38.19,1607630,-1.1,-2.8,38.6275
2020-08-13,TXT,37.69,38.28,37.22,37.39,727719,-0.3,-0.79597,37.645
2020-08-14,TXT,37.03,38.83,37.01,38.49,1938800,1.46,3.94,37.84
2020-08-17,TXT,38.73,38.89,37.71,37.84,1611230,-0.89,-2.3,38.2925
2020-08-18,TXT,37.63,37.85,37.18,37.24,1204682,-0.39,-1.04,37.475
2020-08-19,TXT,37.29,38.16,37.07,37.71,1071049,0.42,1.13,37.5575
2020-08-20,TXT,37.14,37.54,37.12,37.42,859800,0.28,0.7539,37.305
2020-08-21,TXT,37.28,37.73,37.26,37.6,1070400,0.32,0.85837,37.4675
2020-08-24,TXT,37.74,39.3,37.74,39.29,1105519,1.55,4.11,38.5175
2020-08-25,TXT,39.63,39.72,38.46,38.66,706900,-0.97,-2.45,39.1175
2020-08-26,TXT,38.38,38.92,38.03,38.83,868400,0.45,1.17,38.54
2020-08-27,TXT,38.84,39.9,38.84,39.32,850900,0.48,1.24,39.225
2020-08-28,TXT,39.38,39.99,39.34,39.97,626914,0.59,1.5,39.67
2020-08-31,TXT,40.0,40.0,39.25,39.43,1364351,-0.57,-1.43,39.67
2020-09-01,TXT,38.94,39.54,38.76,39.4,1767500,0.46,1.18,39.16
2020-09-02,TXT,39.5,40.67,39.41,40.61,1611100,1.11,2.81,40.0475
2020-09-03,TXT,40.82,41.08,38.7,39.01,1089607,-1.81,-4.43,39.9025
