date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,UDR,1985,Q3,USD,56228574.239999995,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0035569103912601713,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1985-12-31,UDR,1985,Q4,USD,56316420.0,79316420.0,14.688225925925925,0.0,0.0,4.693279289940828,1.3609467455621302,0.0,0.0,2.0993123984352304,-2.73224043715847,0.0,0.0,0.0,0.0,0.003048780487804878,0.0,0.003048780487804878,0.011527377521613832,0.0,0.1288109756097561,0.007102724214358796,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,108200000.0,-23000000.0,Real Estate
1986-03-31,UDR,1986,Q1,USD,55222080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1986-06-30,UDR,1986,Q2,USD,58982000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033908650096639652,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1986-09-30,UDR,1986,Q3,USD,64290380.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.003110885329966941,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1986-12-31,UDR,1986,Q4,USD,84400000.0,169200000.0,22.864864864864863,0.0,0.0,7.726027397260274,3.872146118721461,0.0,0.0,4.03998762374342,-8.48,0.0,0.0,0.0,0.0,0.008855585831062671,0.0,0.008855585831062671,0.023297491039426525,0.0,0.14918256130790192,0.015402843601895736,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,62000000.0,-84800000.0,Real Estate
1987-03-31,UDR,1987,Q1,USD,90000000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1987-06-30,UDR,1987,Q2,USD,88800000.00000001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1987-09-30,UDR,1987,Q3,USD,92500000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.002162162162162162,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Real Estate
1987-12-31,UDR,1987,Q4,USD,141548160.0,213548160.0,31.872859701492537,0.0,0.0,9.125989743589743,3.076923076923077,0.0,0.0,1.2930718201165066,-4.354136429608127,0.0,0.0,0.0,0.0,0.0024798512089274642,0.0,0.0024798512089274642,0.007874015748031496,0.0,0.14507129572225666,0.00282589332139676,,0.0,0.0,,0.0,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,89300000.0,-72000000.0,Real Estate
