date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ULTA,200.26,200.7693,196.21,198.61,938558,-1.65,-0.82393,198.76
2020-07-31,ULTA,198.525,199.27,190.84,192.99,1307308,-5.535,-2.79,192.78
2020-08-03,ULTA,193.14,193.685,188.1793,191.29,1238959,-1.85,-0.95785,190.51
2020-08-04,ULTA,191.58,199.11,191.29,198.49,1099395,6.91,3.61,195.96
2020-08-05,ULTA,199.88,203.3,198.11,201.96,913527,2.08,1.04,201.14
2020-08-06,ULTA,200.85,206.595,200.85,204.01,816788,3.16,1.57,204.39
2020-08-07,ULTA,204.0,204.37,201.41,203.88,564633,-0.12,-0.05882353,203.15
2020-08-10,ULTA,205.36,220.45,205.02,219.12,1666029,13.76,6.7,216.3
2020-08-11,ULTA,221.93,226.3574,214.67,216.19,1149049,-5.74,-2.59,218.75
2020-08-12,ULTA,217.84,218.72,212.33,217.78,584418,-0.06,-0.02754315,215.69
2020-08-13,ULTA,215.53,223.11,215.53,222.42,739515,6.89,3.2,221.14
2020-08-14,ULTA,222.52,226.59,219.1301,225.42,734563,2.9,1.3,224.75
2020-08-17,ULTA,226.43,229.0,220.44,224.08,701226,-2.35,-1.04,223.0
2020-08-18,ULTA,222.87,223.582,215.79,216.24,927125,-6.63,-2.97,217.47
2020-08-19,ULTA,215.24,218.37,212.165,213.36,846095,-1.88,-0.87344,214.12
2020-08-20,ULTA,208.5,210.01,203.9,205.4,1344764,-3.1,-1.49,206.19
2020-08-21,ULTA,204.39,215.2,203.99,214.0,1456727,9.61,4.7,212.87
2020-08-24,ULTA,214.94,222.5,210.48,222.5,1195387,7.56,3.52,218.59
2020-08-25,ULTA,223.27,224.0,217.5,219.78,870251,-3.49,-1.56,219.34
2020-08-26,ULTA,219.02,223.49,216.06,220.76,1023341,1.74,0.79445,220.72
2020-08-27,ULTA,222.49,226.14,219.61,223.95,2733018,1.46,0.65621,223.05
2020-08-28,ULTA,253.95,256.6,234.55,237.02,6579309,-16.93,-6.67,240.57
2020-08-31,ULTA,235.2,237.7,230.8,232.18,1307557,-3.02,-1.28,233.08
2020-09-01,ULTA,230.53,233.1,227.8201,232.88,1111823,2.35,1.02,230.59
2020-09-02,ULTA,233.61,238.14,230.0,237.66,904207,4.05,1.73,235.34
2020-09-03,ULTA,237.98,242.58,234.73,238.04,973386,0.06,0.0252122,238.14
2020-09-04,ULTA,239.33,244.0,236.23,240.51,1142536,1.18,0.49304,240.24
2020-09-08,ULTA,234.17,239.7216,233.025,233.25,976477,-0.92,-0.39288,235.89
2020-09-09,ULTA,233.72,237.13,232.2,235.4,990310,1.68,0.71881,235.07
2020-09-10,ULTA,239.2714,242.9,231.591,232.1,897854,-7.1714,-3.0,235.48
2020-09-11,ULTA,233.43,233.97,223.395,228.9,867643,-4.53,-1.94,228.49
2020-09-14,ULTA,230.995,234.63,230.19,234.14,796893,3.145,1.36,232.75
2020-09-15,ULTA,236.11,241.23,235.86,237.32,745614,1.21,0.51247,238.92
2020-09-16,ULTA,238.72,244.0,233.2499,239.94,1012664,1.22,0.51106,239.58
2020-09-17,ULTA,235.92,238.895,232.51,234.73,803371,-1.19,-0.50441,235.13
2020-09-18,ULTA,236.74,238.63,230.07,231.74,982533,-5.0,-2.11,233.08
2020-09-21,ULTA,226.79,227.08,220.53,225.88,900649,-0.91,-0.40125,224.63
2020-09-22,ULTA,227.2,230.5,222.1,223.96,702322,-3.24,-1.43,224.35
2020-09-23,ULTA,224.15,228.14,216.18,217.04,810663,-7.11,-3.17,220.29
2020-09-24,ULTA,215.85,221.87,212.06,215.59,758338,-0.26,-0.12045,216.42
2020-09-25,ULTA,215.0,218.28,212.33,216.83,692705,1.83,0.85116,215.62
2020-09-28,ULTA,221.69,227.93,219.07,225.74,765749,4.05,1.83,225.28
2020-09-29,ULTA,224.96,225.925,218.48,222.88,675530,-2.08,-0.92461,221.67
2020-09-30,ULTA,223.43,229.13,222.16,223.98,751295,0.55,0.24616,225.67
2020-10-01,ULTA,226.96,229.51,224.54,228.63,704186,1.67,0.73581,227.49
