date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,UNH,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.03237410071942446,0.03237410071942446,0.03237410071942446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.218999999999998,0.0,0.0,0.0,3.136273381294964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.07722222222222222,0.0025,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1985-12-31,UNH,1985,Q4,USD,1.0,-2.0249221183800623,-2.0249221183800623,-2.0249221183800623,0.0,0.024922118380062305,0.024922118380062305,0.024922118380062305,5.262295081967213,0.0,0.0,3.7325581395348837,0.7624703087885986,0.9575289575289575,0.9575289575289575,0.029850746268656716,0.6602316602316602,37.9759536,-2.3734970999999994,-2.3734970999999994,7.942683105882353,3.785764844859813,0.0,0.0,0.0,0.0,0.0,0.0,2.7516339869281046,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.08460905870445344,0.0021086369770580296,0.0,0.045072115384615384,0.040327682186234816,0.040327682186234816,0.040327682186234816,,,,0.0,0.0,7.942683105882353,0.0,0.0,-1.6065084849230769,,Healthcare
1986-03-31,UNH,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.875,2.4609375,2.4609375,0.0,4.986702127659575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.094,0.0025,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-06-30,UNH,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.024489795918367346,0.024489795918367346,0.024489795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.452999999999996,0.0,0.0,0.0,3.864783673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10208333333333333,0.0025,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-09-30,UNH,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.046181172291296625,0.046181172291296625,0.046181172291296625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.635333342598075,0.048176666712990375,0.048176666712990375,0.0,1.7798839567143871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.16240384599768862,0.007499999992788462,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1986-12-31,UNH,1986,Q4,USD,1.0,-1.9228571428571428,-1.9228571428571428,-1.9228571428571428,0.0,0.02142857142857143,0.02142857142857143,0.02142857142857143,2.0114942528735633,0.0,0.0,4.191616766467066,0.35317860746720486,1.2175141242937852,1.2175141242937852,0.0104675505931612,0.6850282485875706,21.47220672,-0.3220831008,-0.3220831008,2.3466892590163932,1.8404748617142859,0.0,0.0,0.2669021190716448,0.9635701275045537,0.4907235621521336,0.4907235621521336,3.610200364298725,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.1422024312552818,0.0030471949554703244,0.10746440876292011,0.09852597022687382,0.11152733537021388,-0.040222973412208284,0.11152733537021388,,,,0.0,0.0,2.3466892590163932,0.41060831714397106,0.0,-0.9898457676077267,,Healthcare
1987-03-31,UNH,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.005758157389635317,0.005758157389635317,0.005758157389635317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.054706,0.0,0.0,0.0,1.152891500959693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2134546050475254,0.0012291052114060963,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-06-30,UNH,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.0063006300630063005,0.0063006300630063005,0.0063006300630063005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.342637714285715,0.0,0.0,0.0,0.9159260630063005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.22603352864583334,0.0014241536458333333,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-09-30,UNH,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.11469534050179211,-0.11469534050179211,-0.11469534050179211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.875,0.0017045454545454545,0.0017045454545454545,0.0,0.8602150537634409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21796875,-0.025,,,,,,,,,0.0,0.0,0.0,,0.0,,,Healthcare
1987-12-31,UNH,1987,Q4,USD,1.0,-3.199815837937385,-3.199815837937385,-3.199815837937385,0.0,-0.03867403314917127,-0.03867403314917127,-0.03867403314917127,3.5723684210526314,0.0,0.0,6.3882352941176475,0.5166508087535681,0.9762886597938144,0.9762886597938144,-0.024896265560165973,0.6298969072164948,-3.726206596,0.0532315228,0.0532315228,1.5084402605493976,0.5764297496574586,0.0,0.0,0.2987630827783064,1.5132530120481928,0.6021093000958773,0.5603813559322034,5.065060240963855,0.0,,,0.0,-35.101010101010104,0.0,,,0.0,0.0,,,,0.19652004440665363,-0.007600222711859533,0.1136414253106616,0.11056514468919464,0.07509743870051681,-0.06369710463272751,0.07509743870051681,,,,0.0,0.0,1.5084402605493976,1.0031905482932697,0.0,-0.18503675054043167,,Healthcare
