date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,UNH,301.68,306.46,298.89,305.23,2205343,3.55,1.18,303.065
2020-07-31,UNH,303.44,303.74,298.05,302.78,3913650,-0.66,-0.21751,302.0025
2020-08-03,UNH,303.59,304.91,299.2,303.61,2628889,0.02,0.00658783,302.8275
2020-08-04,UNH,301.91,308.86,300.07,304.5,3595182,2.59,0.85787,303.835
2020-08-05,UNH,306.83,312.96,305.02,312.47,3014732,5.64,1.84,309.32
2020-08-06,UNH,312.0,316.24,310.4,314.06,3305601,2.06,0.66026,313.175
2020-08-07,UNH,313.34,319.0,313.34,317.03,2600800,3.69,1.18,315.6775
2020-08-10,UNH,317.0,320.47,315.58,319.1,2563849,2.1,0.66246,318.0375
2020-08-11,UNH,322.92,324.57,314.66,315.55,3018248,-7.37,-2.28,319.425
2020-08-12,UNH,318.0,323.29,317.64,322.27,2916495,4.27,1.34,320.3
2020-08-13,UNH,320.68,321.87,317.84,321.52,2159587,0.84,0.26194,320.4775
2020-08-14,UNH,320.54,323.93,318.73,323.7,1787375,3.16,0.98584,321.725
2020-08-17,UNH,321.45,323.8,319.35,320.51,2772500,-0.94,-0.29242,321.2775
2020-08-18,UNH,321.98,322.67,315.71,316.81,2520285,-5.17,-1.61,319.2925
2020-08-19,UNH,316.77,319.49,315.18,315.4,2066700,-1.37,-0.43249,316.71
2020-08-20,UNH,314.83,315.28,312.01,313.33,2245791,-1.5,-0.47645,313.8625
2020-08-21,UNH,311.28,315.28,310.09,314.14,2488500,2.86,0.91879,312.6975
2020-08-24,UNH,316.81,316.9,306.49,308.84,2922446,-7.97,-2.52,312.26
2020-08-25,UNH,312.2,312.36,307.8,312.22,1879520,0.02,0.00640615,311.145
2020-08-26,UNH,310.98,311.36,303.61,308.82,3178972,-2.16,-0.69458,308.6925
2020-08-27,UNH,310.41,314.77,305.49,311.67,2321100,1.26,0.40591,310.585
2020-08-28,UNH,312.34,315.82,308.97,314.37,2883586,2.03,0.64993,312.875
2020-08-31,UNH,314.89,319.56,312.54,312.55,4341600,-2.34,-0.74312,314.885
2020-09-01,UNH,310.16,314.72,310.0,312.83,2487188,2.67,0.86085,311.9275
2020-09-02,UNH,312.56,321.28,312.56,320.24,2846500,7.68,2.46,316.66
2020-09-03,UNH,322.0,323.82,313.73,316.23,3872533,-5.77,-1.79,318.945
2020-09-04,UNH,316.48,317.83,306.63,312.0,2901147,-4.48,-1.42,313.235
2020-09-08,UNH,311.03,311.46,303.83,307.25,2594530,-3.78,-1.22,308.3925
2020-09-09,UNH,309.68,315.32,308.42,312.02,2195680,2.34,0.75562,311.36
2020-09-10,UNH,312.73,314.44,303.72,304.6,2421619,-8.13,-2.6,308.8725
2020-09-11,UNH,305.07,306.46,297.29,301.48,3086088,-3.59,-1.18,302.575
2020-09-14,UNH,303.01,311.12,303.01,308.57,1795515,5.56,1.83,306.4275
2020-09-15,UNH,310.05,311.46,306.05,307.23,1468486,-2.82,-0.90953,308.6975
2020-09-16,UNH,309.07,312.25,306.2,306.52,3438228,-2.55,-0.82506,308.51
2020-09-17,UNH,304.5,307.38,302.11,304.98,2394205,0.48,0.15764,304.7425
2020-09-18,UNH,305.01,310.39,303.77,308.02,3795806,3.01,0.98685,306.7975
2020-09-21,UNH,300.47,300.53,291.66,299.19,4124741,-1.28,-0.426,297.9625
2020-09-22,UNH,298.44,300.62,292.92,294.26,3163604,-4.18,-1.4,296.56
2020-09-23,UNH,295.0,296.1,291.83,292.14,3710122,-2.86,-0.96949,293.7675
2020-09-24,UNH,292.19,294.93,289.64,292.66,2869110,0.47,0.16085,292.355
2020-09-25,UNH,291.25,303.27,291.22,302.5,2455819,11.25,3.86,297.06
2020-09-28,UNH,306.39,310.01,302.83,303.23,2575710,-3.16,-1.03,305.615
2020-09-29,UNH,303.67,305.5,300.68,304.15,1797818,0.48,0.15807,303.5
2020-09-30,UNH,304.02,314.52,303.99,311.77,3497316,7.75,2.55,308.575
2020-10-01,UNH,312.91,315.17,309.15,313.07,2731236,0.16,0.05113291,312.575
2020-10-02,UNH,312.1,317.39,308.36,311.98,2338048,-0.12,-0.03844921,312.4575
2020-10-05,UNH,315.07,318.42,313.12,318.15,1638618,3.08,0.97756,316.19
2020-10-06,UNH,318.95,320.3,313.49,314.45,2434408,-4.5,-1.41,316.7975
2020-10-07,UNH,315.82,324.74,315.82,323.17,2596600,7.35,2.33,319.8875
2020-10-08,UNH,323.43,325.35,320.99,322.41,2056700,-1.02,-0.31537,323.045
