date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,UNP,1985,Q3,USD,3755294119.2900004,,,0.0,0.0,,,0.0,0.0,,,1.0,0.06302521008403361,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03195488720406485,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-12-31,UNP,1985,Q4,USD,4245845453.3100004,5984845453.31,2.9554792362024696,0.0,0.0,-1.3104544456557916,-0.38077512590321877,1.0536672629695885,0.0,3.8952798901700927,-5.464791466187621,1.0,-0.02977884825925115,90000000.0,8407000000.0,0.012698412698412698,0.0,0.012698412698412698,0.031221303948576674,-0.49245201638990727,-0.5055906121997121,0.03203131190137322,,0.0,0.0,,0.0,0,,0.0,,,,33.68888888888889,0.0,0.0,33.68888888888889,33.68888888888889,,,4356000000.0,-4587000000.0,Industrials
1986-03-31,UNP,1986,Q1,USD,4311454544.2,,,0.0,0.0,,,0.0,0.0,,,1.0,0.05616692089779909,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02391304348521908,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-06-30,UNP,1986,Q2,USD,4082193349.1000004,,,0.0,0.0,,,0.0,0.0,,,1.0,-0.5229921062523494,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.20449790801409445,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-09-30,UNP,1986,Q3,USD,4504376468.25,,,0.0,0.0,,,0.0,0.0,,,1.0,0.07689851184773584,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02672955976230307,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-12-31,UNP,1986,Q4,USD,4726370371.92,7487370371.92,4.6398775310900415,0.0,0.0,-2.7204048875195292,-1.0031609926243505,0.8665549972082636,0.0,,-7.201752046819098,1.0,0.296261308723613,-239000000.0,7228000000.0,-0.07506213753106876,0.0,-0.07506213753106876,-0.23926056338028168,-0.5973521432447098,-0.30338403880070547,-0.17252139291588334,,0.0,0.0,,0.0,0,,0.0,,,,35.30395984383714,0.0,0.0,35.30395984383714,35.30395984383714,,,3408000000.0,-5903000000.0,Industrials
1987-03-31,UNP,1987,Q1,USD,5693333335.2,,,0.0,0.0,,,0.0,0.0,,,1.0,0.08549404344779257,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021428571421545667,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,UNP,1987,Q2,USD,5983301587.72,,,0.0,0.0,,,0.0,0.0,,,1.0,0.09694915254237288,,,0.0,0.0,0.0,0.0,0.0,0.0,0.023899848253260397,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-09-30,UNP,1987,Q3,USD,6136176471.38,,,0.0,0.0,,,0.0,0.0,,,1.0,0.1024454725710509,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02526002971442266,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,UNP,1987,Q4,USD,4102373768.78,6822373768.780001,4.464904298939791,0.0,0.0,-3.2302906102178035,-1.2878787878787878,0.8920127795527156,0.0,3.9010129172976087,-7.429671628644456,1.0,-0.0771780303030303,-169000000.0,8890000000.0,0.014928106969502702,0.0,0.01667860431801903,0.048110979929161746,-0.4450063211125158,-0.22578576010262988,0.03973309337156628,,0.0,0.0,,0.0,0,,0.10495466617822145,,,,42.17277486910995,0.0,0.0,42.17277486910995,42.17277486910995,,,2242000000.0,-6135000000.0,Industrials
1988-03-31,UNP,1988,Q1,USD,4843331145.52,,,0.0,0.0,,,0.0,0.0,,,1.0,0.08785463818935288,,,0.0,0.0,0.0,0.0,0.0,0.0,0.028451492549185428,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-06-30,UNP,1988,Q2,USD,4924235295.400001,,,0.0,0.0,,,0.0,0.0,,,1.0,0.09565325694357953,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03119266054233563,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-09-30,UNP,1988,Q3,USD,4601666668.339999,,,0.0,0.0,,,0.0,0.0,,,1.0,0.0981733801392277,,,0.0,0.0,0.0,0.0,0.0,0.0,0.035856573692140535,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-12-31,UNP,1988,Q4,USD,4886557378.200001,7803557378.200001,6.695458925954527,0.0,0.0,-2.2880977505351123,-0.8552998094121097,0.896236559139785,0.0,4.806559904842968,-7.337128621460459,1.0,-0.05500659727312711,-193000000.0,10022000000.0,0.015341838403663722,0.0,0.017532710280373832,0.04185631414547077,-0.649495334222053,-0.32894483024691357,0.03839103595445836,,0.0,0.0,,0.0,0,,0.1249591102387962,,,,54.98069498069498,0.0,0.0,54.98069498069498,54.98069498069498,,,2954000000.0,-6079000000.0,Industrials
1989-03-31,UNP,1989,Q1,USD,5031344263.48,,,0.0,0.0,,,0.0,0.0,,,1.0,0.08897485493230174,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02742805754749733,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1989-06-30,UNP,1989,Q2,USD,5035267604.64,9054267604.64,5.571856987470769,0.0,0.0,17.718723296751467,7.864970645792564,0.775774647887324,0.0,4.193687728324418,-8.934263982026499,0.7203791469194313,0.5780821917808219,-398000000.0,10018000000.0,0.012465146793505003,0.0,0.01419234360410831,0.04030761071333864,0.014297808296491393,0.02025146367213744,0.030187074835889945,,0.0,0.0,,0.0,0,,0.12169919632606199,,,,39.6,42.15613382899628,44.83271375464684,84.43271375464684,42.27657992565056,,,2287000000.0,-7046000000.0,Industrials
1989-09-30,UNP,1989,Q3,USD,5206000000.38,9313000000.380001,5.901774398212928,23.879487180461542,133.04285714828572,19.44258872730689,8.5741127348643,0.7515669515669515,2.846715328467153,4.255270454353326,-9.754215327755167,0.6255707762557078,0.6221590909090909,-436000000.0,10145000000.0,0.011057304277643261,0.017816465994142532,0.012578038927653324,0.03591087811271298,0.012634879645854469,0.02059238363892807,0.02631578947176335,0.013446023817689303,0.8205128205128205,-2.0779220779220777,0.20278833967046894,0.0,0,0.0,0.12090395480225989,676000000.0,257000000.0,270500000.0,36.330798479087456,48.220858895705526,50.24539877300614,86.57619725209359,38.35533835638807,-4037000000.0,-215799086.75799087,2317000000.0,-7256000000.0,Industrials
