date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1999-03-31,UPS,1999,Q1,USD,73906239151.17,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006751798031277585,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1999-06-30,UPS,1999,Q2,USD,77039307708.03,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0076324673402888244,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1999-09-30,UPS,1999,Q3,USD,74171716961.84999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0077792455619812365,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1999-12-31,UPS,1999,Q4,USD,82495588215.0,80715588215.0,10.84012734555466,0.0,0.0,-3.9427309600918328,0.08694802657288003,2.6531681753215817,0.0,11.392347555748742,-1.4492865932224568,0.0,0.0,6940000000.0,18519000000.0,0.02868550101983249,0.0,0.02868550101983249,0.05299021965688632,,-1.0863358981162112,0.008012549692685405,,0.0,0.0,,0.0,0,,0.0,,,,38.27961321514908,0.0,0.0,38.27961321514908,38.27961321514908,,,12474000000.0,569000000.0,Industrials
2000-03-31,UPS,2000,Q1,USD,75310102922.65001,76035102922.65001,10.53117769011773,55.908163913713246,72.7608640408134,-184.1043654301453,-1.7554479418886197,1.663003663003663,1.6728167281672817,10.72234484725029,-4.220934810386454,0.6004431314623339,-1.9454022988505748,3620000000.0,15082000000.0,0.038866048379386176,0.04927094470098496,0.038866048379386176,0.09049421193232413,0.038934254063807176,0.07006080993660241,0.01079536434620228,0.01387596032199432,0.23161764705882354,1.1130742049469964,0.04362880886426593,0.564404432132964,0,0.0,0.0,3236500000.0,1431500000.0,413000000.0,41.21052631578947,79.32546374367622,23.27150084317032,64.4820271589598,-14.843436584716429,320000000.0,2870091580.5022154,8984000000.0,-2854000000.0,Industrials
2000-06-30,UPS,2000,Q2,USD,67221311458.0,68037311458.0,9.340652314387698,51.621632365705615,70.14155820412371,-200.10973958235294,-2.4,1.669853869745625,1.8964028776978417,10.56227897322103,-3.9944028787323633,0.5996548748921484,-1.8484848484848484,3713000000.0,15163000000.0,0.03296182119990514,0.055424612527676595,0.03296182119990514,0.07504589137242199,0.04108047050641285,0.07489383605713551,0.01033898305352518,0.014429947571107085,0.26403641881638845,1.2125435540069687,0.047775947281713346,0.5549148819330039,0,0.0,0.0,3261000000.0,1417500000.0,433000000.0,39.736408566721586,63.66834170854271,20.402010050251256,60.13841861697284,-3.52992309156987,154000000.0,-529983606.55737704,9261000000.0,-2568000000.0,Industrials
2000-09-30,UPS,2000,Q3,USD,63836709704.700005,65436709704.700005,8.882409353155966,182.27495739470754,-290.8298209097778,-169.96547975246753,-4.1558441558441555,1.620751023313757,0.5113960113960114,10.684655899807796,-5.090491450816029,0.5994876174210076,-1.7245949926362298,3488000000.0,15209000000.0,0.032785354007098824,0.05463915099889404,0.032785354007098824,0.07576084610403626,0.040915003458103,0.07351358196669411,0.010996807373803524,-0.00352461774801395,1.626740947075209,1.9863945578231292,0.0792724311117144,0.5527351703542827,0,0.0,0.0,3299500000.0,1350000000.0,456000000.0,41.32889914483508,70.09239130434783,24.75,66.07889914483508,-4.013492159512751,-1825000000.0,-472052092.2288642,9266000000.0,-3039000000.0,Industrials
2000-12-31,UPS,2000,Q4,USD,66663265332.5,69388265332.5,8.78332472563291,-235.21445875423728,-58.06549400209205,-96.77582333682008,-3.800557880055788,1.5827593868029326,-0.4074585635359116,11.098130016869726,-6.820341723920008,0.6295652173913043,-1.1208576998050683,2623000000.0,14952000000.0,0.03342258332563937,0.0512606212564424,0.03342258332563937,0.0743708269131998,0.03908232118758435,0.06433191538954607,0.010860554105606225,-0.017925914580385966,-3.0508474576271185,2.912621359223301,0.11392405063291139,0.5515189873417722,0,0.0,0.0,3761500000.0,1553500000.0,457000000.0,47.164556962025316,70.73239436619718,17.239436619718308,64.40399358174362,-6.328400784453564,-3920000000.0,-371933913.04347825,9735000000.0,-4803000000.0,Industrials
2001-03-31,UPS,2001,Q1,USD,64240100000.0,66974100000.0,8.917989347536619,39.25797186400938,56.233501259445845,53.06980982567353,2.1664025356576864,1.689198606271777,3.068345323741007,9.601962175545196,-6.285651018600531,0.583420776495278,1.0095338983050848,2967000000.0,15431000000.0,0.02526928146161887,0.043238291537844954,0.02526928146161887,0.05918671492441984,0.03212256491964126,0.05333936037970392,0.008655030113589488,0.01853982170015302,0.3018757327080891,1.619496855345912,0.06857523302263649,0.5660452729693741,0,0.0,0.0,3928000000.0,1616500000.0,304500000.0,44.53262316910786,70.26039058587882,9.058587881822735,53.591211050930596,-16.669179534948228,-1543000000.0,35503672.61280167,9394000000.0,-5337000000.0,Industrials
2001-06-30,UPS,2001,Q2,USD,65140600000.0,67608600000.0,8.935844567803331,42.54789175582127,78.34136732329084,20.98342644320298,0.765983860955928,1.5080660835762876,2.522222222222222,10.526124489304904,-6.182342502218279,0.6098741529525653,0.32060831781502175,2614000000.0,15676000000.0,0.026479488903833222,0.04546347854569276,0.026479488903833222,0.06345688960515714,0.033346236316173145,0.05582667453209632,0.009671387736680349,0.013248266058341495,0.45689112649465075,2.1479289940828403,0.09595559080095163,0.5642347343378271,0,0.0,0.0,3824000000.0,1694000000.0,905000000.0,46.77240285487708,85.8237747653806,75.50052137643378,122.27292423131087,36.44914946593026,-1605000000.0,1930014520.8131657,9928000000.0,-6105000000.0,Industrials
