date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,V,195.2,196.56,192.12,194.06,10499400,-1.14,-0.58402,194.485
2020-07-31,V,194.42,194.69,189.44,190.4,14186004,-4.02,-2.07,192.2375
2020-08-03,V,191.8,193.34,190.21,190.69,11407911,-1.11,-0.57873,191.51
2020-08-04,V,191.13,192.94,190.08,192.29,8204000,1.16,0.60692,191.61
2020-08-05,V,193.56,198.18,193.1,196.1,8907332,2.54,1.31,195.235
2020-08-06,V,195.98,198.92,194.79,198.77,7480317,2.79,1.42,197.115
2020-08-07,V,197.59,197.98,195.3,196.36,5654000,-1.23,-0.6225,196.8075
2020-08-10,V,196.36,198.31,195.33,196.79,5525401,0.43,0.21899,196.6975
2020-08-11,V,197.82,202.89,196.34,197.77,11549610,-0.05,-0.0252755,198.705
2020-08-12,V,199.0,200.23,198.24,198.74,5432755,-0.26,-0.13065,199.0525
2020-08-13,V,197.13,199.94,197.03,197.58,7014804,0.45,0.22828,197.92
2020-08-14,V,197.01,198.07,195.77,196.64,5014416,-0.37,-0.18781,196.8725
2020-08-17,V,197.3,200.46,196.71,199.43,6256203,2.13,1.08,198.475
2020-08-18,V,199.98,200.1,196.82,199.01,6519900,-0.97,-0.48505,198.9775
2020-08-19,V,198.92,202.84,198.9,200.99,9467600,2.07,1.04,200.4125
2020-08-20,V,199.9,204.44,199.6,204.15,8849200,4.25,2.13,202.0225
2020-08-21,V,204.5,205.14,203.34,204.13,9998308,-0.37,-0.18093,204.2775
2020-08-24,V,205.01,206.45,204.67,206.41,6159600,1.4,0.68289,205.635
2020-08-25,V,207.19,208.2,205.54,208.1,5828348,0.91,0.43921,207.2575
2020-08-26,V,208.1,210.8,207.3,210.26,7035221,2.16,1.04,209.115
2020-08-27,V,211.21,212.18,209.05,211.03,8619600,-0.18,-0.08522324,210.8675
2020-08-28,V,212.0,216.16,211.22,215.71,7349837,3.71,1.75,213.7725
2020-08-31,V,215.54,215.96,211.56,211.99,9326900,-3.55,-1.65,213.7625
2020-09-01,V,212.21,213.89,211.12,213.35,5648766,1.14,0.5372,212.6425
2020-09-02,V,214.13,217.35,213.77,216.48,9863801,2.35,1.1,215.4325
2020-09-03,V,214.93,214.93,207.09,208.96,11310200,-5.97,-2.78,211.4775
2020-09-04,V,208.49,210.5,200.15,204.66,13243604,-3.83,-1.84,205.95
2020-09-08,V,200.78,202.25,199.21,200.12,14186900,-0.66,-0.32872,200.59
2020-09-09,V,204.35,206.29,201.95,204.06,7532626,-0.29,-0.14191,204.1625
