date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2022-04-01,VLTO,2022,Q1,USD,19835660000,19835660000.0,16.92462457337884,354.2082142857143,431.21,77.483046875,0.0,0.0,0.3111111111111111,14.630485396430528,0.0,0.7792207792207793,1.0,0.0,0.0,0.0,0.0,0.0,0.056232427366447985,0.0,0.0,0.009074565706409568,0.0023190556805268896,0.17857142857142858,0.4,0.008532423208191127,0,0.04863481228668942,0.00938566552901024,0.0,,,,0.0,0.0,0.0,0.0,0.0,46000000.0,,0.0,0.0,Industrials
2022-07-01,VLTO,2022,Q2,USD,19835660000,,,,,,,0.0,0.9523809523809523,,,0.7649006622516556,0.9710610932475884,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011645692656558945,0.010586993324144495,0.045454545454545456,0.43478260869565216,0.008123476848090982,0,0.04467912266450041,0.008935824532900082,0.0,,,,,,,,,,,,,Industrials
2022-09-30,VLTO,2022,Q3,USD,19851780000,19851780000.0,16.28529942575882,77.24428015564202,79.09075697211155,64.87509803921569,0.0,0.0,1.1788990825688073,0.0,0.0,0.7649122807017544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010981383029632608,0.012643702479072406,0.023346303501945526,0.2857142857142857,0.004922067268252666,0,0.04265791632485644,0.006562756357670222,0.0,,,,0.0,0.0,0.0,0.0,0.0,251000000.0,,0.0,0.0,Industrials
2022-12-31,VLTO,2022,Q4,USD,19835660000,20081660000.0,15.975863166268894,59.58949554896142,61.038480243161096,71.21156028368794,0.8723404255319149,1.1398040961709706,1.5601851851851851,9.805320220490957,-3.7525396180414465,0.6956521739130435,0.44061302681992337,157000000.0,3359000000.0,0.016580310880829015,0.1077720207253886,0.0427807486631016,0.02472952086553323,0.04802696899027916,0.07023230686115613,0.004033140313959808,0.016586289541159708,0.02373887240356083,0.38095238095238093,0.006364359586316627,0,0.042163882259347654,0.008750994431185362,0.6124352331606218,408000000.0,220000000.0,172500000.0,58.424821002386636,73.74301675977654,57.82122905027933,116.24605005266596,42.50303329288943,83000000.0,37565217.391304344,285000000.0,-305000000.0,Industrials
2023-03-31,VLTO,2023,Q1,USD,19835660000,19954660000.0,16.28951836734694,127.91448717948718,135.74598639455783,63.54987261146497,0.37898089171974525,1.2592592592592593,0.6933333333333334,16.716259048768798,-2.8778951645672493,0.7705479452054794,1.0,266000000.0,3588000000.0,0.04643962848297214,0.06039296794208893,0.11930010604453871,0.06730481603350284,0.0589159465828751,0.0764598062319979,0.01134320713301196,0.007410895326901147,0.057692307692307696,0.4090909090909091,0.007346938775510204,0,0.045714285714285714,0.007346938775510204,0.6107327141382869,817500000.0,425000000.0,347000000.0,60.17142857142857,69.75425330812854,59.37618147448015,119.54761004590873,49.79335673778019,28000000.0,129000000.0,389000000.0,-205000000.0,Industrials
2023-06-30,VLTO,2023,Q2,USD,19835660000,22165660000.0,17.69007182761373,73.64006644518273,76.69778546712803,69.92321766561514,7.350157728706624,1.4826216484607746,1.4401913875598087,8.934069893351593,-12.335432750914263,0.76,0.9322033898305084,486000000.0,3696000000.0,0.041044776119402986,0.05816644862634598,0.09807602064758329,0.20330739299610895,0.053767441860465115,0.07074663402692778,0.010536579070219999,0.014569719384179806,0.03986710963455149,0.5454545454545454,0.009577015163607342,0,0.04549082202713488,0.010375099760574621,0.5815003927729773,814000000.0,401000000.0,341000000.0,58.10853950518755,65.21256931608133,55.39741219963032,113.50595170481787,48.293382388736546,-2041000000.0,14200000.0,-1928000000.0,-2566000000.0,Industrials
2023-09-30,VLTO,2023,Q3,USD,20827128000,23005128000.0,18.330779282868527,94.67130864197532,99.16003448275862,78.24873469387755,7.408163265306122,1.6054158607350097,1.1853658536585365,8.883875312856796,-11.859520909460008,0.7649253731343284,0.9605734767025089,626000000.0,3787000000.0,0.03972868217054264,0.05325790089738588,0.09123275478415666,0.197495183044316,0.05061188242018218,0.06616577799321377,0.009842931776287157,0.011139317912676198,0.04526748971193416,0.5238095238095238,0.008764940239043825,0,0.043824701195219126,0.010358565737051793,0.5645348837209302,812500000.0,373000000.0,324500000.0,58.517928286852595,59.88721804511278,53.45864661654135,111.97657490339395,52.08935685828117,-1946000000.0,83414179.10447761,-1870000000.0,-2457000000.0,Industrials
2023-12-31,VLTO,2023,Q4,USD,20268864000,22283864000.0,17.301136645962732,84.72952091254753,92.46416597510374,72.3502077922078,6.542207792207792,1.6387351778656127,1.315,10.124571307054318,-11.258116883116884,0.7662835249042146,0.9125874125874126,808000000.0,4174000000.0,0.03513086246267346,0.052704321385791945,0.07317965605561653,0.14461315979754158,0.049127345465726384,0.06458897922312556,0.009867351224025184,0.011890158224950348,0.08365019011406843,1.0,0.017080745341614908,0,0.04425465838509317,0.015527950310559006,0.5199367644475672,821000000.0,392500000.0,306500000.0,57.71739130434782,71.56826568265683,49.31734317343174,107.03473447777955,35.46646879512272,-1774000000.0,37157088.12260538,-1571000000.0,-2231000000.0,Industrials
2024-03-31,VLTO,2024,Q1,USD,21613626000,23404626000.0,18.783808988764044,203.51848695652174,229.45711764705882,78.27634113712375,5.989966555183947,1.8313148788927336,0.625,10.032361721276137,-10.642972863507493,0.736,0.8532423208191127,961000000.0,4137000000.0,0.0322354590049054,0.0513990000877116,0.06580829756795423,0.1241565452091768,0.047374340949033394,0.06436731107205623,0.008513148140899634,0.004719245165063927,0.11304347826086956,0.6190476190476191,0.01043338683788122,0,0.048154093097913325,0.012038523274478331,0.5101611772950245,820500000.0,416500000.0,302500000.0,58.86837881219904,74.13934426229508,56.80327868852459,115.67165750072363,41.53231323842854,-1689000000.0,70648000.0,-1424000000.0,-2103000000.0,Industrials
2024-06-28,VLTO,2024,Q2,USD,23600184000,25172184000.0,19.54362111801242,100.28758565737051,104.8841,79.15781132075472,4.943396226415095,1.9605042016806722,1.2364532019704433,11.15907792024785,-9.829085760517799,0.7518518518518519,0.9060402684563759,1143000000.0,4451000000.0,0.03438929357953583,0.051502885195073636,0.06739707835325365,0.12184873949579832,0.04769864283974193,0.06344154466369616,0.008601627851715055,0.010169412238480852,0.043824701195219126,0.55,0.008540372670807454,0,0.04736024844720497,0.015527950310559006,0.4897509740809758,809000000.0,399500000.0,310000000.0,56.11024844720497,68.18702290076337,53.587786259541986,109.69803470674695,41.511011805983586,-1332000000.0,51051851.85185185,-1219000000.0,-1898000000.0,Industrials
