date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,VTRS,16.69,16.69,16.3,16.33,3486934,-0.36,-2.16,16.5025
2020-07-31,VTRS,16.3,16.36,15.88,16.11,2986494,-0.19,-1.17,16.1625
2020-08-03,VTRS,16.16,16.47,15.95,16.36,3025381,0.2,1.24,16.235
2020-08-04,VTRS,16.42,16.57,16.25,16.32,3751900,-0.1,-0.60901,16.39
2020-08-05,VTRS,16.42,17.13,16.23,16.9,6507184,0.48,2.92,16.67
2020-08-06,VTRS,17.26,17.69,16.15,16.42,5959912,-0.84,-4.87,16.88
2020-08-07,VTRS,16.21,16.42,16.01,16.36,3873739,0.145,0.92535,16.25
2020-08-10,VTRS,16.36,16.57,16.27,16.36,2160417,0.0,0.0,16.39
2020-08-11,VTRS,16.6,16.86,16.56,16.64,5807733,0.04,0.24096,16.665
2020-08-12,VTRS,16.7,16.81,16.07,16.18,4920823,-0.52,-3.11,16.44
2020-08-13,VTRS,16.23,16.55,16.05,16.14,4371822,-0.09,-0.55453,16.2425
2020-08-14,VTRS,16.0,16.3,15.91,16.19,4435536,0.19,1.19,16.1
2020-08-17,VTRS,16.23,16.52,15.95,16.25,3282227,0.02,0.12323,16.2375
2020-08-18,VTRS,16.38,16.41,15.99,16.19,6874828,-0.19,-1.16,16.2425
2020-08-19,VTRS,16.23,17.03,16.16,16.51,6349200,0.28,1.73,16.4825
2020-08-20,VTRS,16.33,16.45,16.09,16.34,5958575,0.01,0.06123699,16.3025
2020-08-21,VTRS,16.36,16.44,15.85,15.99,5361453,-0.37,-2.26,16.16
2020-08-24,VTRS,16.04,16.36,15.97,16.33,5328700,0.2869,1.81,16.175
2020-08-25,VTRS,16.49,16.54,15.93,16.03,5186212,-0.46,-2.79,16.2475
2020-08-26,VTRS,15.97,16.47,15.88,16.31,4717527,0.34,2.13,16.1575
2020-08-27,VTRS,16.32,16.46,16.15,16.18,3048900,-0.14,-0.85784,16.2775
2020-08-28,VTRS,16.16,16.26,16.06,16.23,2333849,0.07,0.43317,16.1775
2020-08-31,VTRS,16.2,16.51,16.01,16.38,5010600,0.18,1.11,16.275
2020-09-01,VTRS,16.3,16.34,15.42,15.5,9444070,-0.8,-4.91,15.89
2020-09-02,VTRS,15.5,15.89,15.33,15.71,5851300,0.21,1.35,15.6075
2020-09-03,VTRS,15.76,16.2,15.35,15.46,5809821,-0.3,-1.9,15.6925
2020-09-04,VTRS,15.64,15.92,15.39,15.81,8787742,0.17,1.09,15.69
2020-09-08,VTRS,15.81,15.91,15.53,15.64,5113500,-0.175,-1.08,15.7225
2020-09-09,VTRS,15.69,15.73,15.06,15.25,7411246,-0.44,-2.8,15.4325
2020-09-10,VTRS,15.27,15.44,15.02,15.06,6296339,-0.21,-1.38,15.1975
2020-09-11,VTRS,15.15,15.62,15.05,15.33,5763892,0.18,1.19,15.2875
2020-09-14,VTRS,15.46,15.84,15.29,15.77,4235022,0.31,2.01,15.59
2020-09-15,VTRS,15.87,16.23,15.7,15.95,3920636,0.08,0.5041,15.9375
2020-09-16,VTRS,16.02,16.22,15.4,16.0,8703895,-0.02,-0.12484,15.91
2020-09-17,VTRS,15.86,16.22,15.61,16.16,3781241,0.3,1.89,15.9625
2020-09-18,VTRS,16.16,16.19,15.61,15.73,6494100,-0.43,-2.66,15.9225
2020-09-21,VTRS,15.45,15.46,14.61,14.78,6813417,-0.67,-4.34,15.075
2020-09-22,VTRS,14.75,14.95,14.49,14.82,5311106,0.07,0.47458,14.7525
2020-09-23,VTRS,14.82,14.88,14.31,14.37,5600733,-0.45,-3.04,14.595
2020-09-24,VTRS,14.29,14.43,14.02,14.21,4530547,-0.08,-0.55983,14.2375
2020-09-25,VTRS,14.11,14.48,14.09,14.42,2902288,0.31,2.2,14.275
2020-09-28,VTRS,14.64,14.84,14.57,14.64,4504367,0.0,0.0,14.6725
2020-09-29,VTRS,14.63,14.9,14.54,14.57,3163600,-0.06,-0.41012,14.66
2020-09-30,VTRS,14.6,14.99,14.59,14.83,3344608,0.23,1.58,14.7525
2020-10-01,VTRS,14.84,15.22,14.71,14.8,4538900,-0.04,-0.26954,14.8925
2020-10-02,VTRS,14.64,15.16,14.59,14.89,4188342,0.25,1.71,14.82
2020-10-05,VTRS,15.06,15.33,14.97,15.09,6272201,0.03,0.1992,15.1125
2020-10-06,VTRS,15.17,15.3,14.83,14.87,4125860,-0.3,-1.98,15.0425
2020-10-07,VTRS,14.96,15.21,14.85,14.91,6188503,-0.05,-0.33422,14.9825
2020-10-08,VTRS,15.08,15.76,14.92,15.72,5484716,0.64,4.24,15.37
2020-10-09,VTRS,15.87,15.97,15.47,15.64,3447702,-0.23,-1.45,15.7375
2020-10-12,VTRS,15.82,16.0,15.67,15.98,3196700,0.16,1.01,15.8675
2020-10-13,VTRS,15.72,15.85,15.45,15.59,3709350,-0.13,-0.82697,15.6525
2020-10-14,VTRS,15.58,15.87,15.53,15.55,3042984,-0.03,-0.19255,15.6325
2020-10-15,VTRS,15.39,15.75,15.26,15.74,2572000,0.345,2.27,15.535
2020-10-16,VTRS,15.82,16.08,15.58,15.71,7066228,-0.11,-0.69532,15.7975
2020-10-19,VTRS,15.73,15.81,15.39,15.42,3190000,-0.31,-1.97,15.5875
2020-10-20,VTRS,15.66,15.81,15.25,15.31,2838500,-0.35,-2.23,15.5075
2020-10-21,VTRS,15.08,15.53,15.08,15.14,3117870,0.06,0.39788,15.2075
2020-10-22,VTRS,15.21,15.73,15.08,15.6,3537048,0.39,2.56,15.405
2020-10-23,VTRS,15.75,15.8,15.44,15.69,2598019,-0.06,-0.38095,15.67
2020-10-26,VTRS,15.51,15.52,14.87,15.05,3514800,-0.46,-2.97,15.2375
2020-10-27,VTRS,14.77,15.04,14.42,14.46,3671700,-0.31,-2.1,14.6725
2020-10-28,VTRS,14.24,14.37,14.02,14.3,4895649,0.06,0.42135,14.2325
2020-10-29,VTRS,14.1,14.5,14.0,14.37,3548552,0.27,1.91,14.2425
2020-10-30,VTRS,14.38,14.89,14.34,14.54,9155620,0.16,1.11,14.5375
2020-11-02,VTRS,14.79,15.14,14.6,15.14,7260700,0.35,2.37,14.9175
2020-11-03,VTRS,15.3,15.51,15.11,15.14,6771539,-0.16,-1.05,15.265
2020-11-04,VTRS,15.3,15.52,14.93,15.08,10301600,-0.225,-1.44,15.2075
2020-11-05,VTRS,15.11,15.61,14.98,15.14,14470200,0.03,0.19854,15.21
2020-11-06,VTRS,15.47,15.47,14.47,14.65,9524500,-0.82,-5.3,15.015
2020-11-09,VTRS,15.34,15.77,15.03,15.12,11475200,-0.22,-1.43,15.315
2020-11-10,VTRS,15.22,16.0,15.1,15.64,18171900,0.42,2.76,15.49
2020-11-11,VTRS,15.71,16.1,15.43,15.7,9762900,-0.01,-0.06365372,15.735
2020-11-12,VTRS,15.63,15.7,15.25,15.51,12547800,-0.12,-0.76775,15.52
2020-11-13,VTRS,15.54,15.72,15.3,15.55,8508700,0.01000023,0.06435154,15.53
2020-11-16,VTRS,15.64,16.15,15.34,15.86,26574200,0.22,1.41,15.75
2020-11-17,VTRS,15.39,17.93,15.3,16.34,60532936,0.95,6.17,16.24
2020-11-18,VTRS,16.46,16.99,15.95,16.19,31517441,-0.27,-1.64,16.3975
2020-11-19,VTRS,16.0,18.2,15.99,18.11,35794100,2.11,13.19,17.075
2020-11-20,VTRS,18.4,18.42,17.0,17.13,38015407,-1.27,-6.9,17.7375
2020-11-23,VTRS,17.24,17.25,16.5,16.77,20718000,-0.4655,-2.73,16.94
2020-11-24,VTRS,16.74,17.0,16.29,16.9,23106200,0.165,0.95579,16.7325
2020-11-25,VTRS,16.68,17.31,16.55,17.07,15353800,0.39,2.34,16.9025
2020-11-27,VTRS,17.1,17.37,16.9,17.05,11024700,-0.05,-0.2924,17.105
2020-11-30,VTRS,17.03,17.16,16.8,16.82,21166326,-0.21,-1.23,16.9525
2020-12-01,VTRS,16.88,17.15,16.74,17.01,15395746,0.13,0.77014,16.945
2020-12-02,VTRS,16.93,17.27,16.84,17.13,22173216,0.1908,1.18,17.0425
2020-12-03,VTRS,17.14,17.47,16.94,17.37,16848400,0.2342,1.34,17.23
2020-12-04,VTRS,17.33,17.7,17.25,17.6,15946922,0.27,1.56,17.47
2020-12-07,VTRS,17.61,18.0,17.52,17.57,10008700,-0.04,-0.22714,17.675
2020-12-08,VTRS,17.41,17.93,17.41,17.84,9303100,0.43,2.47,17.6475
2020-12-09,VTRS,17.85,17.98,17.5,17.52,12701900,-0.33,-1.85,17.7125
2020-12-10,VTRS,17.32,17.85,17.3,17.69,9422500,0.37,2.14,17.54
2020-12-11,VTRS,17.5,17.75,17.08,17.34,15842700,-0.16,-0.91429,17.4175
2020-12-14,VTRS,17.34,17.53,17.08,17.33,16694100,-0.01,-0.05767013,17.32
2020-12-15,VTRS,17.4,17.87,17.2,17.73,13189112,0.33,1.9,17.55
2020-12-16,VTRS,17.62,18.27,17.56,17.86,17203789,0.24,1.36,17.8275
2020-12-17,VTRS,17.75,17.89,17.55,17.72,14485000,-0.03,-0.16901,17.7275
2020-12-18,VTRS,17.7,17.8,17.52,17.75,18226300,0.05,0.28249,17.6925
2020-12-21,VTRS,17.4,17.55,17.25,17.39,14799820,-0.01,-0.05747126,17.3975
2020-12-22,VTRS,17.43,17.84,17.27,17.74,11415468,0.31,1.78,17.57
2020-12-23,VTRS,17.75,18.04,17.66,17.88,6303400,0.1333,0.73239,17.8325
2020-12-24,VTRS,17.8,17.92,17.67,17.77,1946680,-0.03,-0.16854,17.79
2020-12-28,VTRS,17.86,17.88,17.62,17.74,4933935,-0.1161,-0.67189,17.775
2020-12-29,VTRS,17.66,17.8,17.52,17.75,4811911,0.0893,0.50963,17.6825
2020-12-30,VTRS,17.61,18.18,17.58,18.13,10332307,0.52,2.95,17.875
2020-12-31,VTRS,18.22,18.86,18.03,18.74,14376000,0.52,2.85,18.4625
2021-01-04,VTRS,18.66,18.77,18.21,18.54,12215605,-0.12,-0.64309,18.545
2021-01-05,VTRS,18.49,18.61,17.81,18.1,12217800,-0.39,-2.11,18.2525
2021-01-06,VTRS,18.17,18.68,18.1,18.49,8625100,0.32,1.76,18.36
2021-01-07,VTRS,18.52,18.69,18.36,18.52,7195100,0.0,0.0,18.5225
