date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,WBA,40.55,40.85,39.99,40.64,4505618,0.09,0.22195,40.5075
2020-07-31,WBA,40.25,40.89,40.08,40.71,11718126,0.46,1.14,40.4825
2020-08-03,WBA,40.58,41.18,39.95,41.08,4911763,0.5,1.23,40.6975
2020-08-04,WBA,40.84,41.07,40.48,40.93,5778500,0.09,0.22037,40.83
2020-08-05,WBA,40.85,41.4,40.58,40.81,6860335,-0.04,-0.09791922,40.91
2020-08-06,WBA,40.83,41.49,40.65,40.89,4699427,0.06,0.14695,40.965
2020-08-07,WBA,40.67,41.61,40.52,41.52,4538665,0.85,2.09,41.08
2020-08-10,WBA,41.63,42.9,41.52,42.86,4891874,1.23,2.95,42.2275
2020-08-11,WBA,43.38,44.05,41.72,41.85,6482621,-1.53,-3.53,42.75
2020-08-12,WBA,42.3,42.64,41.57,41.82,4930113,-0.48,-1.13,42.0825
2020-08-13,WBA,41.33,41.61,40.82,41.0,5690000,-0.33,-0.79845,41.19
2020-08-14,WBA,40.8,41.95,40.78,41.91,5687326,1.11,2.72,41.36
2020-08-17,WBA,41.91,41.97,40.81,41.18,5275600,-0.735,-1.74,41.4675
2020-08-18,WBA,40.65,41.54,40.44,40.76,4835900,0.11,0.2706,40.8475
2020-08-19,WBA,40.77,40.89,40.13,40.25,4973215,-0.5189,-1.28,40.51
2020-08-20,WBA,40.0,40.14,39.61,39.71,3645106,-0.29,-0.725,39.865
2020-08-21,WBA,39.53,39.92,39.3,39.46,5629500,-0.07,-0.17708,39.5525
2020-08-24,WBA,39.62,40.19,38.99,39.74,5500901,0.12,0.30288,39.635
2020-08-25,WBA,39.94,40.1,39.13,39.5,5564700,-0.44,-1.1,39.6675
2020-08-26,WBA,39.19,39.38,38.36,38.67,7776630,-0.52,-1.33,38.9
2020-08-27,WBA,38.65,39.45,38.46,39.34,6072537,0.69,1.79,38.975
2020-08-28,WBA,39.36,39.4,38.63,38.76,6035619,-0.6,-1.52,39.0375
2020-08-31,WBA,38.61,38.71,38.0,38.02,7940100,-0.59,-1.53,38.335
2020-09-01,WBA,37.89,37.96,36.5,36.76,10735745,-1.13,-2.98,37.2775
2020-09-02,WBA,36.9,37.57,36.68,37.17,7672400,0.27,0.73171,37.08
2020-09-03,WBA,37.27,38.33,36.74,37.09,8278005,-0.18,-0.48296,37.3575
2020-09-04,WBA,37.12,37.54,36.55,36.89,6994406,-0.23,-0.61961,37.025
2020-09-08,WBA,36.9,37.22,36.03,36.1,8261242,-0.7974,-2.17,36.5625
2020-09-09,WBA,36.09,36.27,35.23,35.35,9506332,-0.74,-2.05,35.735
2020-09-10,WBA,35.7,35.7,34.51,34.67,7892708,-1.03,-2.89,35.145
2020-09-11,WBA,34.71,35.25,33.88,34.7,9634509,-0.01,-0.02881014,34.635
2020-09-14,WBA,34.85,35.17,34.6,35.11,5742100,0.26,0.74605,34.9325
2020-09-15,WBA,35.2,35.7,34.87,35.27,8488407,0.07,0.19886,35.26
2020-09-16,WBA,35.39,36.89,35.22,36.28,8224335,0.89,2.51,35.945
2020-09-17,WBA,35.71,37.28,35.51,37.21,7251331,1.5,4.2,36.4275
2020-09-18,WBA,37.21,37.25,36.44,36.93,12824105,-0.28,-0.75249,36.9575
2020-09-21,WBA,36.75,36.87,35.59,35.79,7484713,-0.96,-2.61,36.25
2020-09-22,WBA,35.78,35.97,35.39,35.72,4399100,-0.06,-0.16769,35.715
2020-09-23,WBA,35.88,36.28,34.94,35.06,8479286,-0.82,-2.29,35.54
2020-09-24,WBA,35.18,35.26,34.52,35.03,5498600,-0.15,-0.42638,34.9975
2020-09-25,WBA,34.69,35.56,34.53,35.43,5955400,0.74,2.13,35.0525
2020-09-28,WBA,35.89,36.52,35.83,36.07,5901611,0.18,0.50153,36.0775
2020-09-29,WBA,35.8,36.27,35.35,35.38,5079568,-0.42,-1.17,35.7
2020-09-30,WBA,35.55,36.3,35.55,35.92,6679235,0.37,1.04,35.83
2020-10-01,WBA,35.84,36.12,35.54,35.87,4808900,0.03,0.08370536,35.8425
2020-10-02,WBA,35.32,35.96,35.28,35.77,5465000,0.45,1.27,35.5825
2020-10-05,WBA,36.02,36.67,35.95,36.62,4774900,0.6,1.67,36.315
2020-10-06,WBA,36.6,37.03,35.81,35.95,5123041,-0.65,-1.78,36.3475
2020-10-07,WBA,36.18,36.75,36.02,36.49,3687100,0.3131,0.85683,36.36
2020-10-08,WBA,36.65,37.09,36.59,37.07,3623700,0.42,1.15,36.85
2020-10-09,WBA,37.29,37.59,36.28,36.34,7423700,-0.95,-2.55,36.875
2020-10-12,WBA,36.62,37.71,36.42,36.93,8686607,0.31,0.84653,36.92
2020-10-13,WBA,36.9,37.09,35.7,36.18,8021142,-0.72,-1.95,36.4675
2020-10-14,WBA,36.32,36.81,35.65,35.91,8381970,-0.41,-1.13,36.1725
2020-10-15,WBA,36.35,38.22,36.31,37.64,16171845,1.29,3.55,37.13
2020-10-16,WBA,37.48,37.91,36.9,37.41,8563115,-0.07,-0.18677,37.425
2020-10-19,WBA,37.46,37.8,36.83,36.97,4865339,-0.49,-1.31,37.265
2020-10-20,WBA,37.15,37.77,36.72,37.49,6034347,0.34,0.91521,37.2825
2020-10-21,WBA,37.37,37.87,36.97,37.39,3708546,0.0237,0.05351887,37.4
2020-10-22,WBA,37.53,37.67,37.16,37.51,4082988,-0.02,-0.0532907,37.4675
2020-10-23,WBA,37.7,38.08,37.57,38.04,3875134,0.3425,0.90186,37.8475
2020-10-26,WBA,37.89,38.03,37.0,37.21,7692900,-0.68,-1.79,37.5325
2020-10-27,WBA,37.0,37.29,35.92,36.0,5661101,-1.0,-2.7,36.5525
2020-10-28,WBA,35.24,35.83,34.54,34.59,7287000,-0.65,-1.84,35.05
2020-10-29,WBA,34.37,34.48,33.46,33.52,9205332,-0.85,-2.47,33.9575
2020-10-30,WBA,33.37,34.05,33.36,34.04,10514343,0.67,2.01,33.705
2020-11-02,WBA,34.53,35.81,34.37,35.79,7448100,1.26,3.65,35.125
2020-11-03,WBA,36.37,37.62,36.32,37.37,7857100,1.0,2.75,36.92
2020-11-04,WBA,36.85,37.68,36.23,36.3,8564500,-0.555,-1.49,36.765
2020-11-05,WBA,36.32,37.59,36.07,37.53,6102724,1.21,3.33,36.8775
2020-11-06,WBA,37.69,38.17,37.17,37.31,6371082,-0.38,-1.01,37.585
2020-11-09,WBA,39.48,40.73,38.55,39.78,12109936,0.305,0.75988,39.635
2020-11-10,WBA,39.8,43.76,39.55,42.35,18133223,2.55,6.41,41.365
2020-11-11,WBA,42.52,42.75,41.31,41.44,7338328,-1.08,-2.54,42.005
2020-11-12,WBA,41.07,41.24,40.17,40.77,5860337,-0.3,-0.73046,40.8125
