date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,WFC,1985,Q3,USD,713237760.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1985-12-31,WFC,1985,Q4,USD,927950400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1986-03-31,WFC,1986,Q1,USD,1118212480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1986-06-30,WFC,1986,Q2,USD,1148310560.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1986-09-30,WFC,1986,Q3,USD,1125894400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1986-12-31,WFC,1986,Q4,USD,1118355200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1987-03-31,WFC,1987,Q1,USD,1200672000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1987-06-30,WFC,1987,Q2,USD,1285643040.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1987-09-30,WFC,1987,Q3,USD,1409122880.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1987-12-31,WFC,1987,Q4,USD,1091847680.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1988-03-31,WFC,1988,Q1,USD,1244108800.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1988-06-30,WFC,1988,Q2,USD,1399622400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1988-09-30,WFC,1988,Q3,USD,1491516800.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1988-12-31,WFC,1988,Q4,USD,1428868799.9999998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1989-03-31,WFC,1989,Q1,USD,1635023999.9999998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1989-06-30,WFC,1989,Q2,USD,1869614400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1989-09-30,WFC,1989,Q3,USD,2145646080.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,,,Financial Services
1989-12-31,WFC,1989,Q4,USD,2116658880.0,7441958880.0,0.0,0.0,0.0,0.0,0.0,0.11586100782151558,0.0,0.0,-28.05303528644162,0.0,0,-17238500000.0,-16867800000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0,0,0.0,0.0,,,1277800000.0,-20797900000.0,Financial Services
1990-03-31,WFC,1990,Q1,USD,1824895280.0000002,7998195280.0,10.22917928123801,22.498439606188466,23.551811778563014,76.31865725190839,58.905534351145036,0.10777257378283879,5.660828025477707,1.853943174719064,-28.932364135436856,0.7310826542491269,1,-17888000000.0,-17515400000.0,0.0025444467854075165,0.0035049851170742556,0.0025444467854075165,0.04729627956017472,0.006482848324059832,0.018542903399892067,0.03441293354652109,0.18609286994265226,0.04472573839662447,0.8412698412698413,0.020335081212431258,0.18224836935669522,0,0.0,0.0,734400000.0,0.0,0.0,84.35989256938227,0,0,84.35989256938227,84.35989256938227,-5833700000.0,715300000.0,1327800000.0,-21192700000.0,Financial Services
1990-06-30,WFC,1990,Q2,USD,2239998880.0,8333098880.0,9.54754683776352,-15.646073751408187,-14.901822031473534,69.7330450209205,50.98828451882845,0.11686475156629704,-7.044973544973545,1.8356087628285536,-27.9117371701543,0.7446808510638298,1,-19297300000.0,-18878100000.0,0.0026149064610603073,0.0036539762258312796,0.0026149064610603073,0.04824591632779654,0.007043032931209691,0.019110740642852786,0.03125001562500781,-0.24964298196434812,-0.049943672549755916,1.0431372549019609,0.030476626947754354,0.18228689275893675,0,0.0,0.0,808500000.0,0.0,0.0,91.16521539871677,0,0,91.16521539871677,91.16521539871677,-6652300000.0,1478200000.0,1450900000.0,-22765100000.0,Financial Services
1990-09-30,WFC,1990,Q3,USD,1501499160.0,7172999160.0,8.155769368959636,111.38197453416149,186.796853125,58.17517566909976,45.99756690997567,0.11894534968493296,0.9006993006993007,1.9377471433226368,-28.80473639425812,0.7251521298174443,1,-18973600000.0,-18545100000.0,0.0026798698670184853,0.0036894293732460245,0.0026798698670184853,0.04853709863553051,0.0073750876758674755,0.01916311974034556,0.047619074259089164,0.02557443988180453,0.40372670807453415,1.0526315789473684,0.029562251279135872,0.1893121091529278,0,0.0,0.0,917950000.0,0.0,0.0,97.39852188743605,0,0,97.39852188743605,97.39852188743605,-5633100000.0,-253500000.0,1473100000.0,-22645800000.0,Financial Services
1990-12-31,WFC,1990,Q4,USD,2027485670.0,7316185670.0,8.118270827785175,-44.50234592457421,-38.93659217668973,62.79987699570815,45.39656652360515,0.1620298753738388,-2.3253182461103252,2.061864452192048,-32.25361612543481,0.7777777777777778,1,-21126400000.0,-20668500000.0,0.0023085035868333666,0.003172426068338036,0.0023085035868333666,0.04317029981071014,0.006796965880577213,0.01678825376304368,0.034870776669903666,-0.09267636402086137,-0.14294403892944038,0.91796875,0.026076342654238794,0.18364403018197958,0,0.0,0.0,1166600000.0,0.0,0.0,137.9560585885486,0,0,137.9560585885486,137.9560585885486,-5476600000.0,2225600000.0,1637700000.0,-24903200000.0,Financial Services
1991-03-31,WFC,1991,Q1,USD,2622888180.0,8860588180.0,9.218256533499792,17.664649481658692,18.394411833091137,63.56232553802008,44.746771879483504,0.11566236630009805,6.514285714285714,2.1982258644032755,-31.91835659955584,0.7156133828996283,1,-21736400000.0,-21261400000.0,0.0025118988977004706,0.0035117493472584856,0.0025118988977004706,0.040835808230801865,0.007304463311672912,0.017712517284519655,0.0293569510843577,0.1836525108744819,0.03967304625199362,0.6257861635220126,0.020703287557220142,0.18903454015813567,0,0.0,0.0,1327450000.0,0.0,0.0,119.24157303370787,0,0,119.24157303370787,119.24157303370787,-5756000000.0,698900000.0,1885600000.0,-25925600000.0,Financial Services
1991-06-30,WFC,1991,Q2,USD,3424580400.0,10199180400.0,9.348469660861594,-12.62274801980198,-12.25863028846154,68.45087516778524,45.46711409395973,0.13637060898910877,-7.447004608294931,2.2240854102626546,-31.31757287695742,0.9057301293900185,1,-26461000000.0,-25866900000.0,0.002643476009106505,0.0031952042405852953,0.002643476009106505,0.04433586681143684,0.007983706720977597,0.016819262874819295,0.028616644538408266,-0.24294947199954775,-0.0297029702970297,0.5882352941176471,0.021998166819431713,0.20467461044912924,0,0.0,0.0,1443000000.0,0.0,0.0,133.02016498625116,0,0,133.02016498625116,133.02016498625116,-7606600000.0,4839400000.0,2210400000.0,-30683700000.0,Financial Services
1991-09-30,WFC,1991,Q3,USD,4463451970.0,10526151970.0,9.558801280421358,21.29076045711974,21.99363136230673,65.9533331453634,37.98684210526316,0.14932575202006504,4.749279538904899,2.279616390584258,-29.201122164197947,0.854679802955665,1,-25403600000.0,-24815600000.0,0.0027598383864091878,0.0032570328377366565,0.0027598383864091878,0.04134726138936331,0.007944563583219494,0.01550269196991103,0.023322755728006635,0.10722642546997095,0.031957928802589,0.41798941798941797,0.014347984017435525,0.203868507083182,0,0.0,0.0,1534800000.0,0.0,0.0,119.08735924446059,0,0,119.08735924446059,119.08735924446059,-5584100000.0,-931300000.0,2517700000.0,-30742600000.0,Financial Services
1991-12-31,WFC,1991,Q4,USD,4863404160.0,10982404160.0,9.900301235013071,-25.36937897897898,-24.335041347219146,66.27884224502112,36.92818346409173,0.1395271763146266,-3.975206611570248,2.3625453143693056,-29.994650907236135,0.8574803149606299,1,-26482600000.0,-25899300000.0,0.0028284538824360547,0.003332406207196948,0.0028284538824360547,0.04202686014201914,0.008438720476101915,0.01644055509527755,0.02239172324925593,-0.09279508450311479,-0.0425040425040425,0.4754521963824289,0.01658703687009826,0.2111241323357072,0,0.0,0.0,1476900000.0,0.0,0.0,121.43063193004598,0,0,121.43063193004598,121.43063193004598,-6570300000.0,1208200000.0,2591200000.0,-31616200000.0,Financial Services
1992-03-31,WFC,1992,Q1,USD,5000668400.0,12851768400.0,11.302232345440155,-34.409018473895586,-32.35591238670695,64.41989172932331,39.35388471177945,0.13302617184212742,-3.051470588235294,2.5750455122886016,-31.200980302953102,0.7597765363128491,1,-28846300000.0,-28249600000.0,0.002969641241135354,0.004041711668654907,0.002969641241135354,0.042086442251487124,0.008112783599451194,0.020277669389655997,0.024476727951007513,-0.07942938188023026,-0.06345381526104418,0.6171875,0.02084249406384663,0.22742063143083283,0,0.0,0.0,1565700000.0,0.0,0.0,129.38439890950664,0,0,129.38439890950664,129.38439890950664,-8248300000.0,2500800000.0,2908300000.0,-33882700000.0,Financial Services
1992-06-30,WFC,1992,Q2,USD,5225000000.0,13185900000.0,11.544300472771845,195.92719167904903,333.82025316455696,64.3528550512445,38.85261102977062,0.13691537299759834,0.5261923377638781,2.664395792298233,-30.500295454545455,0.7723429951690821,1,-27887300000.0,-27286000000.0,0.003152179538682591,0.004049285873225075,0.003152179538682591,0.04284900666689001,0.008504385177501612,0.0200389646534929,0.024478468899521533,0.007559808612440192,0.413075780089153,0.7073791348600509,0.024338994922080196,0.22430397478550165,0,0.0,0.0,1585400000.0,0.0,0.0,121.03747154613902,0,0,121.03747154613902,121.03747154613902,-7921400000.0,-819600000.0,2984900000.0,-33166300000.0,Financial Services
1992-09-30,WFC,1992,Q3,USD,5384972640.0,13600472640.0,11.529732655137334,5.596902320987654,5.747326166328601,58.072043723313406,35.07899231426131,0.12685153968068916,18.1478715459298,2.7504331979557226,-31.099849747797418,0.6919896640826874,1,-27711200000.0,-27091400000.0,0.003262424134629207,0.004741589498420695,0.003262424134629207,0.043793949304987735,0.00867581979693787,0.020793036750483558,0.024865493095615802,0.43944512965993454,0.02617283950617284,1.5626535626535627,0.05391658189216684,0.2340623940318752,0,0.0,0.0,1484650000.0,0.0,0.0,109.34893184130215,0,0,109.34893184130215,109.34893184130215,-5849100000.0,-65100000.0,3057500000.0,-33959700000.0,Financial Services
