date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1987-03-31,WM,1987,Q1,USD,9013410.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011094580186633028,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,WM,1987,Q2,USD,9013410.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011094580186633028,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-09-30,WM,1987,Q3,USD,9013410.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011094580186633028,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,WM,1987,Q4,USD,9013410.0,10013410.0,20.02682,0.0,0.0,-20.02682,-2.0,0.3333333333333333,0.0,0.6612948229153245,-0.7541263517359135,0.0,0.0,-400000.0,1400000.0,0.047619047619047616,0.0,0.05263157894736842,0.16666666666666666,,-0.3333333333333333,0.011094580186633028,,0.0,0.0,,0.0,0,,0.09523809523809523,,,,18.0,0.0,0.0,18.0,18.0,,,400000.0,-1300000.0,Industrials
1988-03-31,WM,1988,Q1,USD,9013410.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-06-30,WM,1988,Q2,USD,7801080.000000001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-09-30,WM,1988,Q3,USD,4726330.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.021158065560381946,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1988-12-31,WM,1988,Q4,USD,6851520.0,5051520.0,10.10304,0.0,0.0,-4.2096,1.5,5.5,0.0,1.2181361379264295,0.551994301994302,0.0,0.0,2700000.0,6100000.0,0.014705882352941176,0.0,0.015151515151515152,0.019230769230769232,,-0.1935483870967742,0.014595301480547383,,0.0,0.0,,0.0,0,,0.029411764705882353,,,,36.0,0.0,0.0,36.0,36.0,,,5000000.0,1700000.0,Industrials
1989-03-31,WM,1989,Q1,USD,8087040.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1989-06-30,WM,1989,Q2,USD,5447520.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1989-09-30,WM,1989,Q3,USD,5784480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1989-12-31,WM,1989,Q4,USD,4380480.0,4180480.0,5.9721142857142855,0.0,0.0,-2.2002526315789472,0.10526315789473684,3.75,0.0,0.0,-0.017806267806267807,0.0,0.0,1100000.0,6200000.0,0.0,0.0,0.0,0.0,,-0.30158730158730157,0.0,,0.0,0.0,,0.0,0,,0.029850746268656716,,,,25.714285714285715,0.0,0.0,25.714285714285715,25.714285714285715,,,5100000.0,100000.0,Industrials
1990-03-31,WM,1990,Q1,USD,6486480.0,6386480.0,9.123542857142857,63.8648,-63.8648,31.9324,-0.5,4.333333333333333,0.0,0.0,0.008903133903133903,0.0,0.0,1000000.0,6200000.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.01541668208334875,2.0,1.0,0.2857142857142857,0.0,0,0.0,0.030303030303030304,250000.0,100000.0,0.0,38.57142857142858,30.0,0.0,38.57142857142858,8.571428571428577,0.0,,5200000.0,100000.0,Industrials
1990-06-30,WM,1990,Q2,USD,13133332.02,13633332.02,17.041665025,-34.08333005,-27.26666404,136.3333202,5.0,1.75,4.0,,-0.20250002025000202,0.0,0.0,300000.0,5400000.0,-0.015151515151515152,-0.015151515151515152,-0.015384615384615385,-0.018867924528301886,,-0.016129032258064516,-0.007614213959390939,-0.038071069796954696,-0.25,1.0,0.125,0.0,0,0.0,0.015151515151515152,300000.0,150000.0,0.0,33.75,60.0,0.0,33.75,-26.25,-1000000.0,,5200000.0,-600000.0,Industrials
1990-09-30,WM,1990,Q3,USD,15109500.0,17009500.0,17.0095,17.0095,28.349166666666665,56.69833333333333,6.333333333333333,1.1,10.0,1.2333731305975573,-0.7644197359277276,0.0,0.0,100000.0,6300000.0,0.011494252873563218,0.013071895424836602,0.011627906976744186,0.017857142857142856,,0.012987012987012988,0.006618352692014958,0.03971011615208975,0.4,2.0,0.4,0.0,0,0.0,0.011494252873563218,350000.0,350000.0,0.0,36.0,90.0,0.0,36.0,-54.0,-1300000.0,,5500000.0,-2000000.0,Industrials
1990-12-31,WM,1990,Q4,USD,23000000.0,24000000.0,20.0,120.0,240.0,120.0,5.0,2.0714285714285716,2.0,1.1799099541914206,-0.34375,0.0,0.0,1500000.0,10300000.0,0.0070921985815602835,0.0,0.0078125,0.010101010101010102,,0.0,0.004347826086956522,0.004347826086956522,0.5,0.5,0.08333333333333333,0.0,0,0.0,0.09219858156028368,550000.0,550000.0,0.0,52.5,108.0,0.0,52.5,-55.5,-900000.0,,8600000.0,-1300000.0,Industrials
1991-03-31,WM,1991,Q1,USD,36000000.0,39600000.0,28.285714285714285,-198.0,-49.5,99.0,9.0,1.0769230769230769,-1.0,1.6937384685954322,-0.925,0.6666666666666666,1.5,100000.0,9700000.0,0.013333333333333334,0.013745704467353952,0.015151515151515152,0.0196078431372549,0.013793103448275862,0.014598540145985401,0.005555555555555556,-0.022222222222222223,-3.0,3.0,0.42857142857142855,0.0,0,0.0,0.12,750000.0,500000.0,0.0,51.42857142857143,60.0,0.0,51.42857142857143,-8.57142857142857,-4400000.0,1200000.0,8400000.0,-3400000.0,Industrials
1991-06-30,WM,1991,Q2,USD,120833328.5,136933328.5,38.03703569444444,342.33332125,-33.39837280487805,114.11110708333334,13.416666666666666,1.7575757575757576,0.36363636363636365,1.417321474014985,-2.496000099840004,0.625,1.0,2500000.0,26600000.0,0.013774104683195593,0.031189083820662766,0.016339869281045753,0.04032258064516129,0.014970059880239521,0.024242424242424242,0.004137931200000007,-0.033931035840000054,11.25,11.25,1.25,0.0,0,0.0,0.15702479338842976,400000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,-20200000.0,-6000000.0,6700000.0,-18100000.0,Industrials
1991-09-30,WM,1991,Q3,USD,170000000.0,188200000.0,32.44827586206897,-134.42857142857142,-78.41666666666667,99.05263157894737,9.578947368421053,1.5555555555555556,-2.0,1.5112081259707415,-1.9375,0.7,0.7142857142857143,2000000.0,28300000.0,0.018421052631578946,0.03768506056527591,0.022508038585209004,0.04827586206896552,0.027528089887640446,0.040697674418604654,0.00411764705882353,-0.01411764705882353,-0.7142857142857143,2.0,0.1724137931034483,0.0,0,0.0,0.18157894736842106,2150000.0,0.0,0.0,66.72413793103448,0.0,0.0,66.72413793103448,66.72413793103448,-20600000.0,980000.0,7600000.0,-17900000.0,Industrials
1991-12-31,WM,1991,Q4,USD,178977277.5,198877277.5,34.89075043859649,73.65825092592593,165.73106458333334,82.86553229166667,8.291666666666666,1.5957446808510638,2.7,2.569807533435633,-2.21711105198815,0.6666666666666666,0.7894736842105263,2800000.0,47800000.0,0.016778523489932886,0.0389344262295082,0.020964360587002098,0.03257328990228013,0.022659511031604056,0.03460837887067395,0.005587301438306882,0.006704761725968259,0.5555555555555556,3.0,0.2631578947368421,0.0,0,0.0,0.19966442953020133,3700000.0,950000.0,0.0,48.94736842105263,74.34782608695653,0.0,48.94736842105263,-25.4004576659039,-18700000.0,-533333.3333333335,18800000.0,-21400000.0,Industrials
1992-03-31,WM,1992,Q1,USD,166071433.0,190971433.0,18.908062673267327,100.51128052631579,-27.67701927536232,48.9670341025641,6.384615384615385,1.3974358974358974,1.2666666666666666,3.450652020265159,-2.8489999240266686,0.625,0.7741935483870968,3100000.0,65000000.0,0.01838235294117647,0.043909348441926344,0.02358490566037736,0.037037037037037035,0.025798934753661785,0.04200542005420054,0.00903225782365592,-0.04154838598881724,4.631578947368421,11.0,0.8712871287128713,0.0,0,0.0,0.22058823529411764,4200000.0,2450000.0,0.0,47.22772277227723,60.0,0.0,47.22772277227723,-12.772277227722768,-31800000.0,-6362500.0,25200000.0,-27500000.0,Industrials
1992-06-30,WM,1992,Q2,USD,157343750.0,180643750.0,13.381018518518518,82.11079545454545,-34.08372641509434,35.4203431372549,4.568627450980392,1.8181818181818181,1.1578947368421053,3.5767671377788544,-2.4189473684210525,0.6333333333333333,0.8108108108108109,6300000.0,68400000.0,0.02264600715137068,0.04471299093655589,0.0290519877675841,0.045023696682464455,0.030236559139784944,0.048556430446194225,0.012075471698113207,-0.03368421052631579,3.409090909090909,5.357142857142857,0.5555555555555556,0.0,0,0.0,0.2205005959475566,5900000.0,3200000.0,0.0,43.333333333333336,46.36363636363637,0.0,43.333333333333336,-3.030303030303031,-28600000.0,-6956666.666666667,26500000.0,-24900000.0,Industrials
1992-09-30,WM,1992,Q3,USD,125735298.75,153835298.75,10.7577131993007,56.97603657407407,-22.960492350746268,30.16378406862745,5.509803921568627,3.236842105263158,1.4210526315789473,3.7275749175093997,-3.071184097377428,0.6333333333333333,0.7894736842105263,17000000.0,79400000.0,0.019211324570273004,0.04157549234135667,0.02372034956304619,0.046798029556650245,0.026331145149525892,0.0416210295728368,0.015111110554385984,-0.053286547744413736,3.4814814814814814,7.230769230769231,0.6573426573426573,0.0,0,0.0,0.19009100101112233,7100000.0,3700000.0,0.0,48.46153846153847,52.17391304347826,0.0,48.46153846153847,-3.712374581939791,-34800000.0,-16393333.333333334,24700000.0,-30800000.0,Industrials
1992-12-31,WM,1992,Q4,USD,160852705.0,198552705.0,13.788382291666666,30.54657,94.54890714285715,38.93190294117647,7.392156862745098,1.8623853211009174,3.25,3.8197271211224626,-4.509482759397798,0.6451612903225806,0.8157894736842105,9400000.0,86400000.0,0.01818181818181818,0.036381043561512685,0.022002200220022004,0.05012531328320802,0.024713839750260147,0.03834510595358224,0.012433735571932097,0.013055422350528702,0.676923076923077,3.3846153846153846,0.3055555555555556,0.0,0,0.0,0.17363636363636364,7500000.0,3950000.0,0.0,45.625,49.436619718309856,0.0,45.625,-3.8116197183098564,-35600000.0,6951612.903225806,23700000.0,-46900000.0,Industrials
1993-03-31,WM,1993,Q1,USD,147222220.75,192922220.75,13.30498074137931,60.288193984375,-241.1527759375,35.72633717592593,8.462962962962964,1.3679245283018868,1.6,3.912671760597866,-5.337000053370001,0.6451612903225806,0.7948717948717948,3900000.0,88100000.0,0.017777777777777778,0.0350561797752809,0.022573363431151242,0.047619047619047616,0.024667931688804552,0.038272816486751716,0.013584905796226418,-0.005433962318490567,1.25,2.6666666666666665,0.27586206896551724,0.0,0,0.0,0.21244444444444444,6650000.0,3550000.0,0.0,37.241379310344826,41.73913043478261,0.0,37.241379310344826,-4.497751124437784,-46500000.0,5516129.032258064,18100000.0,-56000000.0,Industrials
1993-06-30,WM,1993,Q2,USD,143684216.0,192784216.0,11.613506987951807,192.784216,-22.680496,33.23865793103448,8.46551724137931,1.3240740740740742,0.47619047619047616,4.0016155926570445,-5.56654740698867,0.6363636363636364,0.825,3500000.0,91200000.0,0.018518518518518517,0.035413899955732624,0.02367531003382187,0.050724637681159424,0.024522683482221055,0.03898635477582846,0.01461538405860808,-0.059157506903889844,9.5,5.277777777777778,0.572289156626506,0.0,0,0.0,0.21781305114638447,6450000.0,3000000.0,0.0,37.40963855421687,30.36144578313253,0.0,37.40963855421687,7.048192771084338,-57600000.0,-4754545.454545455,16700000.0,-57700000.0,Industrials
1993-09-30,WM,1993,Q3,USD,145560000.0,233560000.0,11.916326530612245,55.60952380952381,56.96585365853659,32.43888888888889,12.222222222222221,1.032258064516129,1.4482758620689655,4.075843470988551,-8.45625,0.6857142857142857,0.7142857142857143,500000.0,128800000.0,0.015267175572519083,0.03621581670362158,0.018292682926829267,0.05417607223476298,0.023124569855471438,0.03458009880028229,0.016488046166529265,0.02816707886782083,0.023809523809523808,0.043478260869565216,0.00510204081632653,0.0,0,0.0,0.16539440203562342,8600000.0,4500000.0,0.0,47.295918367346935,56.36363636363637,0.0,47.295918367346935,-9.067717996289431,-83900000.0,8560000.0,18300000.0,-96900000.0,Industrials
1993-12-31,WM,1993,Q4,USD,135016951.66,228116951.66,9.310895986122448,61.65323017837838,-43.86864455,27.483970079518073,11.216867469879517,1.0134228187919463,1.4230769230769231,4.405450612077967,-9.090214116896023,0.6190476190476191,0.7368421052631579,200000.0,135400000.0,0.015691007845503924,0.035305048002477545,0.018611309949892626,0.055674518201284794,0.022987436016751978,0.03779840848806366,0.019256841219073926,-0.03851368243814786,2.4054054054054053,3.423076923076923,0.363265306122449,0.0,0,0.0,0.15691007845503924,10450000.0,6050000.0,0.0,38.93877551020408,40.84615384615385,0.0,38.93877551020408,-1.9073783359497654,-98300000.0,-2471428.571428571,20700000.0,-103900000.0,Industrials
1994-03-31,WM,1994,Q1,USD,152889471.69,250489471.69,10.141274157489878,56.929425384090905,-61.09499309512195,30.547496547560975,11.902439024390244,0.9771428571428571,1.9130434782608696,4.168343485101112,-9.374021861400285,0.6388888888888888,0.6666666666666666,-400000.0,141400000.0,0.013142857142857144,0.03169944232462577,0.015436241610738255,0.046747967479674794,0.021415270018621972,0.03428571428571429,0.015043547306275605,-0.026816758241621733,1.9318181818181819,3.0357142857142856,0.3441295546558704,0.0,0,0.0,0.14857142857142858,11450000.0,6800000.0,0.0,44.81781376518219,53.30769230769231,0.0,44.81781376518219,-8.48987854251012,-101700000.0,-1650000.0,23200000.0,-108700000.0,Industrials
1994-06-30,WM,1994,Q2,USD,232600000.00000003,377100000.0,8.398663697104677,69.83333333333333,-67.33928571428571,36.970588235294116,14.166666666666666,1.230188679245283,3.857142857142857,1.984313483298443,-8.90125,0.5333333333333333,0.375,6100000.0,233500000.0,0.002770083102493075,0.017248814144027597,0.0034737299174989146,0.009142857142857144,0.00999125764955664,0.015249714067861228,0.003439380911435941,-0.024075666380051586,2.037037037037037,1.7741935483870968,0.24498886414253898,0.0,0,0.0,0.2025623268698061,17800000.0,10050000.0,0.0,46.70378619153675,36.83168316831683,0.0,46.70378619153675,9.872103023219921,-150100000.0,-8633333.333333334,29000000.0,-168700000.0,Industrials
1994-09-30,WM,1994,Q3,USD,325942858.56,464542858.56,9.862905701910828,61.939047808,-20.831518321076235,32.714285814084505,9.76056338028169,0.9256965944272446,1.6304347826086956,4.686034968082964,-7.944619530675567,0.6388888888888888,0.782608695652174,-2400000.0,236500000.0,0.015503875968992248,0.03142613151152861,0.02006105538595726,0.04518664047151277,0.0218748707769921,0.03479576399394856,0.014112903164446002,-0.06841690012329257,3.973333333333333,5.96,0.6326963906581741,0.0,0,0.0,0.22716548702392989,24500000.0,12500000.0,0.0,49.10828025477707,42.0,0.0,49.10828025477707,7.108280254777071,-160900000.0,-10422222.222222224,34400000.0,-165000000.0,Industrials
