date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,WMT,43.14,43.47,42.91,43.37,13788376,0.23333,0.53315,43.2225
2020-07-31,WMT,43.22,43.36,42.54,43.13,21634626,-0.083333,-0.20824,43.0625
2020-08-03,WMT,43.3,43.37,42.76,43.1,14976278,-0.20333,-0.46189,43.1325
2020-08-04,WMT,43.22,43.9,42.98,43.88,18219693,0.66333,1.53,43.495
2020-08-05,WMT,43.48,43.58,42.94,43.27,25510744,-0.21333,-0.48298,43.3175
2020-08-06,WMT,43.04,43.41,43.01,43.12,14496434,0.073334,0.18587,43.145
2020-08-07,WMT,43.19,43.49,43.04,43.32,16558500,0.13,0.301,43.26
2020-08-10,WMT,43.41,44.11,43.22,43.96,17683200,0.54667,1.27,43.675
2020-08-11,WMT,44.2,44.29,43.24,43.4,25360200,-0.79666,-1.81,43.7825
2020-08-12,WMT,43.49,44.08,43.03,43.96,19116355,0.47333,1.08,43.64
2020-08-13,WMT,43.74,43.99,43.58,43.95,19867351,0.21333,0.48011,43.815
2020-08-14,WMT,44.11,44.32,43.88,44.2,20106300,0.086667,0.20404,44.1275
2020-08-17,WMT,44.78,45.38,44.62,45.2,39465030,0.41667,0.93792,44.995
2020-08-18,WMT,45.39,45.88,44.39,44.9,80232611,-0.48667,-1.08,45.14
2020-08-19,WMT,44.74,44.89,43.95,44.14,38155241,-0.6,-1.34,44.43
2020-08-20,WMT,43.74,44.02,43.35,43.52,26810700,-0.21333,-0.50297,43.6575
2020-08-21,WMT,43.52,44.22,43.37,43.88,24864006,0.36,0.82721,43.7475
2020-08-24,WMT,44.08,44.16,43.44,43.78,19813800,-0.30667,-0.68058,43.865
2020-08-25,WMT,43.6,43.75,43.22,43.54,21722478,-0.056666,-0.13761,43.5275
2020-08-26,WMT,43.4,43.63,43.23,43.57,18814800,0.16333,0.39171,43.4575
2020-08-27,WMT,43.69,46.45,43.63,45.54,119018846,1.85,4.23,44.8275
2020-08-28,WMT,47.0,47.02,45.95,46.77,64051003,-0.23333,-0.48936,46.685
