date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,WRB,27.61,27.91,27.34,27.69,1088775,0.08000004,0.28975,27.6375
2020-07-31,WRB,27.55,27.64,27.0,27.44,1487543,-0.10222,-0.39927,27.4075
2020-08-03,WRB,27.51,27.79,27.3,27.62,1133372,0.11111,0.39985,27.555
2020-08-04,WRB,27.55,27.58,27.12,27.2,1135482,-0.35111,-1.27,27.3625
2020-08-05,WRB,27.46,27.77,27.4,27.53,1290191,0.0666667,0.25492,27.54
2020-08-06,WRB,27.44,27.71,27.38,27.64,1436625,0.20444,0.72886,27.5425
2020-08-07,WRB,27.48,28.42,27.45,28.4,1195650,0.92,3.35,27.9375
2020-08-10,WRB,28.48,28.85,28.19,28.61,1313550,0.12889,0.45646,28.5325
2020-08-11,WRB,29.04,29.32,28.17,28.25,2055922,-0.78222,-2.72,28.695
2020-08-12,WRB,28.67,28.67,28.04,28.04,1149104,-0.63111,-2.2,28.355
2020-08-13,WRB,27.75,28.06,27.5,27.93,1012725,0.18222,0.64865,27.81
2020-08-14,WRB,27.76,28.04,27.59,27.68,1179726,-0.07555537,-0.28818,27.7675
2020-08-17,WRB,27.54,27.57,26.88,27.07,1465439,-0.46667,-1.71,27.265
2020-08-18,WRB,27.18,27.47,27.16,27.23,1233974,0.04444402,0.18396,27.26
2020-08-19,WRB,27.3,27.41,26.86,26.95,1278000,-0.35556,-1.28,27.13
2020-08-20,WRB,26.64,27.01,26.57,26.74,1158080,0.09333338,0.37538,26.74
2020-08-21,WRB,26.73,27.02,26.65,26.75,1066556,0.01777801,0.0748223,26.7875
2020-08-24,WRB,26.85,27.39,26.84,27.38,1013730,0.52889,1.97,27.115
2020-08-25,WRB,27.62,27.67,27.25,27.38,1277637,-0.24444,-0.86894,27.48
2020-08-26,WRB,27.32,27.58,27.02,27.35,1386288,0.03111135,0.10981,27.3175
2020-08-27,WRB,27.45,28.3,27.45,28.1,1934630,0.64889,2.37,27.825
2020-08-28,WRB,28.32,28.32,27.72,28.0,1258425,-0.32444,-1.13,28.09
2020-08-31,WRB,27.91,28.0,27.4,27.58,1994048,-0.33333,-1.18,27.7225
2020-09-01,WRB,27.37,27.85,27.36,27.84,1072001,0.46222,1.72,27.605
2020-09-02,WRB,27.88,28.42,27.66,28.29,1025550,0.41333,1.47,28.0625
2020-09-03,WRB,28.54,29.07,27.76,27.99,2206575,-0.54667,-1.93,28.34
2020-09-04,WRB,28.49,28.72,27.73,27.97,1541700,-0.52,-1.83,28.2275
2020-09-08,WRB,27.71,27.97,27.3,27.69,1937250,-0.01777734,-0.07217611,27.6675
2020-09-09,WRB,27.99,28.51,27.86,28.24,1645200,0.24889,0.89318,28.15
