date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-10-31,WSM,1985,Q3,USD,42470440.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-01-31,WSM,1985,Q4,USD,49657867.36,50057867.36,2.185933072489083,0.0,0.0,-1.2209235941463414,-0.00975609756097561,2.047169811320755,0.0,0.0,-0.0097626725788572,0.0,0.0,11100000.0,18200000.0,0.0,0.0,0.0,0.0,,-2.204301075268817,0.0,,0.0,0.0,,0.0,0,,0.0,,,,5.502183406113537,0.0,0.0,5.502183406113537,5.502183406113537,,,17100000.0,9600000.0,Consumer Cyclical
1986-04-30,WSM,1986,Q1,USD,60083892.56,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-07-31,WSM,1986,Q2,USD,77463815.67999999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-10-31,WSM,1986,Q3,USD,76483723.52,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-01-31,WSM,1986,Q4,USD,80002080.0,87302080.0,2.2617119170984457,0.0,0.0,-1.523596509598604,-0.1273996509598604,1.5513513513513513,0.0,0.0,-0.08524305555555556,0.0,0.0,10200000.0,24300000.0,0.0,0.0,0.0,0.0,,-2.2470588235294118,0.0,,0.0,0.0,,0.0,0,,0.0,,,,5.829015544041451,0.0,0.0,5.829015544041451,5.829015544041451,,,18600000.0,3300000.0,Consumer Cyclical
1987-04-30,WSM,1987,Q1,USD,73671490.16,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-07-31,WSM,1987,Q2,USD,91353793.52,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-10-31,WSM,1987,Q3,USD,62866698.95999999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-01-31,WSM,1987,Q4,USD,63376133.04526,77076133.04526,1.5957791520757763,0.0,0.0,-0.9503838846517879,-0.16892725030826142,1.262962962962963,0.0,0.0,-0.12852272785692148,0.0,0.0,7100000.0,27800000.0,0.0,0.0,0.0,0.0,,-2.7679180887372015,0.0,,0.0,0.0,,0.0,0,,0.0,,,,5.590062111801243,0.0,0.0,5.590062111801243,5.590062111801243,,,22200000.0,0.0,Consumer Cyclical
